side1,side2,side3,side12,side22,side32,validity
595,177012,177013,354025,31333248144,31333602169,1
303,2204,7152,91809,4857616,51151104,0
164,6928,13,26896,47997184,169,0
678,114920,114922,459684,13206606400,13207066084,1
359,64440,64441,128881,4152513600,4152642481,1
975,1843,6641,950625,3396649,44102881,0
729,265720,265721,531441,70607118400,70607649841,1
917,1835,9728,840889,3367225,94633984,0
360,3507,9085,129600,12299049,82537225,0
12960,161,12961,167961600,25921,167987521,1
483,44,485,233289,1936,235225,1
126,3968,3970,15876,15745024,15760900,1
628,3481,6086,394384,12117361,37039396,0
109560,662,109562,12003393600,438244,12003831844,1
938,1649,3891,879844,2719201,15139881,0
872,190095,190097,760384,36136109025,36136869409,1
890,6340,5950,792100,40195600,35402500,0
92880,431,92881,8626694400,185761,8626880161,1
141,9940,9941,19881,98803600,98823481,1
430,46224,46226,184900,2136658176,2136843076,1
682,4927,4544,465124,24275329,20647936,0
708,9213,4741,501264,84879369,22477081,0
96720,622,96722,9354758400,386884,9355145284,1
874,453,8291,763876,205209,68740681,0
158,6736,9916,24964,45373696,98327056,0
195312,625,195313,38146777344,390625,38147167969,1
174,7568,7570,30276,57274624,57304900,1
156,6083,6085,24336,37002889,37027225,1
612,6578,4479,374544,43270084,20061441,0
489,976,721,239121,952576,519841,0
26895,328,26897,723341025,107584,723448609,1
286,3194,8217,81796,10201636,67519089,0
34,7307,3660,1156,53392249,13395600,0
130,4224,4226,16900,17842176,17859076,1
3444,83,3445,11861136,6889,11868025,1
482,58080,58082,232324,3373286400,3373518724,1
715,255612,255613,511225,65337494544,65338005769,1
3,4,5,9,16,25,1
500,9188,7098,250000,84419344,50381604,0
557,685,8113,310249,469225,65820769,0
688,2559,3376,473344,6548481,11397376,0
454,4563,7798,206116,20820969,60808804,0
808,163215,163217,652864,26639136225,26639789089,1
347,5461,7559,120409,29822521,57138481,0
353640,841,353641,125061249600,707281,125061956881,1
702,123200,123202,492804,15178240000,15178732804,1
34,288,290,1156,82944,84100,1
691,238740,238741,477481,56996787600,56997265081,1
394,3661,3527,155236,13402921,12439729,0
171,14620,14621,29241,213744400,213773641,1
668,2502,4118,446224,6260004,16957924,0
970,9971,9674,940900,99420841,93586276,0
143,24,145,20449,576,21025,1
795,8873,7455,632025,78730129,55577025,0
158,6240,6242,24964,38937600,38962564,1
40,3938,9418,1600,15507844,88698724,0
887,393384,393385,786769,154750971456,154751758225,1
859,7666,8219,737881,58767556,67551961,0
313,458,395,97969,209764,156025,0
271,1083,8624,73441,1172889,74373376,0
883,389844,389845,779689,151978344336,151979124025,1
697,242904,242905,485809,59002353216,59002839025,1
452200,951,452201,204484840000,904401,204485744401,1
943,444624,444625,889249,197690501376,197691390625,1
864,186623,186625,746496,34828144129,34828890625,1
3135,112,3137,9828225,12544,9840769,1
192,5341,9400,36864,28526281,88360000,0
499,124500,124501,249001,15500250000,15500499001,1
792,156815,156817,627264,24590944225,24591571489,1
766,1958,4436,586756,3833764,19678096,0
155235,788,155237,24097905225,620944,24098526169,1
3599,120,3601,12952801,14400,12967201,1
429,6002,5621,184041,36024004,31595641,0
5724,107,5725,32764176,11449,32775625,1
336,9185,4900,112896,84364225,24010000,0
137,7676,8311,18769,58920976,69072721,0
318,1320,7445,101124,1742400,55428025,0
918,6863,8989,842724,47100769,80802121,0
129540,509,129541,16780611600,259081,16780870681,1
63503,504,63505,4032631009,254016,4032885025,1
3024,110,3026,9144576,12100,9156676,1
507,7548,7092,257049,56972304,50296464,0
100800,449,100801,10160640000,201601,10160841601,1
591,7748,3845,349281,60031504,14784025,0
226,9009,7281,51076,81162081,53012961,0
189,17860,17861,35721,318979600,319015321,1
63,16,65,3969,256,4225,1
182,5138,8282,33124,26399044,68591524,0
48840,442,48842,2385345600,195364,2385540964,1
89400,598,89402,7992360000,357604,7992717604,1
35112,265,35113,1232852544,70225,1232922769,1
114,3248,3250,12996,10549504,10562500,1
169,9745,4888,28561,94965025,23892544,0
738,136160,136162,544644,18539545600,18540090244,1
85848,586,85850,7369879104,343396,7370222500,1
376,1355,9630,141376,1836025,92736900,0
404,4333,9065,163216,18774889,82174225,0
72,1295,1297,5184,1677025,1682209,1
235224,970,235226,55330330176,940900,55331271076,1
6160,111,6161,37945600,12321,37957921,1
914,1633,2018,835396,2666689,4072324,0
694,5560,7165,481636,30913600,51337225,0
904,1049,2585,817216,1100401,6682225,0
132,4355,4357,17424,18966025,18983449,1
767,2359,4120,588289,5564881,16974400,0
421,5985,8352,177241,35820225,69755904,0
141,3321,5085,19881,11029041,25857225,0
769,9375,8634,591361,87890625,74545956,0
31683,356,31685,1003812489,126736,1003939225,1
308112,785,308113,94933004544,616225,94933620769,1
5512,105,5513,30382144,11025,30393169,1
431,92880,92881,185761,8626694400,8626880161,1
305,7471,6834,93025,55815841,46703556,0
61008,494,61010,3721976064,244036,3722220100,1
602,90600,90602,362404,8208360000,8208722404,1
942,7727,4366,887364,59706529,19061956,0
807,325624,325625,651249,106030989376,106031640625,1
727,5997,6789,528529,35964009,46090521,0
506,7924,5013,256036,62789776,25130169,0
662,2782,9473,438244,7739524,89737729,0
9603,196,9605,92217609,38416,92256025,1
528,7267,504,278784,52809289,254016,0
162,3662,9583,26244,13410244,91833889,0
78012,395,78013,6085872144,156025,6086028169,1
288040,759,288041,82967041600,576081,82967617681,1
869,2713,817,755161,7360369,667489,0
871,3948,2527,758641,15586704,6385729,0
889,3932,6406,790321,15460624,41036836,0
18495,272,18497,342065025,73984,342139009,1
273,37264,37265,74529,1388605696,1388680225,1
766,6810,9767,586756,46376100,95394289,0
555,4664,7324,308025,21752896,53640976,0
809,327240,327241,654481,107086017600,107086672081,1
749,1631,1062,561001,2660161,1127844,0
167,2932,2551,27889,8596624,6507601,0
36,6706,1291,1296,44970436,1666681,0
157,12324,12325,24649,151880976,151905625,1
954,9734,6596,910116,94750756,43507216,0
291,42340,42341,84681,1792675600,1792760281,1
217155,932,217157,47156294025,868624,47157162649,1
235,7258,4389,55225,52678564,19263321,0
724,2689,5913,524176,7230721,34963569,0
400,6460,8564,160000,41731600,73342096,0
785,2705,6298,616225,7317025,39664804,0
295,1110,6610,87025,1232100,43692100,0
653,213204,213205,426409,45455945616,45456372025,1
652,8692,5702,425104,75550864,32512804,0
146,8490,6768,21316,72080100,45805824,0
537,144184,144185,288369,20789025856,20789314225,1
35,612,613,1225,374544,375769,1
137640,742,137642,18944769600,550564,18945320164,1
890,8716,6625,792100,75968656,43890625,0
23103,304,23105,533748609,92416,533841025,1
915,5305,6494,837225,28143025,42172036,0
527,4111,6892,277729,16900321,47499664,0
285012,755,285013,81231840144,570025,81232410169,1
28084,237,28085,788711056,56169,788767225,1
990,245024,245026,980100,60036760576,60037740676,1
165,7401,7605,27225,54774801,57836025,0
471,962,8016,221841,925444,64256256,0
392,9688,9094,153664,93857344,82700836,0
10804,147,10805,116726416,21609,116748025,1
62304,353,62305,3881788416,124609,3881913025,1
835,6345,588,697225,40259025,345744,0
279,9132,3999,77841,83393424,15992001,0
553,4429,7548,305809,19616041,56972304,0
27144,233,27145,736796736,54289,736851025,1
127,7039,1993,16129,49547521,3972049,0
360,32399,32401,129600,1049695201,1049824801,1
528,46,530,278784,2116,280900,1
221840,942,221842,49212985600,887364,49213872964,1
26895,328,26897,723341025,107584,723448609,1
169743,824,169745,28812686049,678976,28813365025,1
265,35112,35113,70225,1232852544,1232922769,1
498,62000,62002,248004,3844000000,3844248004,1
248512,705,248513,61758214144,497025,61758711169,1
491040,991,491041,241120281600,982081,241121263681,1
720,3639,5594,518400,13242321,31292836,0
61,7919,2444,3721,62710561,5973136,0
2,9942,8676,4,98843364,75272976,0
947,448404,448405,896809,201066147216,201067044025,1
263,34584,34585,69169,1196053056,1196122225,1
198,9800,9802,39204,96040000,96079204,1
120408,694,120410,14498086464,481636,14498568100,1
244300,699,244301,59682490000,488601,59682978601,1
109560,662,109562,12003393600,438244,12003831844,1
105624,650,105626,11156429376,422500,11156851876,1
257,33024,33025,66049,1090584576,1090650625,1
151800,551,151801,23043240000,303601,23043543601,1
2,0,2,4,0,4,1
860,4177,4570,739600,17447329,20884900,0
672,4255,688,451584,18105025,473344,0
759,6422,2219,576081,41242084,4923961,0
311,307,1765,96721,94249,3115225,0
388,37635,37637,150544,1416393225,1416543769,1
977,477264,477265,954529,227780925696,227781880225,1
114720,479,114721,13160678400,229441,13160907841,1
291,2183,5423,84681,4765489,29408929,0
231,6335,641,53361,40132225,410881,0
627,196564,196565,393129,38637406096,38637799225,1
551,7391,5761,303601,54626881,33189121,0
576,5605,8332,331776,31416025,69422224,0
401,5668,7461,160801,32126224,55666521,0
781,304980,304981,609961,93012800400,93013410361,1
286,2014,3420,81796,4056196,11696400,0
253,8151,8865,64009,66438801,78588225,0
21608,294,21610,466905664,86436,466992100,1
619,6404,7612,383161,41011216,57942544,0
916,3503,6138,839056,12271009,37675044,0
236,13923,13925,55696,193849929,193905625,1
446,8034,6984,198916,64545156,48776256,0
621,5755,99,385641,33120025,9801,0
445,99012,99013,198025,9803376144,9803574169,1
11,6126,1538,121,37527876,2365444,0
881,7297,3661,776161,53246209,13402921,0
108240,658,108242,11715897600,432964,11716330564,1
293,1623,1357,85849,2634129,1841449,0
260,4898,3693,67600,23990404,13638249,0
190095,872,190097,36136109025,760384,36136869409,1
113568,674,113570,12897690624,454276,12898144900,1
939,4191,6676,881721,17564481,44568976,0
245700,701,245701,60368490000,491401,60368981401,1
22260,211,22261,495507600,44521,495552121,1
841,7929,2005,707281,62869041,4020025,0
471,8655,9366,221841,74909025,87721956,0
573,164164,164165,328329,26949818896,26950147225,1
199080,631,199081,39632846400,398161,39633244561,1
306,9528,9598,93636,90782784,92121604,0
238,1,4886,56644,1,23872996,0
339,1508,963,114921,2274064,927369,0
888,6969,5217,788544,48566961,27217089,0
911,414960,414961,829921,172191801600,172192631521,1
533,3185,5207,284089,10144225,27112849,0
649,1189,5580,421201,1413721,31136400,0
657,8599,4400,431649,73942801,19360000,0
27,6855,1512,729,46991025,2286144,0
132,7582,9885,17424,57486724,97713225,0
368940,859,368941,136116723600,737881,136117461481,1
47,7240,8076,2209,52417600,65221776,0
819,9266,6549,670761,85858756,42889401,0
994,247008,247010,988036,61012952064,61013940100,1
111,3714,9251,12321,13793796,85581001,0
392,3997,1270,153664,15976009,1612900,0
58140,341,58141,3380259600,116281,3380375881,1
468,7556,2170,219024,57093136,4708900,0
191,9219,1998,36481,84989961,3992004,0
664,3921,7578,440896,15374241,57426084,0
4512,95,4513,20358144,9025,20367169,1
490,1353,8248,240100,1830609,68029504,0
258,16640,16642,66564,276889600,276956164,1
142,5040,5042,20164,25401600,25421764,1
909,5555,1461,826281,30858025,2134521,0
107,4224,3859,11449,17842176,14891881,0
927,429664,429665,859329,184611152896,184612012225,1
305,46512,46513,93025,2163366144,2163459169,1
464,416,7694,215296,173056,59197636,0
65884,363,65885,4340701456,131769,4340833225,1
247,30504,30505,61009,930494016,930555025,1
40,7754,5598,1600,60124516,31337604,0
611,9959,9203,373321,99181681,84695209,0
299,2123,7417,89401,4507129,55011889,0
419,1633,6890,175561,2666689,47472100,0
938,6197,8198,879844,38402809,67207204,0
329,2724,4145,108241,7420176,17181025,0
1200,49,1201,1440000,2401,1442401,1
78,2569,551,6084,6599761,303601,0
17,1290,3319,289,1664100,11015761,0
387,508,9157,149769,258064,83850649,0
836,174723,174725,698896,30528126729,30528825625,1
93744,433,93745,8787937536,187489,8788125025,1
993,493024,493025,986049,243072664576,243073650625,1
183012,605,183013,33493392144,366025,33493758169,1
78960,562,78962,6234681600,315844,6234997444,1
851,362100,362101,724201,131116410000,131117134201,1
338,6725,1265,114244,45225625,1600225,0
51075,452,51077,2608655625,204304,2608859929,1
195,28,197,38025,784,38809,1
16128,254,16130,260112384,64516,260176900,1
5512,105,5513,30382144,11025,30393169,1
340,4227,7673,115600,17867529,58874929,0
300312,775,300313,90187297344,600625,90187897969,1
685,4122,311,469225,16990884,96721,0
59535,488,59537,3544416225,238144,3544654369,1
840,176399,176401,705600,31116607201,31117312801,1
298,7938,905,88804,63011844,819025,0
12960,161,12961,167961600,25921,167987521,1
626,97968,97970,391876,9597729024,9598120900,1
