side1,side2,side3,validity
0,2,2,1
5,3,4,1
3,5,4,1
5,12,13,1
10,6,8,1
25,7,24,1
8,15,17,1
41,9,40,1
26,10,24,1
61,11,60,1
35,37,12,1
13,84,85,1
48,50,14,1
113,15,112,1
16,63,65,1
145,17,144,1
82,18,80,1
19,180,181,1
101,20,99,1
220,221,21,1
22,120,122,1
265,23,264,1
145,24,143,1
312,313,25,1
170,26,168,1
364,365,27,1
197,28,195,1
421,29,420,1
30,224,226,1
31,480,481,1
255,257,32,1
544,545,33,1
288,290,34,1
613,35,612,1
325,36,323,1
685,37,684,1
362,38,360,1
39,760,761,1
40,399,401,1
840,841,41,1
42,440,442,1
925,43,924,1
483,485,44,1
1013,45,1012,1
528,530,46,1
47,1104,1105,1
575,577,48,1
1200,1201,49,1
624,626,50,1
1300,1301,51,1
52,675,677,1
53,1404,1405,1
728,730,54,1
1512,1513,55,1
785,56,783,1
1624,1625,57,1
842,58,840,1
59,1740,1741,1
901,60,899,1
1860,1861,61,1
962,62,960,1
63,1984,1985,1
1023,1025,64,1
65,2112,2113,1
1090,66,1088,1
67,2244,2245,1
1157,68,1155,1
2380,2381,69,1
1224,1226,70,1
71,2520,2521,1
72,1295,1297,1
73,2664,2665,1
74,1368,1370,1
2813,75,2812,1
76,1443,1445,1
77,2964,2965,1
1522,78,1520,1
3121,79,3120,1
1601,80,1599,1
81,3280,3281,1
1682,82,1680,1
3444,3445,83,1
84,1763,1765,1
3612,3613,85,1
1850,86,1848,1
87,3784,3785,1
1937,88,1935,1
3961,89,3960,1
90,2024,2026,1
4141,91,4140,1
2115,2117,92,1
4324,4325,93,1
94,2208,2210,1
4512,4513,95,1
96,2303,2305,1
4705,97,4704,1
98,2400,2402,1
99,4900,4901,1
100,2499,2501,1
5101,101,5100,1
2600,2602,102,1
5304,5305,103,1
104,2703,2705,1
105,5512,5513,1
2810,106,2808,1
107,5724,5725,1
2915,2917,108,1
5940,5941,109,1
3024,3026,110,1
6161,111,6160,1
3137,112,3135,1
6384,6385,113,1
3250,114,3248,1
6612,6613,115,1
116,3363,3365,1
6844,6845,117,1
3482,118,3480,1
7081,119,7080,1
3599,3601,120,1
7320,7321,121,1
3720,3722,122,1
7565,123,7564,1
124,3843,3845,1
125,7812,7813,1
3968,3970,126,1
8064,8065,127,1
4095,4097,128,1
129,8320,8321,1
130,4224,4226,1
8580,8581,131,1
4357,132,4355,1
8844,8845,133,1
134,4488,4490,1
135,9112,9113,1
4623,4625,136,1
137,9384,9385,1
4762,138,4760,1
9661,139,9660,1
140,4899,4901,1
9940,9941,141,1
142,5040,5042,1
10224,10225,143,1
5183,5185,144,1
145,10512,10513,1
5330,146,5328,1
10805,147,10804,1
5477,148,5475,1
11101,149,11100,1
150,5624,5626,1
11401,151,11400,1
5777,152,5775,1
11704,11705,153,1
154,5928,5930,1
12012,12013,155,1
156,6083,6085,1
12324,12325,157,1
6240,6242,158,1
159,12640,12641,1
160,6399,6401,1
12960,12961,161,1
6562,162,6560,1
163,13284,13285,1
164,6723,6725,1
13613,165,13612,1
166,6888,6890,1
167,13944,13945,1
168,7055,7057,1
169,14280,14281,1
7226,170,7224,1
14620,14621,171,1
7397,172,7395,1
14965,173,14964,1
7568,7570,174,1
15313,175,15312,1
7745,176,7743,1
15664,15665,177,1
7922,178,7920,1
179,16020,16021,1
8101,180,8099,1
181,16380,16381,1
182,8280,8282,1
16745,183,16744,1
184,8463,8465,1
17113,185,17112,1
186,8648,8650,1
187,17484,17485,1
8835,8837,188,1
17861,189,17860,1
190,9024,9026,1
18241,191,18240,1
9217,192,9215,1
18624,18625,193,1
9410,194,9408,1
195,19012,19013,1
9603,9605,196,1
19405,197,19404,1
9802,198,9800,1
199,19800,19801,1
9999,10001,200,1
20201,201,20200,1
10202,202,10200,1
20605,203,20604,1
204,10403,10405,1
205,21012,21013,1
10610,206,10608,1
207,21424,21425,1
10817,208,10815,1
21840,21841,209,1
11024,11026,210,1
211,22260,22261,1
212,11235,11237,1
22685,213,22684,1
11450,214,11448,1
215,23112,23113,1
216,11663,11665,1
23544,23545,217,1
218,11880,11882,1
23981,219,23980,1
12099,12101,220,1
221,24420,24421,1
222,12320,12322,1
223,24864,24865,1
12545,224,12543,1
225,25312,25313,1
12768,12770,226,1
227,25764,25765,1
12995,12997,228,1
229,26220,26221,1
13226,230,13224,1
26681,231,26680,1
13457,232,13455,1
233,27144,27145,1
234,13688,13690,1
27612,27613,235,1
236,13923,13925,1
28085,237,28084,1
14160,14162,238,1
28560,28561,239,1
14401,240,14399,1
241,29040,29041,1
14640,14642,242,1
29525,243,29524,1
14883,14885,244,1
245,30012,30013,1
15128,15130,246,1
30505,247,30504,1
15377,248,15375,1
249,31000,31001,1
15626,250,15624,1
251,31500,31501,1
252,15875,15877,1
32005,253,32004,1
254,16128,16130,1
32512,32513,255,1
16383,16385,256,1
33025,257,33024,1
16642,258,16640,1
259,33540,33541,1
16899,16901,260,1
34061,261,34060,1
17160,17162,262,1
263,34584,34585,1
264,17423,17425,1
35113,265,35112,1
266,17688,17690,1
267,35644,35645,1
17955,17957,268,1
36180,36181,269,1
18224,18226,270,1
271,36720,36721,1
18497,272,18495,1
37265,273,37264,1
274,18768,18770,1
37812,37813,275,1
19043,19045,276,1
38365,277,38364,1
19320,19322,278,1
279,38920,38921,1
280,19599,19601,1
39481,281,39480,1
282,19880,19882,1
40045,283,40044,1
284,20163,20165,1
40612,40613,285,1
286,20448,20450,1
41185,287,41184,1
20737,288,20735,1
41761,289,41760,1
21026,290,21024,1
42341,291,42340,1
292,21315,21317,1
42925,293,42924,1
21608,21610,294,1
295,43512,43513,1
296,21903,21905,1
297,44104,44105,1
22200,22202,298,1
299,44700,44701,1
22501,300,22499,1
301,45300,45301,1
22802,302,22800,1
45904,45905,303,1
23103,23105,304,1
305,46512,46513,1
306,23408,23410,1
47125,307,47124,1
23715,23717,308,1
47740,47741,309,1
24026,310,24024,1
48360,48361,311,1
24337,312,24335,1
48985,313,48984,1
24648,24650,314,1
49612,49613,315,1
24965,316,24963,1
317,50244,50245,1
25280,25282,318,1
50881,319,50880,1
25601,320,25599,1
51521,321,51520,1
25922,322,25920,1
52165,323,52164,1
26243,26245,324,1
52812,52813,325,1
326,26568,26570,1
327,53464,53465,1
26897,328,26895,1
329,54120,54121,1
330,27224,27226,1
331,54780,54781,1
27555,27557,332,1
333,55444,55445,1
334,27888,27890,1
56112,56113,335,1
28225,336,28223,1
56784,56785,337,1
28562,338,28560,1
339,57460,57461,1
28901,340,28899,1
58140,58141,341,1
29240,29242,342,1
58824,58825,343,1
344,29583,29585,1
59513,345,59512,1
29928,29930,346,1
347,60204,60205,1
30275,30277,348,1
60901,349,60900,1
30626,350,30624,1
351,61600,61601,1
30977,352,30975,1
353,62304,62305,1
31330,354,31328,1
355,63012,63013,1
356,31683,31685,1
63724,63725,357,1
32040,32042,358,1
64440,64441,359,1
32399,32401,360,1
65161,361,65160,1
32760,32762,362,1
65884,65885,363,1
33125,364,33123,1
66613,365,66612,1
366,33488,33490,1
67344,67345,367,1
33855,33857,368,1
68080,68081,369,1
34226,370,34224,1
68820,68821,371,1
372,34595,34597,1
69565,373,69564,1
34970,374,34968,1
70313,375,70312,1
35345,376,35343,1
71065,377,71064,1
378,35720,35722,1
71821,379,71820,1
36101,380,36099,1
72581,381,72580,1
382,36480,36482,1
73345,383,73344,1
384,36863,36865,1
74112,74113,385,1
386,37248,37250,1
74885,387,74884,1
37635,37637,388,1
75660,75661,389,1
38026,390,38024,1
76440,76441,391,1
38415,38417,392,1
393,77224,77225,1
38808,38810,394,1
78012,78013,395,1
396,39203,39205,1
78804,78805,397,1
398,39600,39602,1
79600,79601,399,1
40001,400,39999,1
80401,401,80400,1
40402,402,40400,1
81205,403,81204,1
40805,404,40803,1
405,82012,82013,1
41208,41210,406,1
82825,407,82824,1
41617,408,41615,1
83640,83641,409,1
42024,42026,410,1
84460,84461,411,1
412,42435,42437,1
85284,85285,413,1
42850,414,42848,1
86113,415,86112,1
43263,43265,416,1
86945,417,86944,1
418,43680,43682,1
87781,419,87780,1
44099,44101,420,1
88621,421,88620,1
44522,422,44520,1
89464,89465,423,1
44945,424,44943,1
90312,90313,425,1
45368,45370,426,1
427,91164,91165,1
45795,45797,428,1
92020,92021,429,1
46226,430,46224,1
92881,431,92880,1
46657,432,46655,1
93745,433,93744,1
434,47088,47090,1
94612,94613,435,1
436,47523,47525,1
95485,437,95484,1
438,47960,47962,1
96361,439,96360,1
48399,48401,440,1
441,97240,97241,1
442,48840,48842,1
98124,98125,443,1
49283,49285,444,1
445,99012,99013,1
49730,446,49728,1
447,99904,99905,1
448,50175,50177,1
100801,449,100800,1
50626,450,50624,1
451,101700,101701,1
51075,51077,452,1
102604,102605,453,1
51530,454,51528,1
103513,455,103512,1
51985,456,51983,1
104425,457,104424,1
52442,458,52440,1
105340,105341,459,1
52901,460,52899,1
106260,106261,461,1
53362,462,53360,1
107185,463,107184,1
464,53823,53825,1
465,108112,108113,1
466,54288,54290,1
109044,109045,467,1
54755,54757,468,1
469,109980,109981,1
470,55224,55226,1
471,110920,110921,1
55697,472,55695,1
111865,473,111864,1
56168,56170,474,1
475,112812,112813,1
56645,476,56643,1
113765,477,113764,1
57120,57122,478,1
114721,479,114720,1
57601,480,57599,1
115681,481,115680,1
58080,58082,482,1
116645,483,116644,1
58563,58565,484,1
117612,117613,485,1
59048,59050,486,1
487,118584,118585,1
59537,488,59535,1
119561,489,119560,1
60026,490,60024,1
491,120540,120541,1
60515,60517,492,1
121524,121525,493,1
61010,494,61008,1
122512,122513,495,1
61503,61505,496,1
123504,123505,497,1
62000,62002,498,1
499,124500,124501,1
62501,500,62499,1
501,125500,125501,1
63000,63002,502,1
503,126504,126505,1
63503,63505,504,1
127512,127513,505,1
64008,64010,506,1
128524,128525,507,1
64517,508,64515,1
129541,509,129540,1
65024,65026,510,1
130561,511,130560,1
65537,512,65535,1
131585,513,131584,1
66048,66050,514,1
132613,515,132612,1
66565,516,66563,1
517,133644,133645,1
67080,67082,518,1
134681,519,134680,1
520,67599,67601,1
135721,521,135720,1
522,68120,68122,1
523,136764,136765,1
68643,68645,524,1
137813,525,137812,1
69168,69170,526,1
138864,138865,527,1
69697,528,69695,1
139921,529,139920,1
70226,530,70224,1
531,140980,140981,1
532,70755,70757,1
142044,142045,533,1
534,71288,71290,1
143113,535,143112,1
536,71823,71825,1
144184,144185,537,1
538,72360,72362,1
145261,539,145260,1
540,72899,72901,1
146340,146341,541,1
542,73440,73442,1
147424,147425,543,1
73985,544,73983,1
148512,148513,545,1
546,74528,74530,1
547,149604,149605,1
75077,548,75075,1
150701,549,150700,1
550,75624,75626,1
151800,151801,551,1
76177,552,76175,1
152904,152905,553,1
76728,76730,554,1
154012,154013,555,1
77283,77285,556,1
557,155124,155125,1
558,77840,77842,1
156240,156241,559,1
78401,560,78399,1
561,157360,157361,1
562,78960,78962,1
158485,563,158484,1
79525,564,79523,1
159613,565,159612,1
80090,566,80088,1
160744,160745,567,1
568,80655,80657,1
161881,569,161880,1
570,81224,81226,1
571,163020,163021,1
572,81795,81797,1
164165,573,164164,1
82368,82370,574,1
165312,165313,575,1
576,82943,82945,1
166465,577,166464,1
578,83520,83522,1
167621,579,167620,1
580,84099,84101,1
581,168780,168781,1
582,84680,84682,1
169945,583,169944,1
85265,584,85263,1
585,171112,171113,1
85850,586,85848,1
587,172284,172285,1
86435,86437,588,1
173461,589,173460,1
87024,87026,590,1
591,174640,174641,1
87615,87617,592,1
175824,175825,593,1
88210,594,88208,1
177012,177013,595,1
596,88803,88805,1
178204,178205,597,1
89400,89402,598,1
599,179400,179401,1
90001,600,89999,1
601,180600,180601,1
90600,90602,602,1
603,181804,181805,1
91203,91205,604,1
183012,183013,605,1
606,91808,91810,1
607,184224,184225,1
92417,608,92415,1
185441,609,185440,1
610,93024,93026,1
186660,186661,611,1
612,93635,93637,1
187885,613,187884,1
94250,614,94248,1
615,189112,189113,1
94865,616,94863,1
190345,617,190344,1
95480,95482,618,1
619,191580,191581,1
620,96099,96101,1
621,192820,192821,1
96720,96722,622,1
194064,194065,623,1
624,97343,97345,1
625,195312,195313,1
626,97968,97970,1
196564,196565,627,1
628,98595,98597,1
197820,197821,629,1
99224,99226,630,1
631,199080,199081,1
99857,632,99855,1
200344,200345,633,1
100490,634,100488,1
635,201612,201613,1
636,101123,101125,1
202884,202885,637,1
101760,101762,638,1
639,204160,204161,1
102401,640,102399,1
205441,641,205440,1
103042,642,103040,1
643,206724,206725,1
644,103683,103685,1
208013,645,208012,1
104328,104330,646,1
209305,647,209304,1
104975,104977,648,1
649,210600,210601,1
105624,105626,650,1
651,211900,211901,1
106277,652,106275,1
213205,653,213204,1
106930,654,106928,1
655,214512,214513,1
107585,656,107583,1
215825,657,215824,1
658,108240,108242,1
659,217140,217141,1
108901,660,108899,1
661,218460,218461,1
109560,109562,662,1
219785,663,219784,1
110225,664,110223,1
665,221112,221113,1
110890,666,110888,1
667,222444,222445,1
111555,111557,668,1
223780,223781,669,1
670,112224,112226,1
671,225120,225121,1
672,112895,112897,1
226464,226465,673,1
113568,113570,674,1
227813,675,227812,1
676,114243,114245,1
229165,677,229164,1
114920,114922,678,1
679,230520,230521,1
680,115599,115601,1
231881,681,231880,1
116282,682,116280,1
683,233244,233245,1
116963,116965,684,1
234612,234613,685,1
686,117648,117650,1
235984,235985,687,1
118337,688,118335,1
237361,689,237360,1
119024,119026,690,1
691,238740,238741,1
119717,692,119715,1
693,240124,240125,1
120408,120410,694,1
241513,695,241512,1
121105,696,121103,1
242905,697,242904,1
121802,698,121800,1
244301,699,244300,1
122499,122501,700,1
245700,245701,701,1
123200,123202,702,1
703,247104,247105,1
123903,123905,704,1
248512,248513,705,1
124610,706,124608,1
249925,707,249924,1
125315,125317,708,1
251341,709,251340,1
126026,710,126024,1
252761,711,252760,1
712,126735,126737,1
713,254184,254185,1
127448,127450,714,1
255613,715,255612,1
716,128163,128165,1
