side1,side2,side3,validity
3036,5060,4048,1
21252,35420,28336,1
6072,8096,10120,1
30360,24288,18216,1
40480,32384,24288,1
20240,15180,25300,1
9108,12144,15180,1
4344,1267,4525,1
17738,63350,60816,1
67875,19005,65160,1
69504,20272,72400,1
12670,45250,43440,1
73848,76925,21539,1
58825,56472,16471,1
8268,9715,12757,1
25514,16536,19430,1
29145,24804,38271,1
57876,89299,68005,1
102056,77720,66144,1
41340,63785,48575,1
33072,51028,38860,1
7158,5130,4992,1
30780,42948,29952,1
21474,14976,15390,1
14316,9984,10260,1
35790,24960,25650,1
20520,19968,28632,1
41040,57264,39936,1
6465,3448,7327,1
24136,45255,51289,1
43962,20688,38790,1
14654,6896,12930,1
58616,27584,51720,1
32325,17240,36635,1
13792,25860,29308,1
3192,8075,8683,1
34732,12768,32300,1
19152,48450,52098,1
69464,25536,64600,1
9576,24225,26049,1
22344,56525,60781,1
16150,6384,17366,1
195,773,748,1
9276,8976,2340,1
8503,2145,8228,1
2925,11220,11595,1
9724,2535,10049,1
10822,2730,10472,1
7730,1950,7480,1
1360,816,1088,1
11968,14960,8976,1
16320,20400,12240,1
9792,13056,16320,1
11424,15232,19040,1
21760,17408,13056,1
17680,10608,14144,1
384,288,480,1
2880,3840,4800,1
5280,4224,3168,1
8160,6528,4896,1
6912,5184,8640,1
4608,3456,5760,1
4320,5760,7200,1
6390,7526,3976,1
15904,25560,30104,1
27832,52682,44730,1
15052,12780,7952,1
51120,60208,31808,1
23856,45156,38340,1
37630,31950,19880,1
1330,9074,8976,1
71808,10640,72592,1
18148,17952,2660,1
63518,62832,9310,1
26928,27222,3990,1
54444,53856,7980,1
5320,36296,35904,1
5880,3465,6825,1
27720,47040,54600,1
13650,6930,11760,1
34125,29400,17325,1
41160,24255,47775,1
23520,13860,27300,1
20475,17640,10395,1
10985,5577,9464,1
87880,75712,44616,1
56784,65910,33462,1
11154,18928,21970,1
22308,37856,43940,1
54925,27885,47320,1
66248,76895,39039,1
10282,8730,5432,1
20564,17460,10864,1
30846,16296,26190,1
27160,51410,43650,1
21728,34920,41128,1
82256,69840,43456,1
32592,61692,52380,1
4895,6497,4272,1
25988,17088,19580,1
9790,8544,12994,1
25632,38982,29370,1
39160,34176,51976,1
21360,24475,32485,1
12816,19491,14685,1
2646,6960,7446,1
5292,14892,13920,1
48720,18522,52122,1
37230,13230,34800,1
21168,59568,55680,1
27840,29784,10584,1
41760,15876,44676,1
126,120,174,1
1800,2610,1890,1
2268,3132,2160,1
1764,1680,2436,1
1200,1260,1740,1
2958,2040,2142,1
1920,2784,2016,1
10200,7128,7296,1
71400,49896,51072,1
14256,14592,20400,1
40800,28512,29184,1
35640,51000,36480,1
21888,30600,21384,1
42768,61200,43776,1
420,336,252,1
7560,6048,4536,1
5376,4032,6720,1
3696,4620,2772,1
4200,2520,3360,1
5880,3528,4704,1
7140,4284,5712,1
7922,6478,4560,1
63376,36480,51824,1
19434,13680,23766,1
9120,12956,15844,1
31688,18240,25912,1
47532,27360,38868,1
31920,55454,45346,1
12818,8400,9682,1
48410,64090,42000,1
25636,19364,16800,1
102544,77456,67200,1
58092,50400,76908,1
29046,38454,25200,1
38728,51272,33600,1
1925,2555,1680,1
43435,28560,32725,1
38325,25200,28875,1
21175,28105,18480,1
25550,19250,16800,1
25025,33215,21840,1
35770,23520,26950,1
2176,132,2180,1
1320,21760,21800,1
23980,23936,1452,1
30464,30520,1848,1
2244,37060,36992,1
32700,32640,1980,1
2112,34816,34880,1
5729,2975,4896,1
40103,20825,34272,1
14875,24480,28645,1
22916,19584,11900,1
23800,45832,39168,1
17850,29376,34374,1
9792,11458,5950,1
9360,1716,9516,1
47580,8580,46800,1
76128,74880,13728,1
12012,66612,65520,1
28080,5148,28548,1
6864,37440,38064,1
10296,56160,57096,1
1533,1460,2117,1
38106,26280,27594,1
21170,15330,14600,1
29638,20440,21462,1
23287,16863,16060,1
26061,35989,24820,1
19929,18980,27521,1
3129,1071,2940,1
49980,53193,18207,1
11781,34419,32340,1
