side1,side2,side3,validity
81932,79349,4557,1
83846,32582,6147,0
68906,10161,59180,1
19033,93709,54549,0
43055,38452,85781,0
97930,22634,69706,0
87540,38476,20254,0
19686,32317,68931,0
68807,56077,45652,1
80444,54392,16708,0
7745,85882,37446,0
1581,72211,79172,0
52109,76622,78293,1
16567,4574,52076,0
95185,75598,59222,1
8683,38591,62545,0
91046,36141,40549,0
84775,14151,78134,1
78363,70246,7947,0
5993,38854,12133,0
87056,5140,57123,0
67275,93828,52371,1
87432,89440,490,0
17733,78539,24350,0
77905,8488,93441,0
85153,78318,11217,1
29609,59491,81719,1
79267,71808,36647,1
31369,78502,14780,0
81187,92907,14844,1
97719,74963,52928,1
95716,19913,17632,0
50449,77116,55775,1
88702,85139,78639,1
5185,23984,78873,0
88076,34422,51329,0
95582,35473,30335,0
27771,480,6317,0
5993,17884,62242,0
88082,70685,44110,1
5044,47254,35111,0
70872,86372,28315,1
31032,36603,62180,1
60500,32992,7717,0
816,46864,98919,0
68592,87754,27959,1
48016,99828,33874,0
15468,65159,62409,1
92055,27575,8771,0
20691,4100,54225,0
6223,37805,93894,0
87603,14545,80446,1
26001,82483,47231,0
30275,77720,84259,1
64284,92903,26605,0
31863,37632,71510,0
7835,65464,17371,0
90820,49994,90553,1
92632,16646,80957,1
49877,29812,12303,0
87895,22663,46615,0
39811,8322,26741,0
25980,26256,91728,0
49310,67835,63126,1
9703,26972,38705,0
38206,27317,25156,1
65353,12154,49888,0
64194,91702,65169,1
43245,47695,42722,1
75880,51441,7696,0
89992,56116,86865,1
73625,43605,9976,0
86642,71823,50993,1
56118,94016,5476,0
3366,85089,77886,0
88380,22387,67400,1
70483,86567,28960,1
12770,58503,97848,0
60984,8995,62364,1
90544,32135,22874,0
32917,31245,84433,0
34559,50961,54194,1
82868,42304,25100,0
66182,31410,27002,0
42568,76658,30156,0
42024,24480,40209,1
96235,333,76143,0
95065,44332,61679,1
45732,1370,15179,0
35392,50300,91775,0
7289,94809,66998,0
92244,95299,93084,1
78375,51726,12963,0
285,17269,74858,0
33718,97931,21345,0
46659,9642,48503,1
54359,73352,16585,0
50740,57827,39822,1
93402,54805,42981,1
66625,26208,39923,0
66278,18490,96225,0
26851,47252,17528,0
66530,13927,1468,0
75414,91505,82086,1
60515,65815,44777,1
70122,55484,30270,1
10891,13179,58789,0
83341,51824,35261,1
54215,45030,69446,1
79265,66169,30486,1
42699,84261,44999,1
4070,75566,92125,0
34749,6799,64399,0
39133,16788,95545,0
96173,43085,51886,0
19029,86626,96405,1
18829,62897,17293,0
36614,18368,98948,0
60268,8357,23770,0
59685,47294,79212,1
28351,22653,47520,1
25994,74710,37227,0
59550,46683,40822,1
87344,46173,48707,1
69338,78468,69791,1
89076,82313,60209,1
37198,32607,17689,1
56001,5634,46448,0
75798,40861,59062,1
18102,68771,72607,1
4532,65013,43720,0
34699,11804,24320,1
24843,93399,50878,0
50307,45107,60925,1
48657,29762,34202,1
52657,97278,93115,1
99708,97107,653,0
69698,39687,29521,0
16598,1609,92484,0
80186,24100,19649,0
62177,25511,1507,0
44047,43298,47842,1
1368,96547,37423,0
81902,12157,58747,0
89916,91177,25221,1
9666,94138,82651,0
60680,26265,17492,0
79843,58248,54830,1
6501,79667,54638,0
29822,82656,81737,1
3272,28882,13765,0
15215,17887,33068,1
24201,41822,6921,0
7865,25,9763,0
73941,24769,34993,0
95813,67984,19976,0
88688,48559,33963,0
39633,83051,14386,0
93174,35170,56000,0
76377,55630,87955,1
24495,41929,88344,0
17882,36092,62624,0
99845,94971,66467,1
1368,52853,53633,1
9090,77861,24646,0
66583,71409,329,0
46990,91450,44808,1
66936,52844,50998,1
36233,82272,87730,1
29250,99236,6106,0
39401,87626,57262,1
15553,87011,35321,0
37013,11626,55198,0
25556,22105,26270,1
73978,38459,61511,1
13460,76827,9402,0
62114,78237,56306,1
30042,52848,92656,0
62304,95906,5101,0
37383,8348,90289,0
13014,69290,88965,0
71079,89659,881,0
71030,24793,298,0
94561,3054,64132,0
64672,66393,82477,1
64557,64980,21896,1
58136,46088,30809,1
13829,534,49636,0
76229,80263,66105,1
52816,18607,23933,0
33139,11394,18640,0
84882,30203,49312,0
88130,31584,34218,0
72998,56818,10971,0
36002,70360,22129,0
67070,42173,27978,1
61192,12351,40904,0
85842,51499,23772,0
77618,15439,42942,0
70122,99744,61725,1
4725,22176,45753,0
83519,81533,72825,1
19906,50343,79223,0
61427,18139,9917,0
74177,10816,77465,1
99120,35247,25463,0
77441,45373,68469,1
34404,74935,33525,0
56255,61513,15376,1
