side1,side2,side3,validity
1892,40656,40700,1
111521,5953,108354,0
38,39,40,0
23100,1360,23140,1
517,78,519,0
43682,3914,43124,0
82,62,96,0
32846,3431,32539,0
218,104,218,0
1173,86,1175,0
1418,67,1419,0
1341,92,1342,0
11985,1504,12079,1
77,43,79,0
64750,3600,64850,1
1318,164,1320,0
2425,114,2426,0
323,82,324,0
25842,3167,25711,0
8448,202664,202840,1
5184,82863,83025,1
2967,80,2968,0
6461,229320,229411,1
47621,3875,46316,0
452,93,454,0
9121,1038,8689,0
4736,87552,87680,1
34321,3910,31289,0
43848,1539,43875,1
7216,147840,148016,1
482,170,428,0
825,6160,6215,1
539,57,541,0
15008,2010,15142,1
3301,102,3302,0
3870,87032,87118,1
546,107,548,0
4655,1019,4666,0
67200,4640,67360,1
73,74,75,0
1205,118,1207,0
227,100,228,0
4964,181152,181220,1
6596,319872,319940,1
5250,91800,91950,1
62033,4979,61328,0
8064,1080,8136,1
37506,3760,37694,1
1344,28208,28240,1
10984,1511,10761,0
6240,202752,202848,1
506,224,530,0
34650,2040,34710,1
7438,1367,7419,0
998,100,1000,0
8785,1164,8717,0
348,94,350,0
5042,1844,3446,0
2176,36960,37024,1
22880,2184,22984,1
164,3360,3364,1
2746,155,2747,0
72,70,74,0
70560,4872,70728,1
24975,1924,25049,1
768,145,770,0
26208,1944,26280,1
874,10032,10070,1
103,54,104,0
559,48,560,0
97187,7039,96414,0
174345,7387,171668,0
33660,1005,33675,1
132396,3953,132455,1
11440,1092,11492,1
143704,6390,143846,1
8811,436100,436189,1
52360,1518,52382,1
82,83,84,0
189420,4565,189475,1
1210,123,1212,0
1872,36480,36528,1
943,104,945,0
12377,1255,12072,0
29569,2257,28718,0
1625,52800,52825,1
3483,74844,74925,1
2853,116,2854,0
2642,650,2252,0
15122,1918,14880,0
164220,4761,164289,1
5880,406,5894,1
65473,4000,63583,0
3249,1681,1682,0
2814,29480,29614,1
26880,1856,26944,1
67034,4920,65834,0
114914,7510,113784,0
1105,35904,35921,1
246012,6391,246095,1
48510,2856,48594,1
2988,123984,124020,1
1993,598,2057,0
10101,532,10115,1
56162,5074,55764,0
199921,8107,197692,0
31744,1008,31760,1
82010,5844,80986,0
154661,6862,151977,0
2462,160,2464,0
142693,7300,138493,0
399,11368,11375,1
3278,879,3331,0
216,162,270,1
1920,560,2000,1
80040,2714,80086,1
2306,974,2480,0
12601,1414,11815,0
54433,3437,53010,0
2520,17550,17730,1
660,1925,2035,1
1375,81,1377,0
1984,63,1985,1
1162,140,1164,0
60762,3040,60838,1
8398,936,8450,1
23904,2951,23761,0
8245,350364,350461,1
1752,154,1754,0
36936,1998,36990,1
84672,3080,84728,1
6240,158,6242,1
1056,158,1058,0
1221,20128,20165,1
72896,4422,73030,1
1260,26445,26475,1
6045,868,6107,1
1941,179,1943,0
43648,1386,43670,1
1134,288,1170,1
195,6336,6339,1
5882,1188,5110,0
96,73,98,0
30962,3590,30808,0
2760,506,2806,1
32341,2386,31493,0
169,77,174,0
46,47,48,0
9301,2104,7505,0
9120,433152,433248,1
49,26,51,0
4810,156288,156362,1
416500,8415,416585,1
0,88,88,1
57,43,68,0
2046,11160,11346,1
62018,4784,61106,0
105341,6915,104116,0
77,75,79,0
30577,2605,30322,0
1455,776,1649,1
3542,136344,136390,1
640,5100,5140,1
3936,1148,4100,1
465,106,467,0
1536,6048,6240,1
1100,105,1105,1
111889,5527,110504,0
237600,5340,237660,1
27930,2800,28070,1
1741,60,1742,0
1008,6006,6090,1
3522,854,3544,0
2072,38304,38360,1
27360,1480,27400,1
1365,62100,62115,1
94535,5256,94681,1
76297,4455,74152,0
11629,1276,10997,0
1216,23088,23120,1
15,14,16,0
1625,58,1626,0
24,18,30,1
70,168,182,1
429,70,431,0
53569,3622,51673,0
4312,105600,105688,1
7448,141414,141610,1
436101,13612,431387,0
67032,3626,67130,1
1173,13464,13515,1
158,87,159,0
119954,8014,118992,0
6048,936,6120,1
994,96,996,0
4352,264,4360,1
362208,7469,362285,1
265,199,328,0
3190,46200,46310,1
213,160,263,0
17,13,18,0
6157,980,5517,0
23712,616,23720,1
5348,1159,5373,0
642,206,592,0
650,73,651,0
170,223,279,0
16632,774,16650,1
33072,2650,33178,1
6482,1520,6578,0
512,287,289,0
8050,672,8078,1
81648,2970,81702,1
27072,3196,27260,1
112,84,140,1
15202,2222,13776,0
2704,35100,35204,1
2650,33072,33178,1
8160,1024,8224,1
0,-8,8,1
79680,5146,79846,1
1683,340,1717,1
684,6480,6516,1
13157,1552,12201,0
189,47,191,0
31656,3815,31561,0
5785,257400,257465,1
37696,1197,37715,1
156241,6923,154524,0
7636,316848,316940,1
2880,46035,46125,1
45,60,75,1
5432,263424,263480,1
198,101,199,0
36108,2065,36167,1
33480,3534,33666,1
128,96,160,1
18722,2074,18204,0
744,1395,1581,1
146640,3713,146687,1
30000,1225,30025,1
3108,65231,65305,1
2124,101,2126,0
120,89,121,0
63757,3848,62943,0
10561,1207,10408,0
2419,49560,49619,1
3120,250,3130,1
447,88,449,0
158,96,160,0
4802,1208,3910,0
3120,40500,40620,1
614,132,616,0
666,2960,3034,1
20240,1932,20332,1
215424,6432,215520,1
347,191,382,0
37802,3535,37287,0
7442,1736,7562,0
47336,4751,47089,0
53856,3080,53944,1
130417,6275,127572,0
65,58,66,0
3178,137,3179,0
10296,897,10335,1
7347,290160,290253,1
32242,1344,32270,1
4998,127400,127498,1
384,97,385,0
27360,1480,27400,1
14448,2236,14620,1
725,78,726,0
89,27,91,0
30997,4108,27643,0
75,2812,2813,1
3303,104,3304,0
3872,85140,85228,1
109668,5776,109820,1
63525,3740,63635,1
29760,1922,29822,1
452,61,453,0
144,108,180,1
1244,90,1246,0
1041,143,1043,0
143912,8719,142569,0
288,384,480,1
1120,7800,7880,1
60,29,61,0
114400,4488,114488,1
728,105,730,0
62930,4200,63070,1
8352,986,8410,1
1680,378,1722,1
6460,109725,109915,1
8280,186208,186392,1
32775,2736,32889,1
2898,99960,100002,1
81,82,82,0
24,10,26,1
21850,1824,21926,1
1020,17325,17355,1
3602,702,3296,0
52000,2040,52040,1
1144,6240,6344,1
6864,150930,151086,1
10532,1679,10469,0
64380,2183,64417,1
118932,3551,118985,1
4605,188,4606,0
8209,1091,7572,0
7229,1539,7292,0
3969,160720,160769,1
23,21,25,0
26240,648,26248,1
8387,1371,8302,0
3339,88452,88515,1
77377,4378,75493,0
15162,1520,15238,1
250,3120,3130,1
27609,2536,26057,0
17157,1720,17243,1
2555,106,2556,0
5040,105780,105900,1
22801,1891,22108,0
11340,783,11367,1
362,121,363,0
57661,3690,55891,0
2137,755,2232,0
290,696,754,1
528,46,530,1
56,0,56,1
12278,1727,11339,0
174434,9540,172474,0
330,107,332,0
379,92,380,0
7392,177331,177485,1
2594,145,2595,0
91,29,93,0
141707,8187,139814,0
4370,998,3704,0
1907,108,1908,0
