side1,side2,side3,side1^2,side2^2,side3^2,validity
-56,0,56,3136,0,3136,1
1961,51948,51985,3845521,2698594704,2702440225,1
75601,4579,73180,5715511201,20967241,5355312400,0
1209,122,1211,1461681,14884,1466521,0
23760,534,23766,564537600,285156,564822756,1
4181,598,3999,17480761,357604,15992001,0
1049,151,1051,1100401,22801,1104601,0
2767,971,2898,7656289,942841,8398404,0
19950,2000,20050,398002500,4000000,402002500,1
196560,5538,196638,38635833600,30669444,38666503044,1
227,299,374,51529,89401,139876,0
307020,7225,307105,94261280400,52200625,94313481025,1
3870,83160,83250,14976900,6915585600,6930562500,1
2344,137,2346,5494336,18769,5503716,0
4680,152064,152136,21902400,23123460096,23145362496,1
308,231,385,94864,53361,148225,1
0,0,0,0,0,0,1
1779,100,1781,3164841,10000,3171961,0
-32,0,32,1024,0,1024,1
42302,3863,40315,1789459204,14922769,1625299225,0
1862,45600,45638,3467044,2079360000,2082827044,1
10322,1990,10392,106543684,3960100,107993664,0
1,21,22,1,441,484,0
126936,6048,127080,16112748096,36578304,16149326400,1
2331,43092,43155,5433561,1856920464,1862354025,1
210701,9058,205941,44394911401,82047364,42411695481,0
207481,8277,204662,43048365361,68508729,41886534244,0
207272,11039,205441,42961681984,121859521,42206004481,0
3956,90945,91031,15649936,8270993025,8286642961,1
2393,186,2395,5726449,34596,5736025,0
260,66,262,67600,4356,68644,0
480,200,520,230400,40000,270400,1
142,71,143,20164,5041,20449,0
3840,92120,92200,14745600,8486094400,8500840000,1
125541,6612,125715,15760542681,43718544,15804261225,1
89,72,90,7921,5184,8100,0
374,120,376,139876,14400,141376,0
2762,171,2763,7628644,29241,7634169,0
17108,1269,17155,292683664,1610361,294294025,1
95130,6164,93286,9049716900,37994896,8702277796,0
2494,36120,36206,6220036,1304654400,1310874436,1
6068,124320,124468,36820624,15455462400,15492283024,1
1165,78,1167,1357225,6084,1361889,0
738,15120,15138,544644,228614400,229159044,1
75601,4238,74511,5715511201,17960644,5551889121,0
78338,5774,77456,6136842244,33339076,5999431936,0
1774,93,1775,3147076,8649,3150625,0
1924,125,1925,3701776,15625,3705625,0
147752,6570,147898,21830653504,43164900,21873818404,1
9504,470400,470496,90326016,221276160000,221366486016,1
5520,1242,5658,30470400,1542564,32012964,1
511,113,513,261121,12769,263169,0
55480,2847,55553,3078030400,8105409,3086135809,1
2016,36260,36316,4064256,1314787600,1318851856,1
1200,49,1201,1440000,2401,1442401,1
2542,52080,52142,6461764,2712326400,2718788164,1
1541,174,1543,2374681,30276,2380849,0
483,85,485,233289,7225,235225,0
7381,940,7259,54479161,883600,52693081,0
35,0,35,1225,0,1225,1
56160,1422,56178,3153945600,2022084,3155967684,1
100,77,102,10000,5929,10404,0
321441,11137,318338,103324316481,124032769,101339082244,0
339529,11517,336094,115279941841,132641289,112959176836,0
1,20,21,1,400,441,0
85472,6119,84529,7305462784,37442161,7145151841,0
1692,125,1693,2862864,15625,2866249,0
95608,2550,95642,9140889664,6502500,9147392164,1
0,182,182,0,33124,33124,1
32777,3263,32360,1074331729,10647169,1047169600,0
103200,4214,103286,10650240000,17757796,10667997796,1
152,2886,2890,23104,8328996,8352100,1
4501,636,4363,20259001,404496,19035769,0
74480,3822,74578,5547270400,14607684,5561878084,1
34427,3275,33902,1185218329,10725625,1149345604,0
2323,116,2325,5396329,13456,5405625,0
2,156,158,4,24336,24964,0
1179,157,1181,1390041,24649,1394761,0
1512,630,1638,2286144,396900,2683044,1
2870,984,3034,8236900,968256,9205156,1
1401,107,1403,1962801,11449,1968409,0
253081,9487,250432,64049992561,90003169,62716186624,0
88741,4690,87109,7874965081,21996100,7587977881,0
0,62,62,0,3844,3844,1
11089,1436,11037,122965921,2062096,121815369,0
77519,6271,76986,6009195361,39325441,5926844196,0
63081,3958,62441,3979212561,15665764,3898878481,0
14448,2236,14620,208744704,4999696,213744400,1
44064,2520,44136,1941636096,6350400,1947986496,1
1184,97,1186,1401856,9409,1406596,0
497,106,498,247009,11236,248004,0
123008,3906,123070,15130968064,15256836,15146224900,1
57200,2244,57244,3271840000,5035536,3276875536,1
20162,2200,19302,406506244,4840000,372567204,0
19345,1837,19118,374229025,3374569,365497924,0
33516,3360,33684,1123322256,11289600,1134611856,1
20700,455,20705,428490000,207025,428697025,1
325425,11179,321812,105901430625,124970041,103562963344,0
136,89,138,18496,7921,19044,0
35112,1634,35150,1232852544,2669956,1235522500,1
281,211,348,78961,44521,121104,0
21121,2215,21016,446096641,4906225,441672256,0
40601,2992,39057,1648441201,8952064,1525449249,0
36227,3739,35934,1312395529,13980121,1291252356,0
1101,142,1103,1212201,20164,1216609,0
15302,2143,15195,234151204,4592449,230888025,0
144,46,146,20736,2116,21316,0
2812,53391,53465,7907344,2850598881,2858506225,1
22275,1716,22341,496175625,2944656,499120281,1
110400,4700,110500,12188160000,22090000,12210250000,1
240,113,241,57600,12769,58081,0
564,53,565,318096,2809,319225,0
128341,6870,124321,16471412281,47196900,15455711041,0
4537,773,4518,20584369,597529,20412324,0
162542,9239,160859,26419901764,85359121,25875617881,0
1369,25308,25345,1874161,640494864,642369025,1
4761,164220,164289,22667121,26968208400,26990875521,1
138,184,230,19044,33856,52900,1
2606,157,2607,6791236,24649,6796449,0
12481,1287,12232,155775361,1656369,149621824,0
69090,2880,69150,4773428100,8294400,4781722500,1
211820,6141,211909,44867712400,37711881,44905424281,1
6732,385,6743,45319824,148225,45468049,1
700,126,702,490000,15876,492804,0
6314,243048,243130,39866596,59072330304,59112196900,1
81314,5546,79636,6611966596,30758116,6341892496,0
17864,627,17875,319122496,393129,319515625,1
17342,2399,17251,300744964,5755201,297597001,0
9048,725,9077,81866304,525625,82391929,1
20,0,20,400,0,400,1
19938,2864,19918,397523844,8202496,396726724,0
-65,0,65,4225,0,4225,1
61381,3812,59613,3767627161,14531344,3553709769,0
151538,8814,149936,22963765444,77686596,22480804096,0
5002,152520,152602,25020004,23262350400,23287370404,1
139200,5684,139316,19376640000,32307856,19408947856,1
929,90,931,863041,8100,866761,0
72283,3444,72365,5224832089,11861136,5236693225,1
3800,195,3805,14440000,38025,14478025,1
1827,19140,19227,3337929,366339600,369677529,1
31920,2204,31996,1018886400,4857616,1023744016,1
3069,142692,142725,9418761,20361006864,20370425625,1
4272,1246,4450,18249984,1552516,19802500,1
133,1260,1267,17689,1587600,1605289,1
22561,1906,22157,508998721,3632836,490932649,0
4410,99176,99274,19448100,9835878976,9855327076,1
4032,476,4060,16257024,226576,16483600,1
1729,78660,78679,2989441,6187395600,6190385041,1
532,93,534,283024,8649,285156,0
3680,42240,42400,13542400,1784217600,1797760000,1
295,72,297,87025,5184,88209,0
3534,54720,54834,12489156,2994278400,3006767556,1
1879,80,1880,3530641,6400,3534400,0
