side1^2,side2^2,side3^2,validity
3047260804,19927296,2823221956,0
67453369,1408969,60902416,0
10549504,12996,10562500,1
34507520644,105987025,33893914609,0
10201,8836,10609,0
9701462016,28387584,9729849600,1
0,36,36,1
8480936464,16769025,8497705489,1
8245366416,3814209,8249180625,1
94864,2916,96100,0
2235025,20736,2238016,0
9409,4356,9604,0
900000000,1500625,901500625,1
1338649,1334025,4624,1
89362732096,47238129,89409970225,1
11363560000,17489124,11381049124,1
2518534225,11881809,2468897344,0
627264,170459136,171086400,1
39917124,65454105600,65494022724,1
1600,1089,1764,0
11679557184,34175716,11713732900,1
24797745729,48121969,23959944100,0
2220671376,1979649,2222651025,1
6100900,254721600,260822500,1
24336,4225,28561,1
2712609,16384,2719201,0
6561,1,6724,0
2547216,279558400,282105616,1
61989546529,87516025,60600653584,0
25549145281,48594841,24745806864,0
5909761,14400,5914624,0
8730846721,19820304,8750667025,1
28217344,48583213056,48611430400,1
26977636,18931558464,18958536100,1
29584,2809,30276,0
1183744,84934656,86118400,1
0,6241,6241,1
18462559129,32080896,18494640025,1
1684445764,12588304,1572122500,0
1256641,4096,1258884,0
1399489,2896592400,2897991889,1
13660416,6017415184,6031075600,1
1147041,1137577984,1138725025,1
22458121,17424,22467600,0
254016,2160900,2414916,1
680625,10816,682276,0
34225,4356,34969,0
350475841,3193369,341954064,0
2359627776,17909824,2377537600,1
72361,126025,197136,0
6526054656,5817744,6531872400,1
33373729,2036329,22052416,0
0,0,0,1
18173169,10899360000,10917533169,1
5184,625,5476,0
2772225,947408400,950180625,1
8300161,216225,7474756,0
52900,304704,357604,1
31884030721,57623281,31232785984,0
8649481,345744,8637721,0
5938969,15876,5943844,0
8427607204,41011216,8243550436,0
3841600,12769,3849444,0
191844,2209,192721,0
1768900,3990196224,3991965124,1
14001042276,38837824,14039880100,1
7290000,1324960000,1332250000,1
5031049,16641,5040025,0
10595025,1245456,11840481,1
180625,12960000,13140625,1
519840000,866761,520706761,1
761760000,5308416,767068416,1
1679616,305270784,306950400,1
43375396,85872441600,85915816996,1
3157729,9604,3164841,0
36680293441,61544025,35776209316,0
1327104,112896,1440000,1
1646087184,13660416,1659747600,1
329476,138297600,138627076,1
233722944,1285956,235008900,1
3538161,206116,3591025,0
599319361,3908529,573219364,0
176916601,3207681,152868496,0
6350400,152100,6502500,1
138297600,3312400,141610000,1
470596,5531904,6002500,1
45158400,188356,45346756,1
40371659329,115842169,39636828100,0
62346816,27463781284,27526128100,1
16402500,4468996,4477456,0
2561979456,7496644,2569476100,1
40960000,16363526400,16404486400,1
361342081,6927424,287946961,0
1920996,1905147904,1907068900,1
6969600,52900,7022500,1
8486462884,36566209,8098380081,0
552049,4761,555025,0
7784100,1866240000,1874024100,1
8281,5476,8464,0
10709973121,45441081,9781605604,0
129859329600,65593801,129924923401,1
29463184,15571296225,15600759409,1
1016064,86436,1102500,1
2025,1444,2209,0
6744409,4732889616,4739634025,1
197121600,2196324,199317924,1
131769,5776,132496,0
2947186944,18922500,2966109444,1
9718213561,25321024,9376629889,0
33177600,462400,33640000,1
121022001,1560001,117722500,0
1490841,17956,1495729,0
1440000,2024280064,2025720064,1
5760000,24025,5784025,1
11539609,5328416016,5339955625,1
305585361,2617924,281601961,0
656100,3779136,4435236,1
39917124,65454105600,65494022724,1
697065604,11424400,581677924,0
28751044,1607824,29484900,0
22382361,38536830864,38559213225,1
5308416,921600,6230016,1
0,1,1,1
4674244,19321,4682896,0
75625,2250000,2325625,1
7284601,1038361,3467044,0
5041,8281,12996,0
1218816,2209,1221025,1
32870052601,71639296,31164606225,0
15916850244,62663056,15595513924,0
31843449,78008490000,78040333449,1
2397179521,12117361,2355937444,0
23309584,29364249600,29387559184,1
5271616,33124,5280804,0
39237696,74227912704,74267150400,1
8025889,9216,8031556,0
7958041,1907942400,1915900441,1
729,784,784,0
9170360644,39337984,8887587076,0
4884100,9216,4892944,0
4468996,443556,2676496,0
374544,10201,375769,0
16760836,2208248064,2225008900,1
26010000,36563558656,36589568656,1
16337764,29241,16345849,0
2624400,64304361,66928761,1
464833600,4235364,469068964,1
21902400,11077141504,11099043904,1
3087049,175561,2572816,0
5313025,16384,5317636,0
15747740100,56460196,15295752976,0
4743684,11620840000,11625583684,1
2022084,39942400,41964484,1
12859786801,31854736,12319890025,0
210681,3721,212521,0
49801249,1352569,49956624,0
915970225,7354944,904385329,0
4032064,7569,4036081,0
35880315241,62821476,34638048769,0
857376961,5475600,834689881,0
3829134400,21068100,3850202500,1
0,4489,4489,1
23040000,37249,23049601,0
7033104,504631296,511664400,1
553237441,4060225,537497856,0
48841,2039184,2088025,1
30059237376,16646400,30075883776,1
1382976,270372249,271755225,1
6330256,454201344,460531600,1
66049,37249,101124,0
5553230400,2683044,5555913444,1
707560000,6880129,659924721,0
22137025,638401,21977344,0
43718544,82704557056,82748275600,1
32433025,58565936016,58598369041,1
27662675041,57896881,26403000100,0
896809,11664,900601,0
1127683561,10233601,1030410000,0
245298244,3411409,224130841,0
65496649,1901641,52823824,0
26163225,19772859456,19799022681,1
13307904,4797501696,4810809600,1
2057529600,9809424,2067339024,1
383533056,1254400,384787456,1
913936,13689,917764,0
1366189444,15413476,1348945984,0
75076,2601,76176,0
12043087081,29138404,11663784001,0
22924944,549081,23474025,1
48888064,25837347600,25886235664,1
70203801600,33918976,70237720576,1
135424,76176,211600,1
116057529,1166400,117223929,1
2471184,13225,2474329,0
266256,13924,268324,0
642369025,7991929,543262864,0
1183744,18352656,19536400,1
5579044,24025,5588496,0
4734976,1209787524,1214522500,1
2812329,1067982400,1070794729,1
14364100,8649,14371681,0
59049,1166400,1225449,1
768398400,388129,768786529,1
5336100,1631513664,1636849764,1
729108004,10061584,719634276,0
400,441,484,0
114514560000,50765625,114565325625,1
1215219600,5793649,1221013249,1
271441,6724,273529,0
542703616,2985984,545689600,1
1254400,63504,1317904,1
23014407025,50367409,21968575524,0
10467949969,26604964,10162051249,0
3496900,11664,3504384,0
294431281,4322241,285001924,0
2662560000,4439449,2666999449,1
24147396,9169977600,9194124996,1
12960000,5177522025,5190482025,1
4844401,23716,4848804,0
6980164,506944,4691556,0
5890869504,14745600,5905615104,1
10899360000,12531600,10911891600,1
639331225,16990884,473628169,0
896882704,10029889,877877641,0
144,25,169,1
1078859716,11771761,1058786521,0
4534406244,23193856,4557600100,1
2614174641,16933225,2450646016,0
10740213225,18662400,10758875625,1
225,400,625,1
13521503524,57517056,13260443716,0
8004165156,22202944,8026368100,1
1119364,9801,1123600,0
153041641,2556801,145684900,0
360000,1265625,1625625,1
1532879104,13242321,1493126881,0
1089,1024,1156,0
13727025,14492307456,14506034481,1
34327881,74208297744,74242625625,1
16120225,21468110400,21484230625,1
5972352961,18896409,5820469264,0
98287396,2808976,97732996,0
226576,2663424,2890000,1
1960000,230400,2190400,1
33182629921,63441225,31803015556,0
38925121,1792921,39463524,0
13326624481,35569296,12641629225,0
5127992100,20070400,5148062500,1
67782289,1809025,68194564,0
