side1^2,side2^2,side3^2,side1^2+side2^2,side1^2+side3^2,side2^2+side3^2,validity
4004001,23716,4012009,4027717,8016010,4035725,0
368449,15625,370881,384074,739330,386506,0
23201382400,19501056,23220883456,23220883456,46422265856,23240384512,1
31371201,717409,30824704,32088610,62195905,31542113,0
18769,4356,19044,23125,37813,23400,0
146168100,3013696,149181796,149181796,295349896,152195492,1
4931550625,17214201,4818858724,4948764826,9750409349,4836072925,0
32970564,62372065536,62405036100,62405036100,62438006664,124777101636,1
3694084,25600,3701776,3719684,7395860,3727376,0
9216,5303809,5313025,5313025,5322241,10616834,1
2304,400,2704,2704,5008,3104,1
21609,9604,21904,31213,43513,31508,0
15455959684,58767556,15096545424,15514727240,30552505108,15155312980,0
22477081,842724,22743361,23319805,45220442,23586085,0
47334400,2396304,49730704,49730704,97065104,52127008,1
15586704,6865945321,6881532025,6881532025,6897118729,13747477346,1
7018753284,37258816,6873404836,7056012100,13892158120,6910663652,0
7226700100,32695524,6944888896,7259395624,14171588996,6977584420,0
57600,893025,950625,950625,1008225,1843650,1
424689664,7617600,432307264,432307264,856996928,439924864,1
2143296,182329,2325625,2325625,4468921,2507954,1
96387895296,40985604,96428880900,96428880900,192816776196,96469866504,1
55681444,23372294400,23427975844,23427975844,23483657288,46800270244,1
442225,8281,444889,450506,887114,453170,0
5929,2116,6084,8045,12013,8200,0
0,0,0,0,0,0,1
2373638400,5654884,2379293284,2379293284,4752931684,2384948168,1
5189284,372335616,377524900,377524900,382714184,749860516,1
556516,9801,558009,566317,1114525,567810,0
467467641,22052416,302516449,489520057,769984090,324568865,0
341584324,4730625,303560929,346314949,645145253,308291554,0
12006225,17790224400,17802230625,17802230625,17814236850,35592455025,1
2408704,9025,2411809,2417729,4820513,2420834,0
806105664,4435236,810540900,810540900,1616646564,814976136,1
1704120961,9703225,1674119056,1713824186,3378240017,1683822281,0
74666881,1014049,67371264,75680930,142038145,68385313,0
22500,5041,23104,27541,45604,28145,0
9922500,5018305600,5028228100,5028228100,5038150600,10046533700,1
79569126400,48525156,79617651556,79617651556,159186777956,79666176712,1
4012009,24336,4020025,4036345,8032034,4044361,0
1102500,121000000,122102500,122102500,123205000,243102500,1
19953540049,68409441,19474760704,20021949490,39428300753,19543170145,0
170485249,1697809,157954624,172183058,328439873,159652433,0
12096040324,46335249,11676747481,12142375573,23772787805,11723082730,0
4549689,7096377600,7100927289,7100927289,7105476978,14197304889,1
339738624,4734976,344473600,344473600,684212224,349208576,1
34225,7569,34969,41794,69194,42538,0
41990400,585225,42575625,42575625,84566025,43160850,1
63680400,28051225225,28114905625,28114905625,28178586025,56166130850,1
8088336,651117289,659205625,659205625,667293961,1310322914,1
176400,9834496,10010896,10010896,10187296,19845392,1
2718996736,18653761,2643707889,2737650497,5362704625,2662361650,0
1404225,399424,1803649,1803649,3207874,2203073,1
50301518400,39929761,50341448161,50341448161,100642966561,50381377922,1
50808384,2073600,52881984,52881984,103690368,54955584,1
