side1,side2,side3,side1+side2,side1+side3,side2+side3,validity
95606,13265,30765,108871,126371,44030,0
53308,40569,43470,93877,96778,84039,1
86341,82090,45594,168431,131935,127684,1
77624,85046,54127,162670,131751,139173,1
97050,94481,15469,191531,112519,109950,1
88525,63871,62913,152396,151438,126784,1
15226,88245,50703,103471,65929,138948,0
35832,84096,86102,119928,121934,170198,1
4224,16916,64777,21140,69001,81693,0
46132,36153,67385,82285,113517,103538,1
26548,55383,60786,81931,87334,116169,1
73567,45481,22905,119048,96472,68386,0
98561,25554,21873,124115,120434,47427,0
86876,80174,33272,167050,120148,113446,1
48043,55670,38822,103713,86865,94492,1
61942,16306,21557,78248,83499,37863,0
10654,81288,57674,91942,68328,138962,0
95094,56223,45079,151317,140173,101302,1
49817,54036,81784,103853,131601,135820,1
71317,11393,55028,82710,126345,66421,0
27524,88517,1350,116041,28874,89867,0
76744,69916,72184,146660,148928,142100,1
67953,2680,4166,70633,72119,6846,0
8957,5442,51209,14399,60166,56651,0
6725,81838,2037,88563,8762,83875,0
43710,91111,85268,134821,128978,176379,1
63471,73326,11911,136797,75382,85237,1
96545,25234,66526,121779,163071,91760,0
43483,22107,27833,65590,71316,49940,1
12205,16846,70564,29051,82769,87410,0
65403,60040,93646,125443,159049,153686,1
84190,76615,93737,160805,177927,170352,1
15435,31392,54420,46827,69855,85812,0
19402,38747,63059,58149,82461,101806,0
87849,50620,98607,138469,186456,149227,1
93175,25149,80020,118324,173195,105169,1
48560,43942,30636,92502,79196,74578,1
46570,23764,4412,70334,50982,28176,0
14475,26248,17453,40723,31928,43701,1
10972,13794,95342,24766,106314,109136,0
87148,34713,53092,121861,140240,87805,1
51256,14077,1989,65333,53245,16066,0
12116,23774,59888,35890,72004,83662,0
56361,80378,92307,136739,148668,172685,1
45804,77874,66145,123678,111949,144019,1
40081,27877,23974,67958,64055,51851,1
23094,78719,65409,101813,88503,144128,1
93782,96305,67605,190087,161387,163910,1
77295,13064,77567,90359,154862,90631,1
2277,11195,105,13472,2382,11300,0
36169,20511,9449,56680,45618,29960,0
38989,35962,44389,74951,83378,80351,1
51956,63804,57830,115760,109786,121634,1
73181,31780,86619,104961,159800,118399,1
14734,55901,45517,70635,60251,101418,1
62767,70269,7583,133036,70350,77852,1
53791,82718,68705,136509,122496,151423,1
16510,22375,14270,38885,30780,36645,1
