side1,side2,side3,validity
3036,4048,5060,1
11737,12749,13761,0
21252,28336,35420,1
28079,35163,42247,0
6072,8096,10120,1
6992,9016,11040,0
18216,24288,30360,1
23246,29318,35390,0
24288,32384,40480,1
28785,36881,44977,0
15180,20240,25300,1
18302,23362,28422,0
9108,12144,15180,1
13527,16563,19599,0
1267,4344,4525,1
9297,12374,12555,0
17738,60816,63350,1
25532,68610,71144,0
19005,65160,67875,1
22750,68905,71620,0
20272,69504,72400,1
27486,76718,79614,0
12670,43440,45250,1
17509,48279,50089,0
21539,73848,76925,1
26395,78704,81781,0
16471,56472,58825,1
25809,65810,68163,0
8268,9715,12757,1
10983,12430,15472,0
16536,19430,25514,1
23952,26846,32930,0
24804,29145,38271,1
24899,29240,38366,0
57876,68005,89299,1
66623,76752,98046,0
66144,77720,102056,1
64253,75829,100165,0
41340,48575,63785,1
51120,58355,73565,0
33072,38860,51028,1
40092,45880,58048,0
4992,5130,7158,1
13106,13244,15272,0
29952,30780,42948,1
35725,36553,48721,0
14976,15390,21474,1
15380,15794,21878,0
9984,10260,14316,1
15774,16050,20106,0
24960,25650,35790,1
34603,35293,45433,0
19968,20520,28632,1
26530,27082,35194,0
39936,41040,57264,1
48354,49458,65682,0
3448,6465,7327,1
4672,7689,8551,0
24136,45255,51289,1
29161,50280,56314,0
20688,38790,43962,1
24550,42652,47824,0
6896,12930,14654,1
14555,20589,22313,0
27584,51720,58616,1
35307,59443,66339,0
17240,32325,36635,1
19516,34601,38911,0
13792,25860,29308,1
15043,27111,30559,0
3192,8075,8683,1
10968,15851,16459,0
12768,32300,34732,1
21929,41461,43893,0
19152,48450,52098,1
22714,52012,55660,0
25536,64600,69464,1
30553,69617,74481,0
9576,24225,26049,1
12785,27434,29258,0
22344,56525,60781,1
30528,64709,68965,0
6384,16150,17366,1
14032,23798,25014,0
195,748,773,1
2225,2778,2803,0
2340,8976,9276,1
6519,13155,13455,0
2145,8228,8503,1
7388,13471,13746,0
2925,11220,11595,1
7022,15317,15692,0
2535,9724,10049,1
8065,15254,15579,0
2730,10472,10822,1
11470,19212,19562,0
1950,7480,7730,1
3237,8767,9017,0
816,1088,1360,1
1705,1977,2249,0
8976,11968,14960,1
18690,21682,24674,0
12240,16320,20400,1
18214,22294,26374,0
9792,13056,16320,1
13416,16680,19944,0
11424,15232,19040,1
14711,18519,22327,0
13056,17408,21760,1
15674,20026,24378,0
10608,14144,17680,1
19824,23360,26896,0
288,384,480,1
5100,5196,5292,0
2880,3840,4800,1
3462,4422,5382,0
3168,4224,5280,1
8320,9376,10432,0
4896,6528,8160,1
13592,15224,16856,0
5184,6912,8640,1
12749,14477,16205,0
3456,4608,5760,1
10978,12130,13282,0
4320,5760,7200,1
6317,7757,9197,0
3976,6390,7526,1
6898,9312,10448,0
15904,25560,30104,1
25180,34836,39380,0
27832,44730,52682,1
36568,53466,61418,0
7952,12780,15052,1
9544,14372,16644,0
31808,51120,60208,1
39580,58892,67980,0
23856,38340,45156,1
25259,39743,46559,0
19880,31950,37630,1
21746,33816,39496,0
1330,8976,9074,1
5784,13430,13528,0
10640,71808,72592,1
11859,73027,73811,0
2660,17952,18148,1
10187,25479,25675,0
9310,62832,63518,1
15984,69506,70192,0
3990,26928,27222,1
13889,36827,37121,0
7980,53856,54444,1
11630,57506,58094,0
5320,35904,36296,1
9927,40511,40903,0
3465,5880,6825,1
4997,7412,8357,0
27720,47040,54600,1
37033,56353,63913,0
6930,11760,13650,1
14664,19494,21384,0
17325,29400,34125,1
21460,33535,38260,0
24255,41160,47775,1
29672,46577,53192,0
13860,23520,27300,1
22854,32514,36294,0
10395,17640,20475,1
12428,19673,22508,0
5577,9464,10985,1
7705,11592,13113,0
44616,75712,87880,1
53538,84634,96802,0
33462,56784,65910,1
34795,58117,67243,0
11154,18928,21970,1
18357,26131,29173,0
22308,37856,43940,1
31241,46789,52873,0
27885,47320,54925,1
35278,54713,62318,0
39039,66248,76895,1
41284,68493,79140,0
5432,8730,10282,1
9597,12895,14447,0
10864,17460,20564,1
16579,23175,26279,0
16296,26190,30846,1
21064,30958,35614,0
27160,43650,51410,1
35884,52374,60134,0
21728,34920,41128,1
21740,34932,41140,0
43456,69840,82256,1
52686,79070,91486,0
32592,52380,61692,1
32853,52641,61953,0
4272,4895,6497,1
10795,11418,13020,0
17088,19580,25988,1
25417,27909,34317,0
8544,9790,12994,1
11434,12680,15884,0
25632,29370,38982,1
27143,30881,40493,0
34176,39160,51976,1
40211,45195,58011,0
21360,24475,32485,1
27454,30569,38579,0
12816,14685,19491,1
15057,16926,21732,0
2646,6960,7446,1
6645,10959,11445,0
5292,13920,14892,1
14849,23477,24449,0
18522,48720,52122,1
19066,49264,52666,0
13230,34800,37230,1
21629,43199,45629,0
21168,55680,59568,1
30618,65130,69018,0
10584,27840,29784,1
17632,34888,36832,0
15876,41760,44676,1
20857,46741,49657,0
120,126,174,1
3546,3552,3600,0
1800,1890,2610,1
6406,6496,7216,0
2160,2268,3132,1
4776,4884,5748,0
1680,1764,2436,1
8354,8438,9110,0
1200,1260,1740,1
6864,6924,7404,0
2040,2142,2958,1
2222,2324,3140,0
1920,2016,2784,1
10775,10871,11639,0
7128,7296,10200,1
12242,12410,15314,0
49896,51072,71400,1
57107,58283,78611,0
14256,14592,20400,1
14689,15025,20833,0
28512,29184,40800,1
38487,39159,50775,0
35640,36480,51000,1
45297,46137,60657,0
21384,21888,30600,1
22560,23064,31776,0
42768,43776,61200,1
49006,50014,67438,0
252,336,420,1
8122,8206,8290,0
4536,6048,7560,1
6369,7881,9393,0
4032,5376,6720,1
6620,7964,9308,0
2772,3696,4620,1
4490,5414,6338,0
2520,3360,4200,1
11432,12272,13112,0
3528,4704,5880,1
13451,14627,15803,0
4284,5712,7140,1
4930,6358,7786,0
4560,6478,7922,1
10483,12401,13845,0
36480,51824,63376,1
42584,57928,69480,0
