side1,side2,side3,side1^2,side2^2,side3^2,validity
3036,4048,5060,9217296,16386304,25603600,1
11737,12749,13761,137757169,162537001,189365121,0
21252,28336,35420,451647504,802928896,1254576400,1
28079,35163,42247,788430241,1236436569,1784809009,0
6072,8096,10120,36869184,65545216,102414400,1
6992,9016,11040,48888064,81288256,121881600,0
18216,24288,30360,331822656,589906944,921729600,1
23246,29318,35390,540376516,859545124,1252452100,0
24288,32384,40480,589906944,1048723456,1638630400,1
28785,36881,44977,828576225,1360208161,2022930529,0
15180,20240,25300,230432400,409657600,640090000,1
18302,23362,28422,334963204,545783044,807810084,0
9108,12144,15180,82955664,147476736,230432400,1
13527,16563,19599,182979729,274332969,384120801,0
1267,4344,4525,1605289,18870336,20475625,1
9297,12374,12555,86434209,153115876,157628025,0
17738,60816,63350,314636644,3698585856,4013222500,1
25532,68610,71144,651883024,4707332100,5061468736,0
19005,65160,67875,361190025,4245825600,4607015625,1
22750,68905,71620,517562500,4747899025,5129424400,0
20272,69504,72400,410953984,4830806016,5241760000,1
27486,76718,79614,755480196,5885651524,6338388996,0
12670,43440,45250,160528900,1887033600,2047562500,1
17509,48279,50089,306565081,2330861841,2508907921,0
21539,73848,76925,463928521,5453527104,5917455625,1
26395,78704,81781,696696025,6194319616,6688131961,0
16471,56472,58825,271293841,3189086784,3460380625,1
25809,65810,68163,666104481,4330956100,4646194569,0
8268,9715,12757,68359824,94381225,162741049,1
10983,12430,15472,120626289,154504900,239382784,0
16536,19430,25514,273439296,377524900,650964196,1
23952,26846,32930,573698304,720707716,1084384900,0
24804,29145,38271,615238416,849431025,1464669441,1
24899,29240,38366,619960201,854977600,1471949956,0
57876,68005,89299,3349631376,4624680025,7974311401,1
66623,76752,98046,4438624129,5890869504,9613018116,0
66144,77720,102056,4375028736,6040398400,10415427136,1
64253,75829,100165,4128448009,5750037241,10033027225,0
41340,48575,63785,1708995600,2359530625,4068526225,1
51120,58355,73565,2613254400,3405306025,5411809225,0
33072,38860,51028,1093757184,1510099600,2603856784,1
40092,45880,58048,1607368464,2104974400,3369570304,0
4992,5130,7158,24920064,26316900,51236964,1
13106,13244,15272,171767236,175403536,233233984,0
29952,30780,42948,897122304,947408400,1844530704,1
35725,36553,48721,1276275625,1336121809,2373735841,0
14976,15390,21474,224280576,236852100,461132676,1
15380,15794,21878,236544400,249450436,478646884,0
9984,10260,14316,99680256,105267600,204947856,1
15774,16050,20106,248819076,257602500,404251236,0
24960,25650,35790,623001600,657922500,1280924100,1
34603,35293,45433,1197367609,1245595849,2064157489,0
19968,20520,28632,398721024,421070400,819791424,1
26530,27082,35194,703840900,733434724,1238617636,0
39936,41040,57264,1594884096,1684281600,3279165696,1
48354,49458,65682,2338109316,2446093764,4314125124,0
3448,6465,7327,11888704,41796225,53684929,1
4672,7689,8551,21827584,59120721,73119601,0
24136,45255,51289,582546496,2048015025,2630561521,1
29161,50280,56314,850363921,2528078400,3171266596,0
20688,38790,43962,427993344,1504664100,1932657444,1
