side1^2,side2^2,side3^2,validity
9217296,16386304,25603600,1
137757169,162537001,189365121,0
451647504,802928896,1254576400,1
788430241,1236436569,1784809009,0
36869184,65545216,102414400,1
48888064,81288256,121881600,0
331822656,589906944,921729600,1
540376516,859545124,1252452100,0
589906944,1048723456,1638630400,1
828576225,1360208161,2022930529,0
230432400,409657600,640090000,1
334963204,545783044,807810084,0
82955664,147476736,230432400,1
182979729,274332969,384120801,0
1605289,18870336,20475625,1
86434209,153115876,157628025,0
314636644,3698585856,4013222500,1
651883024,4707332100,5061468736,0
361190025,4245825600,4607015625,1
517562500,4747899025,5129424400,0
410953984,4830806016,5241760000,1
755480196,5885651524,6338388996,0
160528900,1887033600,2047562500,1
306565081,2330861841,2508907921,0
463928521,5453527104,5917455625,1
696696025,6194319616,6688131961,0
271293841,3189086784,3460380625,1
666104481,4330956100,4646194569,0
68359824,94381225,162741049,1
120626289,154504900,239382784,0
273439296,377524900,650964196,1
573698304,720707716,1084384900,0
615238416,849431025,1464669441,1
619960201,854977600,1471949956,0
3349631376,4624680025,7974311401,1
4438624129,5890869504,9613018116,0
4375028736,6040398400,10415427136,1
4128448009,5750037241,10033027225,0
1708995600,2359530625,4068526225,1
2613254400,3405306025,5411809225,0
1093757184,1510099600,2603856784,1
1607368464,2104974400,3369570304,0
24920064,26316900,51236964,1
171767236,175403536,233233984,0
897122304,947408400,1844530704,1
1276275625,1336121809,2373735841,0
224280576,236852100,461132676,1
236544400,249450436,478646884,0
99680256,105267600,204947856,1
248819076,257602500,404251236,0
623001600,657922500,1280924100,1
1197367609,1245595849,2064157489,0
398721024,421070400,819791424,1
703840900,733434724,1238617636,0
1594884096,1684281600,3279165696,1
2338109316,2446093764,4314125124,0
11888704,41796225,53684929,1
21827584,59120721,73119601,0
582546496,2048015025,2630561521,1
850363921,2528078400,3171266596,0
427993344,1504664100,1932657444,1
602702500,1819193104,2287134976,0
47554816,167184900,214739716,1
211848025,423906921,497869969,0
760877056,2674958400,3435835456,1
1246584249,3533470249,4400862921,0
297217600,1044905625,1342123225,1
380874256,1197229201,1514065921,0
190219264,668739600,858958864,1
226291849,735006321,933852481,0
10188864,65205625,75394489,1
120297024,251254201,270898681,0
163021824,1043290000,1206311824,1
480881041,1719014521,1926595449,0
366799104,2347402500,2714201604,1
515925796,2705248144,3098035600,0
652087296,4173160000,4825247296,1
933485809,4846526689,5547419361,0
91699776,586850625,678550401,1
163456225,752624356,856030564,0
