side1+side2,side1+side3,side2+side3,validity
7084,8096,9108,1
24486,25498,26510,0
49588,56672,63756,1
63242,70326,77410,0
14168,16192,18216,1
16008,18032,20056,0
42504,48576,54648,1
52564,58636,64708,0
56672,64768,72864,1
65666,73762,81858,0
35420,40480,45540,1
41664,46724,51784,0
21252,24288,27324,1
30090,33126,36162,0
5611,5792,8869,1
21671,21852,24929,0
78554,81088,124166,1
94142,96676,139754,0
84165,86880,133035,1
91655,94370,140525,0
89776,92672,141904,1
104204,107100,156332,0
56110,57920,88690,1
65788,67598,98368,0
95387,98464,150773,1
105099,108176,160485,0
72943,75296,115297,1
91619,93972,133973,0
17983,21025,22472,1
23413,26455,27902,0
35966,42050,44944,1
50798,56882,59776,0
53949,63075,67416,1
54139,63265,67606,0
125881,147175,157304,1
143375,164669,174798,0
143864,168200,179776,1
140082,164418,175994,0
89915,105125,112360,1
109475,124685,131920,0
71932,84100,89888,1
85972,98140,103928,0
10122,12150,12288,1
26350,28378,28516,0
60732,72900,73728,1
72278,84446,85274,0
30366,36450,36864,1
31174,37258,37672,0
20244,24300,24576,1
31824,35880,36156,0
50610,60750,61440,1
69896,80036,80726,0
40488,48600,49152,1
53612,61724,62276,0
80976,97200,98304,1
97812,114036,115140,0
9913,10775,13792,1
12361,13223,16240,0
69391,75425,96544,1
79441,85475,106594,0
59478,64650,82752,1
67202,72374,90476,0
19826,21550,27584,1
35144,36868,42902,0
79304,86200,110336,1
94750,101646,125782,0
49565,53875,68960,1
54117,58427,73512,0
39652,43100,55168,1
42154,45602,57670,0
11267,11875,16758,1
26819,27427,32310,0
45068,47500,67032,1
63390,65822,85354,0
67602,71250,100548,1
74726,78374,107672,0
90136,95000,134064,1
100170,105034,144098,0
33801,35625,50274,1
40219,42043,56692,0
78869,83125,117306,1
95237,99493,133674,0
22534,23750,33516,1
37830,39046,48812,0
943,968,1521,1
5003,5028,5581,0
11316,11616,18252,1
19674,19974,26610,0
10373,10648,16731,1
20859,21134,27217,0
14145,14520,22815,1
22339,22714,31009,0
12259,12584,19773,1
23319,23644,30833,0
13202,13552,21294,1
30682,31032,38774,0
9430,9680,15210,1
12004,12254,17784,0
1904,2176,2448,1
3682,3954,4226,0
20944,23936,26928,1
40372,43364,46356,0
28560,32640,36720,1
40508,44588,48668,0
22848,26112,29376,1
30096,33360,36624,0
26656,30464,34272,1
33230,37038,40846,0
30464,34816,39168,1
35700,40052,44404,0
24752,28288,31824,1
43184,46720,50256,0
672,768,864,1
10296,10392,10488,0
6720,7680,8640,1
7884,8844,9804,0
7392,8448,9504,1
17696,18752,19808,0
11424,13056,14688,1
28816,30448,32080,0
12096,13824,15552,1
27226,28954,30682,0
8064,9216,10368,1
23108,24260,25412,0
10080,11520,12960,1
14074,15514,16954,0
10366,11502,13916,1
16210,17346,19760,0
41464,46008,55664,1
60016,64560,74216,0
72562,80514,97412,1
90034,97986,114884,0
20732,23004,27832,1
23916,26188,31016,0
82928,92016,111328,1
98472,107560,126872,0
62196,69012,83496,1
65002,71818,86302,0
51830,57510,69580,1
55562,61242,73312,0
10306,10404,18050,1
19214,19312,26958,0
82448,83232,144400,1
84886,85670,146838,0
20612,20808,36100,1
35666,35862,51154,0
72142,72828,126350,1
85490,86176,139698,0
30918,31212,54150,1
50716,51010,73948,0
61836,62424,108300,1
69136,69724,115600,0
41224,41616,72200,1
50438,50830,81414,0
9345,10290,12705,1
12409,13354,15769,0
74760,82320,101640,1
93386,100946,120266,0
18690,20580,25410,1
34158,36048,40878,0
46725,51450,63525,1
54995,59720,71795,0
65415,72030,88935,1
76249,82864,99769,0
37380,41160,50820,1
55368,59148,68808,0
28035,30870,38115,1
32101,34936,42181,0
15041,16562,20449,1
19297,20818,24705,0
120328,132496,163592,1
138172,150340,181436,0
90246,99372,122694,1
92912,102038,125360,0
30082,33124,40898,1
44488,47530,55304,0
60164,66248,81796,1
78030,84114,99662,0
75205,82810,102245,1
89991,97596,117031,0
105287,115934,143143,1
109777,120424,147633,0
14162,15714,19012,1
22492,24044,27342,0
28324,31428,38024,1
39754,42858,49454,0
42486,47142,57036,1
52022,56678,66572,0
70810,78570,95060,1
88258,96018,112508,0
56648,62856,76048,1
56672,62880,76072,0
113296,125712,152096,1
131756,144172,170556,0
84972,94284,114072,1
85494,94806,114594,0
9167,10769,11392,1
22213,23815,24438,0
36668,43076,45568,1
53326,59734,62226,0
18334,21538,22784,1
24114,27318,28564,0
55002,64614,68352,1
58024,67636,71374,0
73336,86152,91136,1
85406,98222,103206,0
45835,53845,56960,1
58023,66033,69148,0
27501,32307,34176,1
31983,36789,38658,0
9606,10092,14406,1
17604,18090,22404,0
19212,20184,28812,1
38326,39298,47926,0
67242,70644,100842,1
68330,71732,101930,0
48030,50460,72030,1
64828,67258,88828,0
76848,80736,115248,1
95748,99636,134148,0
38424,40368,57624,1
52520,54464,71720,0
57636,60552,86436,1
67598,70514,96398,0
246,294,300,1
7098,7146,7152,0
3690,4410,4500,1
12902,13622,13712,0
4428,5292,5400,1
9660,10524,10632,0
3444,4116,4200,1
16792,17464,17548,0
2460,2940,3000,1
13788,14268,14328,0
4182,4998,5100,1
4546,5362,5464,0
3936,4704,4800,1
21646,22414,22510,0
14424,17328,17496,1
24652,27556,27724,0
100968,121296,122472,1
115390,135718,136894,0
28848,34656,34992,1
29714,35522,35858,0
57696,69312,69984,1
77646,89262,89934,0
72120,86640,87480,1
91434,105954,106794,0
43272,51984,52488,1
45624,54336,54840,0
86544,103968,104976,1
99020,116444,117452,0
588,672,756,1
16328,16412,16496,0
10584,12096,13608,1
14250,15762,17274,0
9408,10752,12096,1
14584,15928,17272,0
6468,7392,8316,1
9904,10828,11752,0
5880,6720,7560,1
23704,24544,25384,0
8232,9408,10584,1
28078,29254,30430,0
9996,11424,12852,1
11288,12716,14144,0
11038,12482,14400,1
22884,24328,26246,0
88304,99856,115200,1
100512,112064,127408,0
33114,37446,43200,1
47986,52318,58072,0
22076,24964,28800,1
39328,42216,46052,0
44152,49928,57600,1
46006,51782,59454,0
66228,74892,86400,1
69372,78036,89544,0
77266,87374,100800,1
87112,97220,110646,0
18082,21218,22500,1
18248,21384,22666,0
90410,106090,112500,1
96344,112024,118434,0
36164,42436,45000,1
56110,62382,64946,0
144656,169744,180000,1
136390,161478,171734,0
108492,127308,135000,1
108990,127806,135498,0
54246,63654,67500,1
68050,77458,81304,0
72328,84872,90000,1
91858,104402,109530,0
3605,4235,4480,1
5525,6155,6400,0
61285,71995,76160,1
69743,80453,84618,0
54075,63525,67200,1
60603,70053,73728,0
39655,46585,49280,1
51279,58209,60904,0
36050,42350,44800,1
45064,51364,53814,0
46865,55055,58240,1
50355,58545,61730,0
