side1^2+side2^2,side1^2+side3^2,side2^2+side3^2,validity
25603600,34820896,41989904,1
300294170,327122290,351902122,0
1254576400,1706223904,2057505296,1
2024866810,2573239250,3021245578,0
102414400,139283584,167959616,1
130176320,170769664,203169856,0
921729600,1253552256,1511636544,1
1399921640,1792828616,2111997224,0
1638630400,2228537344,2687353856,1
2188784386,2851506754,3383138690,0
640090000,870522400,1049747600,1
880746248,1142773288,1353593128,0
230432400,313388064,377909136,1
457312698,567100530,658453770,0
20475625,22080914,39345961,1
239550085,244062234,310743901,0
4013222500,4327859144,7711808356,1
5359215124,5713351760,9768800836,0
4607015625,4968205650,8852841225,1
5265461525,5646986900,9877323425,0
5241760000,5652713984,10072566016,1
6641131720,7093869192,12224040520,0
2047562500,2208091400,3934596100,1
2637426922,2815473002,4839769762,0
5917455625,6381384146,11370982729,1
6891015641,7384827986,12882451577,0
3460380625,3731674466,6649467409,1
4997060581,5312299050,8977150669,0
162741049,231100873,257122274,1
275131189,360009073,393887684,0
650964196,924403492,1028489096,1
1294406020,1658083204,1805092616,0
1464669441,2079907857,2314100466,1
1474937801,2091910157,2326927556,0
7974311401,11323942777,12598991426,1
10329493633,14051642245,15503887620,0
10415427136,14790455872,16455825536,1
9878485250,14161475234,15783064466,0
4068526225,5777521825,6428056850,1
6018560425,8025063625,8817115250,0
2603856784,3697613968,4113956384,1
3712342864,4976938768,5474544704,0
51236964,76157028,77553864,1
347170772,405001220,408637520,0
1844530704,2741653008,2791939104,1
2612397434,3650011466,3709857650,0
461132676,685413252,697984776,1
485994836,715191284,728097320,0
204947856,304628112,310215456,1
506421576,653070312,661853736,0
1280924100,1903925700,1938846600,1
2442963458,3261525098,3309753338,0
819791424,1218512448,1240861824,1
1437275624,1942458536,1972052360,0
3279165696,4874049792,4963447296,1
4784203080,6652234440,6760218888,0
53684929,65573633,95481154,1
80948305,94947185,132240322,0
2630561521,3213108017,4678576546,1
3378442321,4021630517,5699344996,0
1932657444,2360650788,3437321544,1
2421895604,2889837476,4106328080,0
214739716,262294532,381924616,1
635754946,709717994,921776890,0
3435835456,4196712512,6110793856,1
4780054498,5647447170,7934333170,0
1342123225,1639340825,2387028850,1
1578103457,1894940177,2711295122,0
858958864,1049178128,1527698464,1
961298170,1160144330,1668858802,0
75394489,85583353,140600114,1
371551225,391195705,522152882,0
1206311824,1369333648,2249601824,1
2199895562,2407476490,3645609970,0
2714201604,3081000708,5061604104,1
3221173940,3613961396,5803283744,0
4825247296,5477334592,8998407296,1
5780012498,6480905170,10393946050,0
678550401,770250177,1265401026,1
916080581,1019486789,1608654920,0
3694329961,4193584297,6889405586,1
5119213465,5688130009,8943425906,0
301577956,342333412,562400456,1
763241828,822597220,1192045000,0
597529,635554,1157033,1
12667909,12807434,15574093,0
86044176,91519776,166612752,1
215551386,223534386,354091050,0
72301009,76902034,140000993,1
236050385,243535060,370420357,0
134444025,142999650,260332425,1
283918973,295547348,480849353,0
100982401,107408626,195538577,1
297728741,307749466,475389757,0
117115684,124568584,226778468,1
500661844,514232744,751772788,0
59752900,63555400,115703300,1
87338458,91784458,158166578,0
1849600,2515456,3033344,1
6815554,7965026,8966530,0
223801600,304370176,367034624,1
819425224,958122376,1078915400,0
416160000,565977600,682502400,1
828772232,1027337672,1192610312,0
266342400,362225664,436801536,1
458211456,577752192,675985536,0
362521600,493029376,594535424,1
559366882,714908450,841448290,0
473497600,643956736,776536064,1
646714952,839961160,995327560,0
312582400,425112064,512635136,1
938680576,1116385792,1269084416,0
230400,313344,377856,1
53008416,54015264,55003680,0
23040000,31334400,37785600,1
31539528,40951368,48520008,0
27878400,37914624,45720576,1
157131776,178049024,196736000,0
66585600,90556416,109200384,1
416512640,468867200,515894912,0
74649600,101523456,122425344,1
372120530,425139026,472185554,0
33177600,45121536,54411264,1
267653384,296928008,323548424,0
51840000,70502400,85017600,1
100075538,124489298,144755858,0
56640676,72449252,97472776,1
134295748,156743108,195874048,0
906250816,1159188032,1559564416,1
1847579296,2184816800,2764331296,0
2775393124,3550013348,4776166024,1
4195831780,5109389348,6630783880,0
226562704,289797008,389891104,1
297642320,368110672,483577120,0
3625003264,4636752128,6238257664,1
5034844064,6187856800,8089548064,0
2039064336,2608173072,3509019936,1
2217523130,2805757562,3747246530,0
1416016900,1811231300,2436819400,1
1616410372,2032822532,2703455872,0
82337476,84106376,162906052,1
213819556,216461440,363371684,0
5269598464,5382808064,10425987328,1
5473578610,5588699602,10781006450,0
329349904,336425504,651624208,1
752954410,762980594,1308385066,0
4034536324,4121212424,7982396548,1
5086572292,5182405120,9758000900,0
741037284,756957384,1466154468,1
1549132250,1570872962,2734196570,0
2964149136,3027829536,5864617872,1
3442196936,3510169736,6681852872,0
1317399616,1345702016,2606496832,1
1739686450,1771600738,3314196530,0
46580625,58586850,81155025,1
79907753,94809458,124777193,0
2981160000,3749558400,5193921600,1
4547103698,5456314658,7260532178,0
186322500,234347400,324620100,1
595048932,672308352,837291492,0
1164515625,1464671250,2028875625,1
1585127825,1924359200,2588423825,0
2282450625,2870755650,3976596225,1
3049844513,3709816448,4998805793,0
745290000,937389600,1298480400,1
1579465512,1839559752,2374414632,0
419225625,527281650,730395225,1
541482113,661065248,893636993,0
120670225,151773154,210237521,1
193741489,231317794,306325233,0
7722894400,9713481856,13455201344,1
10029231400,12236944648,16533541160,0
4344128100,5463833544,7568550756,1
4588277714,5732313074,7899206738,0
482680900,607092616,840950084,1
1019808610,1188043378,1533893090,0
1930723600,2428370464,3363800336,1
3165210602,3771554210,4984764650,0
3016755625,3794328850,5255938025,1
4238049653,5128070408,6877045493,0
5912841025,7436884546,10301638529,1
6395659705,7967508256,10954430649,0
105719524,135226148,181932424,1
258383434,300818218,374996834,0
422878096,540904592,727729696,1
811943866,965449082,1227666466,0
951475716,1217035332,1637391816,1
1402089860,1712049092,2226754760,0
2642988100,3380653700,4548310600,1
4030697332,4903759412,6359133832,0
1691512384,2163618368,2910918784,1
1692872224,2165127200,2912744224,0
6766049536,8654473472,11643675136,1
9027879496,11145502792,14621753096,0
3805902864,4868141328,6549567264,1
3850394490,4917493818,6609249090,0
42211009,60460993,66172034,1
246902749,286052425,299891124,0
675376144,967375888,1058752544,1
1424936170,1823680378,1956568770,0
168844036,241843972,264688136,1
291518756,383037812,413083856,0
1519596324,2176595748,2382193224,1
1690378610,2376425498,2593319210,0
2701504576,3869503552,4235010176,1
3659512546,4982200642,5407864146,0
1055275225,1511524825,1654300850,1
1688185877,2242061357,2422803002,0
379899081,544148937,595548306,1
513202725,698993073,758769300,0
55442916,62444232,103884516,1
164255706,175144050,251087706,0
221771664,249776928,415538064,1
771662330,818246402,1148923130,0
2716702884,3059767368,5090341284,1
2790454052,3137219912,5200649252,0
1386072900,1561105800,2597112900,1
2333967242,2549819282,3948159242,0
3548346624,3996430848,6648609024,1
5179378824,5700946248,9005401224,0
887086656,999107712,1662152256,1
1528059968,1667483648,2573768768,0
1995944976,2247992352,3739842576,1
2619735530,2900832098,4650538730,0
30276,44676,46152,1
25190820,25534116,25576704,0
6812100,10052100,10384200,1
83234852,93107492,94268672,0
9809424,14475024,14953248,1
46663632,55849680,56892960,0
5934096,8756496,9045792,1
140989160,152781416,154191944,0
3027600,4467600,4615200,1
95056272,101933712,102760992,0
8749764,12911364,13337928,1
10338260,14796884,15260576,0
7750656,11437056,11814912,1
234279266,251566946,253644962,0
104040000,154848384,157271616,1
303874664,384385160,388526696,0
5097960000,7587570816,7706309184,1
6658117538,9440898770,9576597410,0
416160000,619393536,629086464,1
441517346,649780610,659764514,0
1664640000,2477574144,2516345856,1
3014676450,4059349794,4111527906,0
2601000000,3871209600,3931790400,1
4180440978,5731089858,5807894418,0
936360000,1393635456,1415444544,1
1040901696,1518667776,1541662272,0
3745440000,5574541824,5661778176,1
4902988232,6949471880,7049284040,0
176400,239904,289296,1
133305320,134690984,136062536,0
57153600,77728896,93731904,1
102674322,128792610,150338610,0
45158400,61415424,74059776,1
107249696,130463264,150064160,0
21344400,29028384,35004816,1
49471496,60330344,69481640,0
17640000,23990400,28929600,1
281292608,302615168,322526528,0
34574400,47021184,56702016,1
394878530,430664210,463683938,0
50979600,69332256,83606544,1
64729064,84926696,101045960,0
62758084,83551684,104722568,1
263678090,301577314,345468826,0
4016517376,5347307776,6702244352,1
5169050240,6640867456,8183123584,0
564822756,751965156,942503112,1
1167882356,1419450260,1695561704,0
251032336,334206736,418890272,1
780703240,913701416,1064563624,0
1004129344,1336826944,1675561088,1
1087705810,1431112114,1784070146,0
2259291024,3007860624,3770012448,1
2472454224,3248263440,4046596416,0
3075146116,4094032516,5131405832,1
3884379010,5002788778,6172354490,0
164301124,234861124,258042248,1
167316514,238397090,261791026,0
4107528100,5871528100,6451056200,1
4661627218,6518672338,7136237378,0
657204496,939444496,1032168992,1
1577453098,1984794410,2128660450,0
10515271936,15031111936,16514703872,1
9353708818,13662171410,15060987250,0
5914840464,8455000464,9289520928,1
5968993482,8518523850,9356874930,0
1478710116,2113750116,2322380232,1
2322797108,3087705140,3349425440,0
2628817984,3757777984,4128675968,1
4232094274,5606038594,6077086418,0
6528025,9350425,10233650,1
15292825,19324825,20678450,0
1886599225,2702272825,2957524850,1
