side1^2,side2^2,side3^2,side1^2+side2^2,side1^2+side3^2,side2^2+side3^2,validity
9217296,16386304,25603600,25603600,34820896,41989904,1
137757169,162537001,189365121,300294170,327122290,351902122,0
451647504,802928896,1254576400,1254576400,1706223904,2057505296,1
788430241,1236436569,1784809009,2024866810,2573239250,3021245578,0
36869184,65545216,102414400,102414400,139283584,167959616,1
48888064,81288256,121881600,130176320,170769664,203169856,0
331822656,589906944,921729600,921729600,1253552256,1511636544,1
540376516,859545124,1252452100,1399921640,1792828616,2111997224,0
589906944,1048723456,1638630400,1638630400,2228537344,2687353856,1
828576225,1360208161,2022930529,2188784386,2851506754,3383138690,0
230432400,409657600,640090000,640090000,870522400,1049747600,1
334963204,545783044,807810084,880746248,1142773288,1353593128,0
82955664,147476736,230432400,230432400,313388064,377909136,1
182979729,274332969,384120801,457312698,567100530,658453770,0
1605289,18870336,20475625,20475625,22080914,39345961,1
86434209,153115876,157628025,239550085,244062234,310743901,0
314636644,3698585856,4013222500,4013222500,4327859144,7711808356,1
651883024,4707332100,5061468736,5359215124,5713351760,9768800836,0
361190025,4245825600,4607015625,4607015625,4968205650,8852841225,1
517562500,4747899025,5129424400,5265461525,5646986900,9877323425,0
410953984,4830806016,5241760000,5241760000,5652713984,10072566016,1
755480196,5885651524,6338388996,6641131720,7093869192,12224040520,0
160528900,1887033600,2047562500,2047562500,2208091400,3934596100,1
306565081,2330861841,2508907921,2637426922,2815473002,4839769762,0
463928521,5453527104,5917455625,5917455625,6381384146,11370982729,1
696696025,6194319616,6688131961,6891015641,7384827986,12882451577,0
271293841,3189086784,3460380625,3460380625,3731674466,6649467409,1
666104481,4330956100,4646194569,4997060581,5312299050,8977150669,0
68359824,94381225,162741049,162741049,231100873,257122274,1
120626289,154504900,239382784,275131189,360009073,393887684,0
273439296,377524900,650964196,650964196,924403492,1028489096,1
573698304,720707716,1084384900,1294406020,1658083204,1805092616,0
615238416,849431025,1464669441,1464669441,2079907857,2314100466,1
619960201,854977600,1471949956,1474937801,2091910157,2326927556,0
3349631376,4624680025,7974311401,7974311401,11323942777,12598991426,1
