side1,side2,side3,validity
3036,5060,4048,1
10475,12499,11487,0
21252,35420,28336,1
23016,37184,30100,0
6072,8096,10120,1
12409,14433,16457,0
30360,24288,18216,1
39919,33847,27775,0
40480,32384,24288,1
44116,36020,27924,0
20240,15180,25300,1
20495,15435,25555,0
9108,12144,15180,1
11205,14241,17277,0
4344,1267,4525,1
4489,1412,4670,0
17738,63350,60816,1
25025,70637,68103,0
67875,19005,65160,1
73842,24972,71127,0
69504,20272,72400,1
78812,29580,81708,0
12670,45250,43440,1
17304,49884,48074,0
73848,76925,21539,1
83727,86804,31418,0
58825,56472,16471,1
68695,66342,26341,0
8268,9715,12757,1
10789,12236,15278,0
25514,16536,19430,1
31732,22754,25648,0
29145,24804,38271,1
35177,30836,44303,0
57876,89299,68005,1
65846,97269,75975,0
102056,77720,66144,1
102391,78055,66479,0
41340,63785,48575,1
44733,67178,51968,0
33072,51028,38860,1
39960,57916,45748,0
7158,5130,4992,1
8942,6914,6776,0
30780,42948,29952,1
33343,45511,32515,0
21474,14976,15390,1
26895,20397,20811,0
14316,9984,10260,1
23275,18943,19219,0
35790,24960,25650,1
45341,34511,35201,0
20520,19968,28632,1
23976,23424,32088,0
41040,57264,39936,1
42907,59131,41803,0
6465,3448,7327,1
12914,9897,13776,0
24136,45255,51289,1
26471,47590,53624,0
43962,20688,38790,1
45346,22072,40174,0
14654,6896,12930,1
19220,11462,17496,0
58616,27584,51720,1
60226,29194,53330,0
32325,17240,36635,1
42286,27201,46596,0
13792,25860,29308,1
22314,34382,37830,0
3192,8075,8683,1
3654,8537,9145,0
34732,12768,32300,1
37343,15379,34911,0
19152,48450,52098,1
26323,55621,59269,0
69464,25536,64600,1
69875,25947,65011,0
9576,24225,26049,1
12528,27177,29001,0
22344,56525,60781,1
30677,64858,69114,0
16150,6384,17366,1
21854,12088,23070,0
195,773,748,1
6321,6899,6874,0
9276,8976,2340,1
9844,9544,2908,0
8503,2145,8228,1
9855,3497,9580,0
2925,11220,11595,1
4713,13008,13383,0
9724,2535,10049,1
16999,9810,17324,0
10822,2730,10472,1
12418,4326,12068,0
7730,1950,7480,1
8518,2738,8268,0
1360,816,1088,1
10711,10167,10439,0
11968,14960,8976,1
17842,20834,14850,0
16320,20400,12240,1
17032,21112,12952,0
9792,13056,16320,1
18515,21779,25043,0
11424,15232,19040,1
19699,23507,27315,0
21760,17408,13056,1
26868,22516,18164,0
17680,10608,14144,1
22659,15587,19123,0
384,288,480,1
2680,2584,2776,0
2880,3840,4800,1
11742,12702,13662,0
5280,4224,3168,1
14718,13662,12606,0
8160,6528,4896,1
15236,13604,11972,0
6912,5184,8640,1
8161,6433,9889,0
4608,3456,5760,1
13549,12397,14701,0
4320,5760,7200,1
9933,11373,12813,0
6390,7526,3976,1
15559,16695,13145,0
15904,25560,30104,1
15990,25646,30190,0
27832,52682,44730,1
32683,57533,49581,0
15052,12780,7952,1
16996,14724,9896,0
51120,60208,31808,1
56277,65365,36965,0
23856,45156,38340,1
24082,45382,38566,0
37630,31950,19880,1
39237,33557,21487,0
1330,9074,8976,1
2872,10616,10518,0
71808,10640,72592,1
78658,17490,79442,0
18148,17952,2660,1
19909,19713,4421,0
63518,62832,9310,1
68161,67475,13953,0
26928,27222,3990,1
31584,31878,8646,0
54444,53856,7980,1
57247,56659,10783,0
5320,36296,35904,1
6397,37373,36981,0
5880,3465,6825,1
7891,5476,8836,0
27720,47040,54600,1
37577,56897,64457,0
13650,6930,11760,1
20714,13994,18824,0
34125,29400,17325,1
43503,38778,26703,0
41160,24255,47775,1
44003,27098,50618,0
23520,13860,27300,1
25356,15696,29136,0
20475,17640,10395,1
28113,25278,18033,0
