side1,side2,side3,side1^2,side2^2,side3^2,validity
3036,5060,4048,9217296,25603600,16386304,1
10475,12499,11487,109725625,156225001,131951169,0
21252,35420,28336,451647504,1254576400,802928896,1
23016,37184,30100,529736256,1382649856,906010000,0
6072,8096,10120,36869184,65545216,102414400,1
12409,14433,16457,153983281,208311489,270832849,0
30360,24288,18216,921729600,589906944,331822656,1
39919,33847,27775,1593526561,1145619409,771450625,0
40480,32384,24288,1638630400,1048723456,589906944,1
44116,36020,27924,1946221456,1297440400,779749776,0
20240,15180,25300,409657600,230432400,640090000,1
20495,15435,25555,420045025,238239225,653058025,0
9108,12144,15180,82955664,147476736,230432400,1
11205,14241,17277,125552025,202806081,298494729,0
4344,1267,4525,18870336,1605289,20475625,1
4489,1412,4670,20151121,1993744,21808900,0
17738,63350,60816,314636644,4013222500,3698585856,1
25025,70637,68103,626250625,4989585769,4638018609,0
67875,19005,65160,4607015625,361190025,4245825600,1
73842,24972,71127,5452640964,623600784,5059050129,0
69504,20272,72400,4830806016,410953984,5241760000,1
78812,29580,81708,6211331344,874976400,6676197264,0
12670,45250,43440,160528900,2047562500,1887033600,1
17304,49884,48074,299428416,2488413456,2311109476,0
73848,76925,21539,5453527104,5917455625,463928521,1
83727,86804,31418,7010210529,7534934416,987090724,0
58825,56472,16471,3460380625,3189086784,271293841,1
68695,66342,26341,4719003025,4401260964,693848281,0
8268,9715,12757,68359824,94381225,162741049,1
10789,12236,15278,116402521,149719696,233417284,0
25514,16536,19430,650964196,273439296,377524900,1
31732,22754,25648,1006919824,517744516,657819904,0
29145,24804,38271,849431025,615238416,1464669441,1
35177,30836,44303,1237421329,950858896,1962755809,0
57876,89299,68005,3349631376,7974311401,4624680025,1
65846,97269,75975,4335695716,9461258361,5772200625,0
102056,77720,66144,10415427136,6040398400,4375028736,1
102391,78055,66479,10483916881,6092583025,4419457441,0
41340,63785,48575,1708995600,4068526225,2359530625,1
44733,67178,51968,2001041289,4512883684,2700673024,0
33072,51028,38860,1093757184,2603856784,1510099600,1
39960,57916,45748,1596801600,3354263056,2092879504,0
7158,5130,4992,51236964,26316900,24920064,1
8942,6914,6776,79959364,47803396,45914176,0
30780,42948,29952,947408400,1844530704,897122304,1
33343,45511,32515,1111755649,2071251121,1057225225,0
21474,14976,15390,461132676,224280576,236852100,1
26895,20397,20811,723341025,416037609,433097721,0
14316,9984,10260,204947856,99680256,105267600,1
23275,18943,19219,541725625,358837249,369369961,0
35790,24960,25650,1280924100,623001600,657922500,1
45341,34511,35201,2055806281,1191009121,1239110401,0
20520,19968,28632,421070400,398721024,819791424,1
23976,23424,32088,574848576,548683776,1029639744,0
41040,57264,39936,1684281600,3279165696,1594884096,1
42907,59131,41803,1841010649,3496475161,1747490809,0
6465,3448,7327,41796225,11888704,53684929,1
12914,9897,13776,166771396,97950609,189778176,0
24136,45255,51289,582546496,2048015025,2630561521,1
26471,47590,53624,700713841,2264808100,2875533376,0
43962,20688,38790,1932657444,427993344,1504664100,1
45346,22072,40174,2056259716,487173184,1613950276,0
14654,6896,12930,214739716,47554816,167184900,1
19220,11462,17496,369408400,131377444,306110016,0
58616,27584,51720,3435835456,760877056,2674958400,1
60226,29194,53330,3627171076,852289636,2844088900,0
32325,17240,36635,1044905625,297217600,1342123225,1
42286,27201,46596,1788105796,739894401,2171187216,0
13792,25860,29308,190219264,668739600,858958864,1
22314,34382,37830,497914596,1182121924,1431108900,0
3192,8075,8683,10188864,65205625,75394489,1
3654,8537,9145,13351716,72880369,83631025,0
34732,12768,32300,1206311824,163021824,1043290000,1
37343,15379,34911,1394499649,236513641,1218777921,0
19152,48450,52098,366799104,2347402500,2714201604,1
26323,55621,59269,692900329,3093695641,3512814361,0
69464,25536,64600,4825247296,652087296,4173160000,1
69875,25947,65011,4882515625,673246809,4226430121,0
9576,24225,26049,91699776,586850625,678550401,1
12528,27177,29001,156950784,738589329,841058001,0
22344,56525,60781,499254336,3195075625,3694329961,1
30677,64858,69114,941078329,4206560164,4776744996,0
16150,6384,17366,260822500,40755456,301577956,1
21854,12088,23070,477597316,146119744,532224900,0
195,773,748,38025,597529,559504,1
6321,6899,6874,39955041,47596201,47251876,0
9276,8976,2340,86044176,80568576,5475600,1
9844,9544,2908,96904336,91087936,8456464,0
8503,2145,8228,72301009,4601025,67699984,1
9855,3497,9580,97121025,12229009,91776400,0
2925,11220,11595,8555625,125888400,134444025,1
4713,13008,13383,22212369,169208064,179104689,0
9724,2535,10049,94556176,6426225,100982401,1
16999,9810,17324,288966001,96236100,300120976,0
10822,2730,10472,117115684,7452900,109662784,1
12418,4326,12068,154206724,18714276,145636624,0
7730,1950,7480,59752900,3802500,55950400,1
8518,2738,8268,72556324,7496644,68359824,0
1360,816,1088,1849600,665856,1183744,1
10711,10167,10439,114725521,103367889,108972721,0
11968,14960,8976,143233024,223801600,80568576,1
17842,20834,14850,318336964,434055556,220522500,0
16320,20400,12240,266342400,416160000,149817600,1
17032,21112,12952,290089024,445716544,167754304,0
9792,13056,16320,95883264,170459136,266342400,1
18515,21779,25043,342805225,474324841,627151849,0
11424,15232,19040,130507776,232013824,362521600,1
19699,23507,27315,388050601,552579049,746109225,0
21760,17408,13056,473497600,303038464,170459136,1
26868,22516,18164,721889424,506970256,329930896,0
17680,10608,14144,312582400,112529664,200052736,1
22659,15587,19123,513430281,242954569,365689129,0
384,288,480,147456,82944,230400,1
2680,2584,2776,7182400,6677056,7706176,0
2880,3840,4800,8294400,14745600,23040000,1
11742,12702,13662,137874564,161340804,186650244,0
5280,4224,3168,27878400,17842176,10036224,1
14718,13662,12606,216619524,186650244,158911236,0
8160,6528,4896,66585600,42614784,23970816,1
15236,13604,11972,232135696,185068816,143328784,0
6912,5184,8640,47775744,26873856,74649600,1
8161,6433,9889,66601921,41383489,97792321,0
4608,3456,5760,21233664,11943936,33177600,1
13549,12397,14701,183575401,153685609,216119401,0
4320,5760,7200,18662400,33177600,51840000,1
9933,11373,12813,98664489,129345129,164172969,0
6390,7526,3976,40832100,56640676,15808576,1
15559,16695,13145,242082481,278723025,172791025,0
15904,25560,30104,252937216,653313600,906250816,1
15990,25646,30190,255680100,657717316,911436100,0
27832,52682,44730,774620224,2775393124,2000772900,1
32683,57533,49581,1068178489,3310046089,2458275561,0
15052,12780,7952,226562704,163328400,63234304,1
16996,14724,9896,288864016,216796176,97930816,0
51120,60208,31808,2613254400,3625003264,1011748864,1
56277,65365,36965,3167100729,4272583225,1366411225,0
23856,45156,38340,569108736,2039064336,1469955600,1
24082,45382,38566,579942724,2059525924,1487336356,0
37630,31950,19880,1416016900,1020802500,395214400,1
39237,33557,21487,1539542169,1126072249,461691169,0
1330,9074,8976,1768900,82337476,80568576,1
2872,10616,10518,8248384,112699456,110628324,0
71808,10640,72592,5156388864,113209600,5269598464,1
78658,17490,79442,6187080964,305900100,6311031364,0
18148,17952,2660,329349904,322274304,7075600,1
19909,19713,4421,396368281,388602369,19545241,0
63518,62832,9310,4034536324,3947860224,86676100,1
68161,67475,13953,4645921921,4552875625,194686209,0
26928,27222,3990,725117184,741037284,15920100,1
31584,31878,8646,997549056,1016206884,74753316,0
54444,53856,7980,2964149136,2900468736,63680400,1
