side1^2,side2^2,side3^2,validity
9217296,25603600,16386304,1
109725625,156225001,131951169,0
451647504,1254576400,802928896,1
529736256,1382649856,906010000,0
36869184,65545216,102414400,1
153983281,208311489,270832849,0
921729600,589906944,331822656,1
1593526561,1145619409,771450625,0
1638630400,1048723456,589906944,1
1946221456,1297440400,779749776,0
409657600,230432400,640090000,1
420045025,238239225,653058025,0
82955664,147476736,230432400,1
125552025,202806081,298494729,0
18870336,1605289,20475625,1
20151121,1993744,21808900,0
314636644,4013222500,3698585856,1
626250625,4989585769,4638018609,0
4607015625,361190025,4245825600,1
5452640964,623600784,5059050129,0
4830806016,410953984,5241760000,1
6211331344,874976400,6676197264,0
160528900,2047562500,1887033600,1
299428416,2488413456,2311109476,0
5453527104,5917455625,463928521,1
7010210529,7534934416,987090724,0
3460380625,3189086784,271293841,1
4719003025,4401260964,693848281,0
68359824,94381225,162741049,1
116402521,149719696,233417284,0
650964196,273439296,377524900,1
1006919824,517744516,657819904,0
849431025,615238416,1464669441,1
1237421329,950858896,1962755809,0
3349631376,7974311401,4624680025,1
4335695716,9461258361,5772200625,0
10415427136,6040398400,4375028736,1
10483916881,6092583025,4419457441,0
1708995600,4068526225,2359530625,1
2001041289,4512883684,2700673024,0
1093757184,2603856784,1510099600,1
1596801600,3354263056,2092879504,0
51236964,26316900,24920064,1
79959364,47803396,45914176,0
947408400,1844530704,897122304,1
1111755649,2071251121,1057225225,0
461132676,224280576,236852100,1
723341025,416037609,433097721,0
204947856,99680256,105267600,1
541725625,358837249,369369961,0
1280924100,623001600,657922500,1
2055806281,1191009121,1239110401,0
421070400,398721024,819791424,1
574848576,548683776,1029639744,0
1684281600,3279165696,1594884096,1
1841010649,3496475161,1747490809,0
41796225,11888704,53684929,1
166771396,97950609,189778176,0
582546496,2048015025,2630561521,1
700713841,2264808100,2875533376,0
1932657444,427993344,1504664100,1
2056259716,487173184,1613950276,0
214739716,47554816,167184900,1
369408400,131377444,306110016,0
3435835456,760877056,2674958400,1
3627171076,852289636,2844088900,0
1044905625,297217600,1342123225,1
1788105796,739894401,2171187216,0
190219264,668739600,858958864,1
497914596,1182121924,1431108900,0
10188864,65205625,75394489,1
13351716,72880369,83631025,0
1206311824,163021824,1043290000,1
1394499649,236513641,1218777921,0
366799104,2347402500,2714201604,1
692900329,3093695641,3512814361,0
4825247296,652087296,4173160000,1
4882515625,673246809,4226430121,0
91699776,586850625,678550401,1
