side1+side2,side1+side3,side2+side3,validity
8096,7084,9108,1
22974,21962,23986,0
56672,49588,63756,1
60200,53116,67284,0
14168,16192,18216,1
26842,28866,30890,0
54648,48576,42504,1
73766,67694,61622,0
72864,64768,56672,1
80136,72040,63944,0
35420,45540,40480,1
35930,46050,40990,0
21252,24288,27324,1
25446,28482,31518,0
5611,8869,5792,1
5901,9159,6082,0
81088,78554,124166,1
95662,93128,138740,0
86880,133035,84165,1
98814,144969,96099,0
89776,141904,92672,1
108392,160520,111288,0
57920,56110,88690,1
67188,65378,97958,0
150773,95387,98464,1
170531,115145,118222,0
115297,75296,72943,1
135037,95036,92683,0
17983,21025,22472,1
23025,26067,27514,0
42050,44944,35966,1
54486,57380,48402,0
53949,67416,63075,1
66013,79480,75139,0
147175,125881,157304,1
163115,141821,173244,0
179776,168200,143864,1
180446,168870,144534,0
105125,89915,112360,1
111911,96701,119146,0
84100,71932,89888,1
97876,85708,103664,0
12288,12150,10122,1
15856,15718,13690,0
73728,60732,72900,1
78854,65858,78026,0
36450,36864,30366,1
47292,47706,41208,0
24300,24576,20244,1
42218,42494,38162,0
60750,61440,50610,1
79852,80542,69712,0
40488,49152,48600,1
47400,56064,55512,0
98304,80976,97200,1
102038,84710,100934,0
9913,13792,10775,1
22811,26690,23673,0
69391,75425,96544,1
74061,80095,101214,0
64650,82752,59478,1
67418,85520,62246,0
21550,27584,19826,1
30682,36716,28958,0
86200,110336,79304,1
89420,113556,82524,0
49565,68960,53875,1
69487,88882,73797,0
39652,43100,55168,1
56696,60144,72212,0
11267,11875,16758,1
12191,12799,17682,0
47500,67032,45068,1
52722,72254,50290,0
67602,71250,100548,1
81944,85592,114890,0
95000,134064,90136,1
95822,134886,90958,0
33801,35625,50274,1
39705,41529,56178,0
78869,83125,117306,1
95535,99791,133972,0
22534,33516,23750,1
33942,44924,35158,0
968,943,1521,1
13220,13195,13773,0
18252,11616,11316,1
19388,12752,12452,0
10648,16731,10373,1
13352,19435,13077,0
14145,14520,22815,1
17721,18096,26391,0
12259,19773,12584,1
26809,34323,27134,0
13552,21294,13202,1
16744,24486,16394,0
9680,15210,9430,1
11256,16786,11006,0
2176,2448,1904,1
20878,21150,20606,0
26928,20944,23936,1
38676,32692,35684,0
36720,28560,32640,1
38144,29984,34064,0
22848,26112,29376,1
40294,43558,46822,0
26656,30464,34272,1
43206,47014,50822,0
39168,34816,30464,1
49384,45032,40680,0
28288,31824,24752,1
38246,41782,34710,0
672,864,768,1
5264,5456,5360,0
6720,7680,8640,1
24444,25404,26364,0
9504,8448,7392,1
28380,27324,26268,0
14688,13056,11424,1
28840,27208,25576,0
12096,15552,13824,1
14594,18050,16322,0
8064,10368,9216,1
25946,28250,27098,0
10080,11520,12960,1
21306,22746,24186,0
13916,10366,11502,1
32254,28704,29840,0
41464,46008,55664,1
41636,46180,55836,0
80514,72562,97412,1
90216,82264,107114,0
27832,23004,20732,1
31720,26892,24620,0
111328,82928,92016,1
121642,93242,102330,0
69012,62196,83496,1
69464,62648,83948,0
69580,57510,51830,1
72794,60724,55044,0
10404,10306,18050,1
13488,13390,21134,0
82448,144400,83232,1
96148,158100,96932,0
36100,20808,20612,1
39622,24330,24134,0
126350,72828,72142,1
135636,82114,81428,0
54150,30918,31212,1
63462,40230,40524,0
108300,62424,61836,1
113906,68030,67442,0
41616,41224,72200,1
43770,43378,74354,0
9345,12705,10290,1
13367,16727,14312,0
74760,82320,101640,1
94474,102034,121354,0
20580,25410,18690,1
34708,39538,32818,0
63525,51450,46725,1
82281,70206,65481,0
65415,88935,72030,1
71101,94621,77716,0
37380,50820,41160,1
41052,54492,44832,0
38115,30870,28035,1
53391,46146,43311,0
16562,20449,15041,1
22484,26371,20963,0
163592,132496,120328,1
172408,141312,129144,0
122694,90246,99372,1
131276,98828,107954,0
30082,33124,40898,1
45910,48952,56726,0
60164,66248,81796,1
66448,72532,88080,0
82810,102245,75205,1
86518,105953,78913,0
143143,105287,115934,1
159153,121297,131944,0
19012,15714,14162,1
27058,23760,22208,0
38024,31428,28324,1
44078,37482,34378,0
47142,57036,42486,1
56376,66270,51720,0
78570,70810,95060,1
89484,81724,105974,0
56648,62856,76048,1
59714,65922,79114,0
152096,125712,113296,1
169372,142988,130572,0
94284,84972,114072,1
101552,92240,121340,0
11392,9167,10769,1
26624,24399,26001,0
43076,45568,36668,1
58140,60632,51732,0
18334,22784,21538,1
21426,25876,24630,0
64614,55002,68352,1
72878,63266,76616,0
73336,91136,86152,1
76568,94368,89384,0
45835,53845,56960,1
63593,71603,74718,0
32307,27501,34176,1
38283,33477,40152,0
9606,10092,14406,1
22202,22688,27002,0
20184,19212,28812,1
20984,20012,29612,0
67242,100842,70644,1
72348,105948,75750,0
50460,72030,48030,1
68796,90366,66366,0
80736,76848,115248,1
86172,82284,120684,0
57624,38424,40368,1
75158,55958,57902,0
57636,86436,60552,1
60768,89568,63684,0
246,300,294,1
3894,3948,3942,0
4410,3690,4500,1
22832,22112,22922,0
5400,4428,5292,1
20980,20008,20872,0
3444,4200,4116,1
14206,14962,14878,0
2460,2940,3000,1
3760,4240,4300,0
4998,5100,4182,1
10166,10268,9350,0
4704,3936,4800,1
20468,19700,20564,0
17328,17496,14424,1
29160,29328,26256,0
121296,122472,100968,1
126562,127738,106234,0
28848,34656,34992,1
44400,50208,50544,0
69312,69984,57696,1
75496,76168,63880,0
86640,72120,87480,1
86940,72420,87780,0
52488,43272,51984,1
63946,54730,63442,0
103968,86544,104976,1
117214,99790,118222,0
756,672,588,1
14268,14184,14100,0
13608,12096,10584,1
32776,31264,29752,0
9408,12096,10752,1
11430,14118,12774,0
8316,6468,7392,1
27750,25902,26826,0
6720,7560,5880,1
22944,23784,22104,0
9408,10584,8232,1
20264,21440,19088,0
11424,12852,9996,1
28242,29670,26814,0
14400,12482,11038,1
17718,15800,14356,0
99856,115200,88304,1
109592,124936,98040,0
33114,43200,37446,1
48644,58730,52976,0
22076,24964,28800,1
26130,29018,32854,0
49928,57600,44152,1
50960,58632,45184,0
74892,86400,66228,1
79998,91506,71334,0
87374,77266,100800,1
101756,91648,115182,0
21218,22500,18082,1
31822,33104,28686,0
112500,90410,106090,1
116030,93940,109620,0
45000,42436,36164,1
52398,49834,43562,0
180000,169744,144656,1
195950,185694,160606,0
108492,135000,127308,1
116018,142526,134834,0
67500,54246,63654,1
68184,54930,64338,0
90000,72328,84872,1
106754,89082,101626,0
4480,3605,4235,1
7580,6705,7335,0
71995,76160,61285,1
78127,82292,67417,0
63525,67200,54075,1
65901,69576,56451,0
49280,39655,46585,1
59598,49973,56903,0
44800,42350,36050,1
53840,51390,45090,0
58240,46865,55055,1
69302,57927,66117,0
59290,62720,50470,1
73312,76742,64492,0
2308,4356,2312,1
11468,13516,11472,0
23080,23120,43560,1
40170,40210,60650,0
47916,25432,25388,1
55704,33220,33176,0
60984,32312,32368,1
66414,37742,37798,0
39304,39236,74052,1
41892,41824,76640,0
65340,34680,34620,1
71176,40516,40456,0
36928,36992,69696,1
43982,44046,76750,0
8704,10625,7871,1
15524,17445,14691,0
60928,74375,55097,1
67216,80663,61385,0
39355,43520,53125,1
48939,53104,62709,0
42500,34816,31484,1
48614,40930,37598,0
69632,62968,85000,1
88974,82310,104342,0
47226,52224,63750,1
57286,62284,73810,0
21250,15742,17408,1
33672,28164,29830,0
11076,18876,11232,1
20176,27976,20332,0
56160,94380,55380,1
64104,102324,63324,0
151008,89856,88608,1
166674,105522,104274,0
78624,77532,132132,1
81234,80142,134742,0
33228,56628,33696,1
50412,73812,50880,0
44304,44928,75504,1
52584,53208,83784,0
66456,67392,113256,1
72654,73590,119454,0
2993,3650,3577,1
3863,4520,4447,0
64386,65700,53874,1
83372,84686,72860,0
36500,35770,29930,1
39516,38786,32946,0
50078,51100,41902,1
68932,69954,60756,0
40150,39347,32923,1
54084,53281,46857,0
62050,50881,60809,1
67090,55921,65849,0
38909,47450,46501,1
45385,53926,52977,0
4200,6069,4011,1
10582,12451,10393,0
103173,68187,71400,1
103329,68343,71556,0
46200,44121,66759,1
52800,50721,73359,0
60165,91035,63000,1
66879,97749,69714,0
72828,48132,50400,1
79674,54978,57246,0
56154,84966,58800,1
57662,86474,60308,0
78897,52143,54600,1
97045,70291,72748,0
2345,3015,2680,1
14145,14815,14480,0
42210,32830,37520,1
49098,39718,44408,0
35175,45225,40200,1
43459,53509,48484,0
30150,23450,26800,1
47714,41014,44364,0
29480,25795,33165,1
38570,34885,42255,0
51255,45560,39865,1
68879,63184,57489,0
42210,48240,54270,1
57846,63876,69906,0
5130,4560,3990,1
15998,15428,14858,0
82080,92340,71820,1
101906,112166,91646,0
54720,47880,61560,1
65566,58726,72406,0
59280,66690,51870,1
67104,74514,59694,0
50160,56430,43890,1
58852,65122,52582,0
59850,68400,76950,1
65756,74306,82856,0
82080,72960,63840,1
89888,80768,71648,0
5984,5797,9163,1
17304,17117,20483,0
69564,71808,109956,1
74970,77214,115362,0
137445,86955,89760,1
153859,103369,106174,0
98549,101728,155771,1
112519,115698,169741,0
65824,100793,63767,1
85326,120295,83269,0
92752,95744,146608,1
100210,103202,154066,0
119119,75361,77792,1
125477,81719,84150,0
9406,13456,10082,1
18894,22944,19570,0
40368,30246,28218,1
59214,49092,47064,0
40328,37624,53824,1
44168,41464,57664,0
60492,56436,80736,1
77310,73254,97554,0
26912,20164,18812,1
45164,38416,37064,0
75248,107648,80656,1
81920,114320,87328,0
67280,47030,50410,1
80416,60166,63546,0
11875,9728,8797,1
18161,16014,15083,0
59375,48640,43985,1
77669,66934,62279,0
83125,61579,68096,1
90497,68951,75468,0
35625,29184,26391,1
50767,44326,41533,0
35188,38912,47500,1
49858,53582,62170,0
17594,19456,23750,1
29010,30872,35166,0
71250,52782,58368,1
84700,66232,71818,0
14336,17500,12964,1
27100,30264,25728,0
51856,57344,70000,1
55682,61170,73826,0
38892,43008,52500,1
39966,44082,53574,0
28672,25928,35000,1
29512,26768,35840,0
64820,71680,87500,1
75646,82506,98326,0
140000,103712,114688,1
150808,114520,125496,0
100352,122500,90748,1
115260,137408,105656,0
7464,8664,9408,1
21324,22524,23268,0
60648,52248,65856,1
65750,57350,70958,0
37320,47040,43320,1
38972,48692,44972,0
14928,18816,17328,1
24946,28834,27346,0
25992,28224,22392,1
45044,47276,41444,0
59712,69312,75264,1
74052,83652,89604,0
51984,56448,44784,1
70524,74988,63324,0
8001,9144,10287,1
20411,21554,22697,0
27432,30861,24003,1
32208,35637,28779,0
82296,73152,64008,1
93416,84272,75128,0
64008,72009,56007,1
83182,91183,75181,0
18288,20574,16002,1
20824,23110,18538,0
32004,41148,36576,1
48188,57332,52760,0
40005,51435,45720,1
56889,68319,62604,0
11767,17150,11263,1
19705,25088,19201,0
68600,45052,47068,1
82076,58528,60544,0
78841,82369,120050,1
90355,93883,131564,0
35301,33789,51450,1
48555,47043,64704,0
34300,23534,22526,1
51508,40742,39734,0
67578,70602,102900,1
69524,72548,104846,0
85750,58835,56315,1
95478,68563,66043,0
18896,21258,16534,1
25680,28042,23318,0
132272,148806,115738,1
147458,163992,130924,0
66136,75584,85032,1
66222,75670,85118,0
106290,94480,82670,1
123232,111422,99612,0
170064,151168,132272,1
170710,151814,132918,0
37792,33068,42516,1
44930,40206,49654,0
113376,99204,127548,1
116676,102504,130848,0
5806,7056,6962,1
21108,22358,22264,0
98784,81284,97468,1
99340,81840,98024,0
70560,69620,58060,1
78212,77272,65712,0
84672,83544,69672,1
101432,100304,86432,0
91728,90506,75478,1
97884,96662,81634,0
105840,104430,87090,1
121526,120116,102776,0
76582,63866,77616,1
87672,74956,88706,0
9436,17500,9464,1
14928,22992,14956,0
105000,56616,56784,1
107948,59564,59732,0
52500,28392,28308,1
67886,43778,43694,0
66052,122500,66248,1
74104,130552,74300,0
87500,47320,47180,1
88610,48430,48290,0
140000,75712,75488,1
158286,93998,93774,0
37744,37856,70000,1
39932,40044,72188,0
8036,9922,7298,1
23422,25308,22684,0
56252,51086,69454,1
75892,70726,89094,0
29192,32144,39688,1
43324,46276,53820,0
21894,29766,24108,1
23874,31746,26088,0
64288,79376,58384,1
69806,84894,63902,0
16072,14596,19844,1
31104,29628,34876,0
40180,36490,49610,1
41298,37608,50728,0
5968,6714,5222,1
15074,15820,14328,0
78330,89520,100710,1
96184,107374,118564,0
107424,95488,83552,1
114756,102820,90884,0
120852,107424,93996,1
136550,123122,109694,0
77584,87282,67886,1
91006,100704,81308,0
73854,57442,65648,1
85320,68908,77114,0
73108,83552,93996,1
86996,97440,107884,0
3600,5202,3438,1
10658,12260,10496,0
58446,61200,88434,1
69240,71994,99228,0
43200,62424,41256,1
46960,66184,45016,0
37818,39600,57222,1
55756,57538,75160,0
52020,36000,34380,1
67912,51892,50272,0
93636,61884,64800,1
108058,76306,79222,0
46800,67626,44694,1
54776,75602,52670,0
17407,20449,21632,1
24729,27771,28954,0
108160,102245,87035,1
112980,107065,91855,0
151424,143143,121849,1
152052,143771,122477,0
34814,43264,40898,1
48370,56820,54454,0
86528,81796,69628,1
96252,91520,79352,0
122694,129792,104442,1
138788,145886,120536,0
163592,173056,139256,1
180770,190234,156434,0
14049,10927,12488,1
32113,28991,30552,0
74928,84294,65562,1
94096,103462,84730,0
99904,112392,87416,1
110060,122548,97572,0
24976,21854,28098,1
43952,40830,47074,0
49952,43708,56196,1
61184,54940,67428,0
87416,76489,98343,1
101586,90659,112513,0
70245,54635,62440,1
86523,70913,78718,0
8262,8619,6987,1
11266,11623,9991,0
97818,115668,120666,1
114302,132152,137150,0
146523,118779,140454,1
155157,127413,149088,0
137904,132192,111792,1
157082,151370,130970,0
90882,94809,76857,1
93230,97157,79205,0
