side1^2+side2^2,side1^2+side3^2,side2^2+side3^2,validity
34820896,25603600,41989904,1
265950626,241676794,288176170,0
1706223904,1254576400,2057505296,1
1912386112,1435746256,2288659856,0
102414400,139283584,167959616,1
362294770,424816130,479144338,0
1511636544,1253552256,921729600,1
2739145970,2364977186,1917070034,0
2687353856,2228537344,1638630400,1
3243661856,2725971232,2077190176,0
640090000,1049747600,870522400,1
658284250,1073103050,891297250,0
230432400,313388064,377909136,1
328358106,424046754,501300810,0
20475625,39345961,22080914,1
22144865,41960021,23802644,0
4327859144,4013222500,7711808356,1
5615836394,5264269234,9627604378,0
4968205650,8852841225,4607015625,1
6076241748,10511691093,5682650913,0
5241760000,10072566016,5652713984,1
7086307744,12887528608,7551173664,0
2208091400,2047562500,3934596100,1
2787841872,2610537892,4799522932,0
11370982729,5917455625,6381384146,1
14545144945,7997301253,8522025140,0
6649467409,3731674466,3460380625,1
9120263989,5412851306,5095109245,0
162741049,231100873,257122274,1
266122217,349819805,383136980,0
924403492,1028489096,650964196,1
1524664340,1664739728,1175564420,0
1464669441,2314100466,2079907857,1
2188280225,3200177138,2913614705,0
11323942777,7974311401,12598991426,1
13796954077,10107896341,15233458986,0
16455825536,14790455872,10415427136,1
16576499906,14903374322,10512040466,0
5777521825,4068526225,6428056850,1
6513924973,4701714313,7213556708,0
3697613968,2603856784,4113956384,1
4951064656,3689681104,5447142560,0
77553864,76157028,51236964,1
127762760,125873540,93717572,0
2791939104,1844530704,2741653008,1
3183006770,2168980874,3128476346,0
685413252,697984776,461132676,1
1139378634,1156438746,849135330,0
304628112,310215456,204947856,1
900562874,911095586,728207210,0
1903925700,1938846600,1280924100,1
3246815402,3294916682,2430119522,0
819791424,1240861824,1218512448,1
1123532352,1604488320,1578323520,0
4963447296,3279165696,4874049792,1
5337485810,3588501458,5243965970,0
53684929,95481154,65573633,1
264722005,356549572,287728785,0
2630561521,3213108017,4678576546,1
2965521941,3576247217,5140341476,0
2360650788,3437321544,1932657444,1
2543432900,3670209992,2101123460,0
262294532,381924616,214739716,1
500785844,675518416,437487460,0
4196712512,6110793856,3435835456,1
4479460712,6471259976,3696378536,0
1342123225,2387028850,1639340825,1
2528000197,3959293012,2911081617,0
858958864,1049178128,1527698464,1
1680036520,1929023496,2613230824,0
75394489,85583353,140600114,1
86232085,96982741,156511394,0
1369333648,2249601824,1206311824,1
1631013290,2613277570,1455291562,0
2714201604,3081000708,5061604104,1
3786595970,4205714690,6606510002,0
5477334592,8998407296,4825247296,1
5555762434,9108945746,4899676930,0
678550401,770250177,1265401026,1
895540113,998008785,1579647330,0
3694329961,4193584297,6889405586,1
5147638493,5717823325,8983305160,0
301577956,562400456,342333412,1
623717060,1009822216,678344644,0
635554,597529,1157033,1
87551242,87206917,94848077,0
166612752,91519776,86044176,1
187992272,105360800,99544400,0
76902034,140000993,72301009,1
109350034,188897425,104005409,0
134444025,142999650,260332425,1
191420433,201317058,348312753,0
100982401,195538577,107408626,1
385202101,589086977,396357076,0
124568584,226778468,117115684,1
172921000,299843348,164350900,0
63555400,115703300,59752900,1
80052968,140916148,75856468,0
2515456,3033344,1849600,1
218093410,223698242,212340610,0
367034624,223801600,304370176,1
752392520,538859464,654578056,0
682502400,416160000,565977600,1
735805568,457843328,613470848,0
266342400,362225664,436801536,1
817130066,969957074,1101476690,0
362521600,493029376,594535424,1
940629650,1134159826,1298688274,0
776536064,643956736,473497600,1
1228859680,1051820320,836901152,0
425112064,512635136,312582400,1
756384850,879119410,608643698,0
230400,377856,313344,1
13859456,14888576,14383232,0
23040000,31334400,37785600,1
299215368,324524808,347991048,0
45720576,37914624,27878400,1
403269768,375530760,345561480,0
109200384,90556416,66585600,1
417204512,375464480,328397600,0
74649600,122425344,101523456,1
107985410,164394242,139175810,0
33177600,54411264,45121536,1
337261010,399694802,369805010,0
51840000,70502400,85017600,1
228009618,262837458,293518098,0
97472776,56640676,72449252,1
520805506,414873506,451514050,0
906250816,1159188032,1559564416,1
913397416,1167116200,1569153416,0
3550013348,2775393124,4776166024,1
4378224578,3526454050,5768321650,0
389891104,289797008,226562704,1
505660192,386794832,314726992,0
6238257664,3625003264,4636752128,1
7439683954,4533511954,5638994450,0
2608173072,2039064336,3509019936,1
2639468648,2067279080,3546862280,0
2436819400,1811231300,1416016900,1
2665614418,2001233338,1587763418,0
84106376,82337476,162906052,1
120947840,118876708,223327780,0
5269598464,10425987328,5382808064,1
6492981064,12498112328,6616931464,0
651624208,336425504,329349904,1
784970650,415913522,408147610,0
7982396548,4121212424,4034536324,1
9198797546,4840608130,4747561834,0
1466154468,741037284,756957384,1
2013755940,1072302372,1090960200,0
5864617872,3027829536,2964149136,1
6487461290,3393492098,3326515370,0
1345702016,1317399616,2606496832,1
1437662738,1408515970,2764335490,0
46580625,81155025,58586850,1
92254457,140342777,108061472,0
2981160000,3749558400,5193921600,1
4649299538,5566735778,7391973458,0
234347400,324620100,186322500,1
624901832,783412772,550175012,0
2028875625,1464671250,1164515625,1
3396244293,2605561218,2216783493,0
2282450625,3976596225,2870755650,1
2670565613,4498445933,3296483528,0
745290000,1298480400,937389600,1
889291152,1491833232,1095270912,0
730395225,527281650,419225625,1
1429318053,1115529858,964166373,0
151773154,210237521,120670225,1
267388360,348871541,227278069,0
13455201344,9713481856,7722894400,1
14936289344,10920427520,8822566976,0
7568550756,4344128100,5463833544,1
8658336026,5155444634,6353469410,0
482680900,607092616,840950084,1
1084081588,1256642080,1613546420,0
1930723600,2428370464,3363800336,1
2328538504,2864417224,3897550728,0
3794328850,5255938025,3016755625,1
4108262962,5641937117,3302490397,0
10301638529,5912841025,7436884546,1
12721518009,7726645945,9421147936,0
181932424,135226148,105719524,1
367272034,294030050,252036034,0
727729696,540904592,422878096,1
976252450,749495162,612677050,0
1217035332,1637391816,951475716,1
1694977938,2206695618,1386424818,0
3380653700,2642988100,4548310600,1
4297724378,3475366138,5645353138,0
1691512384,2163618368,2910918784,1
1869895330,2361035042,3148782130,0
11643675136,8654473472,6766049536,1
14420515720,10975504072,8872581320,0
4868141328,3805902864,6549567264,1
5579809352,4449891272,7405054472,0
66172034,42211009,60460993,1
355701890,297849665,340501313,0
967375888,1058752544,675376144,1
1729734800,1858650944,1341204944,0
168844036,264688136,241843972,1
230312996,339916496,313219700,0
2176595748,1519596324,2382193224,1
2744712692,2008279700,2981201000,0
2701504576,4235010176,3869503552,1
2943749440,4534784640,4153169728,0
1055275225,1511524825,1654300850,1
2026886437,2625377617,2823469812,0
544148937,379899081,595548306,1
755071857,562101345,817640370,0
55442916,62444232,103884516,1
255769700,268892672,364672100,0
249776928,221771664,415538064,1
266244128,237461264,438907664,0
2716702884,5090341284,3059767368,1
3073076154,5618276154,3433511250,0
1561105800,2597112900,1386072900,1
2654444808,4085959428,2434855428,0
3996430848,3548346624,6648609024,1
4450086792,3980867400,7289872200,0
1662152256,887086656,999107712,1
2826252050,1714533650,1860640802,0
1995944976,3739842576,2247992352,1
2181365640,4015464840,2442545928,0
30276,46152,44676,1
7581636,7794504,7771140,0
10052100,6812100,10384200,1
260978162,244474322,262968242,0
14953248,9809424,14475024,1
220453448,200165864,218292584,0
5934096,9045792,8756496,1
100908746,112156514,110963210,0
3027600,4467600,4615200,1
7070600,9134600,9360200,0
12911364,13337928,8749764,1
52095140,53048840,43716452,0
11437056,7750656,11814912,1
209842760,194049608,211733960,0
154848384,157271616,104040000,1
429871392,434282400,344702880,0
7587570816,7706309184,5097960000,1
8240180930,8365112114,5643522866,0
416160000,619393536,629086464,1
985736448,1279296000,1294214400,0
2477574144,2516345856,1664640000,1
2925320480,2968247840,2040552992,0
3871209600,2601000000,3931790400,1
3897246600,2622681000,3958079400,0
1415444544,936360000,1393635456,1
2082494930,1497813458,2054911010,0
5574541824,3745440000,5661778176,1
7039430210,4979530082,7140018530,0
289296,239904,176400,1
101791440,100607040,99408528,0
93731904,77728896,57153600,1
538276160,493291136,443733824,0
45158400,74059776,61415424,1
66225618,100562130,85200210,0
35004816,21344400,29028384,1
385458138,335883690,361524690,0
23990400,28929600,17640000,1
264624768,283192128,244646208,0
47021184,56702016,34574400,1
208080800,230528288,182867360,0
69332256,83606544,50979600,1
402883650,441174042,360514890,0
104722568,83551684,62758084,1
158006330,130471522,104886730,0
5347307776,6702244352,4016517376,1
6366900640,7871226400,4923639968,0
564822756,942503112,751965156,1
1199673626,1733989562,1454091986,0
251032336,334206736,418890272,1
348745898,443628250,543862930,0
1336826944,1675561088,1004129344,1
1388885152,1735536800,1050226720,0
3007860624,3770012448,2259291024,1
3403294794,4224206466,2610486810,0
4094032516,3075146116,5131405832,1
5454066346,4289806690,6684532394,0
234861124,258042248,164301124,1
516079204,552854656,412265060,0
6451056200,4107528100,5871528100,1
6854411650,4432905850,6252256250,0
1032168992,939444496,657204496,1
1392444194,1280751226,952110970,0
16514703872,15031111936,10515271936,1
19512905122,17865729986,12949736386,0
5914840464,9289520928,8455000464,1
6759671594,10333851266,9441440810,0
2322380232,1478710116,2113750116,1
2368784160,1516048308,2157523380,0
4128675968,2628817984,3757777984,1
5776884226,3980949554,5320071730,0
10233650,6528025,9350425,1
28926650,22508525,27283925,0
2702272825,2957524850,1886599225,1
3162546877,3443338682,2281199557,0
2103845625,2302571250,1468805625,1
2257603713,2465061138,1600110513,0
1238271650,789891025,1131401425,1
1799973252,1252281877,1665296017,0
1023365000,935042500,652802500,1
1469217800,1358747300,1019555300,0
1729486850,1103236225,1580221825,1
2434921652,1682840777,2250424157,0
1832683300,2005795400,1279492900,1
