side1^2,side2^2,side3^2,side1^2+side2^2,side1^2+side3^2,side2^2+side3^2,validity
9217296,25603600,16386304,34820896,25603600,41989904,1
109725625,156225001,131951169,265950626,241676794,288176170,0
451647504,1254576400,802928896,1706223904,1254576400,2057505296,1
529736256,1382649856,906010000,1912386112,1435746256,2288659856,0
36869184,65545216,102414400,102414400,139283584,167959616,1
153983281,208311489,270832849,362294770,424816130,479144338,0
921729600,589906944,331822656,1511636544,1253552256,921729600,1
1593526561,1145619409,771450625,2739145970,2364977186,1917070034,0
1638630400,1048723456,589906944,2687353856,2228537344,1638630400,1
1946221456,1297440400,779749776,3243661856,2725971232,2077190176,0
409657600,230432400,640090000,640090000,1049747600,870522400,1
420045025,238239225,653058025,658284250,1073103050,891297250,0
82955664,147476736,230432400,230432400,313388064,377909136,1
125552025,202806081,298494729,328358106,424046754,501300810,0
18870336,1605289,20475625,20475625,39345961,22080914,1
20151121,1993744,21808900,22144865,41960021,23802644,0
314636644,4013222500,3698585856,4327859144,4013222500,7711808356,1
626250625,4989585769,4638018609,5615836394,5264269234,9627604378,0
4607015625,361190025,4245825600,4968205650,8852841225,4607015625,1
5452640964,623600784,5059050129,6076241748,10511691093,5682650913,0
4830806016,410953984,5241760000,5241760000,10072566016,5652713984,1
6211331344,874976400,6676197264,7086307744,12887528608,7551173664,0
160528900,2047562500,1887033600,2208091400,2047562500,3934596100,1
299428416,2488413456,2311109476,2787841872,2610537892,4799522932,0
5453527104,5917455625,463928521,11370982729,5917455625,6381384146,1
7010210529,7534934416,987090724,14545144945,7997301253,8522025140,0
3460380625,3189086784,271293841,6649467409,3731674466,3460380625,1
4719003025,4401260964,693848281,9120263989,5412851306,5095109245,0
68359824,94381225,162741049,162741049,231100873,257122274,1
116402521,149719696,233417284,266122217,349819805,383136980,0
650964196,273439296,377524900,924403492,1028489096,650964196,1
1006919824,517744516,657819904,1524664340,1664739728,1175564420,0
849431025,615238416,1464669441,1464669441,2314100466,2079907857,1
1237421329,950858896,1962755809,2188280225,3200177138,2913614705,0
3349631376,7974311401,4624680025,11323942777,7974311401,12598991426,1
4335695716,9461258361,5772200625,13796954077,10107896341,15233458986,0
10415427136,6040398400,4375028736,16455825536,14790455872,10415427136,1
10483916881,6092583025,4419457441,16576499906,14903374322,10512040466,0
1708995600,4068526225,2359530625,5777521825,4068526225,6428056850,1
2001041289,4512883684,2700673024,6513924973,4701714313,7213556708,0
1093757184,2603856784,1510099600,3697613968,2603856784,4113956384,1
1596801600,3354263056,2092879504,4951064656,3689681104,5447142560,0
51236964,26316900,24920064,77553864,76157028,51236964,1
79959364,47803396,45914176,127762760,125873540,93717572,0
947408400,1844530704,897122304,2791939104,1844530704,2741653008,1
1111755649,2071251121,1057225225,3183006770,2168980874,3128476346,0
461132676,224280576,236852100,685413252,697984776,461132676,1
723341025,416037609,433097721,1139378634,1156438746,849135330,0
204947856,99680256,105267600,304628112,310215456,204947856,1
541725625,358837249,369369961,900562874,911095586,728207210,0
1280924100,623001600,657922500,1903925700,1938846600,1280924100,1
2055806281,1191009121,1239110401,3246815402,3294916682,2430119522,0
421070400,398721024,819791424,819791424,1240861824,1218512448,1
574848576,548683776,1029639744,1123532352,1604488320,1578323520,0
1684281600,3279165696,1594884096,4963447296,3279165696,4874049792,1
1841010649,3496475161,1747490809,5337485810,3588501458,5243965970,0
41796225,11888704,53684929,53684929,95481154,65573633,1
166771396,97950609,189778176,264722005,356549572,287728785,0
582546496,2048015025,2630561521,2630561521,3213108017,4678576546,1
700713841,2264808100,2875533376,2965521941,3576247217,5140341476,0
1932657444,427993344,1504664100,2360650788,3437321544,1932657444,1
2056259716,487173184,1613950276,2543432900,3670209992,2101123460,0
214739716,47554816,167184900,262294532,381924616,214739716,1
369408400,131377444,306110016,500785844,675518416,437487460,0
3435835456,760877056,2674958400,4196712512,6110793856,3435835456,1
3627171076,852289636,2844088900,4479460712,6471259976,3696378536,0
1044905625,297217600,1342123225,1342123225,2387028850,1639340825,1
1788105796,739894401,2171187216,2528000197,3959293012,2911081617,0
190219264,668739600,858958864,858958864,1049178128,1527698464,1
497914596,1182121924,1431108900,1680036520,1929023496,2613230824,0
10188864,65205625,75394489,75394489,85583353,140600114,1
13351716,72880369,83631025,86232085,96982741,156511394,0
1206311824,163021824,1043290000,1369333648,2249601824,1206311824,1
1394499649,236513641,1218777921,1631013290,2613277570,1455291562,0
366799104,2347402500,2714201604,2714201604,3081000708,5061604104,1
692900329,3093695641,3512814361,3786595970,4205714690,6606510002,0
4825247296,652087296,4173160000,5477334592,8998407296,4825247296,1
4882515625,673246809,4226430121,5555762434,9108945746,4899676930,0
91699776,586850625,678550401,678550401,770250177,1265401026,1
156950784,738589329,841058001,895540113,998008785,1579647330,0
499254336,3195075625,3694329961,3694329961,4193584297,6889405586,1
941078329,4206560164,4776744996,5147638493,5717823325,8983305160,0
