side1,side2,side3,validity
24944,44956,78255,0
44812,62247,14715,0
65329,65189,39645,1
22574,37342,95956,0
6768,85373,82871,1
53254,56140,68849,1
76134,83714,73574,1
80144,60488,14017,0
97297,44574,93018,1
36397,8204,30467,1
19776,25166,66954,0
86972,83382,11453,1
9451,60463,38873,0
1708,37691,10711,0
18187,37691,37945,1
2150,88481,79012,0
89766,18590,8735,0
87669,74048,6897,0
19774,85521,30476,0
60373,74502,73538,1
59820,9610,77737,0
1413,78290,89221,0
69961,64773,471,0
18998,75018,89128,1
7363,30476,10970,0
87066,48565,81899,1
18449,67714,6648,0
14601,29935,20540,1
17679,9612,94848,0
66539,87338,94069,1
35221,53671,86664,1
74083,58423,16143,1
5956,15885,94125,0
84782,94917,38296,1
68762,31254,74952,1
16266,66987,73924,1
74884,50048,51001,1
29239,99253,70038,1
43297,13272,11703,0
72243,94439,90268,1
65526,46021,61293,1
6551,82041,24370,0
92279,63435,25486,0
11705,86200,17376,0
32730,3852,65645,0
34187,71432,62613,1
32239,31854,12765,1
23962,44126,11455,0
6708,51661,36862,0
4442,57415,83274,0
17952,62368,52889,1
40818,47953,69777,1
70039,61250,33367,1
5719,38432,55634,0
70677,23445,33784,0
98977,47907,63794,1
57090,15902,73788,0
26726,81722,54611,0
9524,13245,25833,0
56424,82542,16369,0
18352,3926,22875,0
91342,73332,30128,1
67117,69102,71869,1
93863,49696,65908,1
13101,30740,74721,0
54598,11018,52603,1
13630,79271,56433,0
28733,35712,13955,1
28546,41623,28467,1
8940,64756,39692,0
95508,15233,10962,0
50389,53882,10741,1
46170,27603,31221,1
83328,59299,83183,1
89309,21679,65873,0
21012,44535,88538,0
72241,33695,35665,0
11828,70645,42327,0
29926,27961,88669,0
87232,18478,22459,0
65130,9485,26717,0
74506,76293,88189,1
70638,62681,94140,1
7985,72350,58388,0
73893,74954,89909,1
25222,79004,10227,0
80427,88975,95742,1
77196,16379,85956,1
86429,81081,13793,1
39625,26950,90323,0
78209,23963,65759,1
88993,50565,45992,1
33481,74506,84685,1
6369,56250,92652,0
28728,83651,49881,0
55007,21060,47785,1
73419,71811,93931,1
17177,34530,9047,0
82249,90082,33934,1
9378,19706,73702,0
51126,90876,60557,1
33828,75133,88718,1
21377,26111,32163,1
25762,64190,88096,1
49003,92712,8178,0
59520,72569,74664,1
42144,42224,69633,1
11299,67463,96306,0
15737,29093,16646,1
39862,42638,92288,0
48654,80185,99744,1
94957,25898,97843,1
91520,51428,9606,0
60524,38657,58405,1
66280,69417,4054,1
28658,80948,47035,0
38133,31418,56778,1
61261,31068,43981,1
57186,48714,27486,1
37320,83286,51162,1
57624,70121,19974,1
51326,18343,3556,0
74073,86775,99019,1
20428,88764,48748,0
