side1,side2,side3,validity
2129,106,2131,0
136802,7888,134610,0
109,102,110,0
2321,553,2346,0
57960,1633,57983,1
4,3,5,1
4830,84456,84594,1
3111,94860,94911,1
77750,5823,76939,0
32,33,33,0
188232,8370,188418,1
144,95,145,0
99361,5287,98392,0
1350,720,1530,1
1892,671,1973,0
45851,3899,45110,0
57664,3498,57770,1
223041,8707,219908,0
319,125,321,0
210456,5767,210535,1
17281,1985,17214,0
881,283,684,0
2521,511,2512,0
3708,181,3709,0
6885,864,6939,1
851,15732,15755,1
2548,62400,62452,1
192865,8009,189558,0
191521,7845,189146,0
1680,82,1682,1
1547,105,1549,0
3642,115,3643,0
73815,4104,73929,1
121073,6835,116868,0
1032,3010,3182,1
2430,119,2431,0
3696,60928,61040,1
254857,9503,251568,0
38070,1656,38106,1
5100,640,5140,1
1271,19680,19721,1
2440,549,2501,1
1459,165,1461,0
2442,131,2443,0
170400,6958,170542,1
599,72,601,0
4356,125,4357,0
2025,178,2027,0
305,732,793,1
166,69,167,0
33840,3572,34028,1
200,45,205,1
57602,4618,56820,0
1573,116,1574,0
52418,4562,51884,0
3120,40500,40620,1
3627,100,3628,0
1224,510,1326,1
219,292,365,1
100464,4277,100555,1
18839,2155,18474,0
108734,6959,107347,0
68641,4779,65620,0
21,28,35,1
647,351,722,0
1217,130,1219,0
16798,2159,16611,0
2900,703,2469,0
40321,2767,39568,0
1568,210,1582,1
6048,936,6120,1
457,150,457,0
3301,102,3302,0
3654,928,3770,1
9460,903,9503,1
404,45,406,0
4212,159,4215,1
216002,11122,213876,0
56088,3034,56170,1
3520,56265,56375,1
1131,16380,16419,1
276736,5952,276800,1
39102,3791,38707,0
258301,9586,255013,0
6049,1007,6048,0
2666,75,2667,0
0,2,2,1
227040,5220,227100,1
1366,143,1368,0
1840,42300,42340,1
34782,2176,34850,1
17280,1824,17376,1
1920,15300,15420,1
86,87,88,0
127514,7696,125886,0
3936,94423,94505,1
437,115,439,0
14386,1799,13575,0
23581,2915,23436,0
216002,11122,213876,0
2,98,100,0
107,90,108,0
792,118,794,0
1600,15960,16040,1
14,0,14,1
2125,78,2126,0
167400,5490,167490,1
166412,9415,164733,0
67,53,69,0
9,7,11,0
3724,35280,35476,1
4320,792,4392,1
712,534,890,1
5175,432,5193,1
401580,8827,401677,1
2465,427,2388,0
16897,1713,16718,0
3584,480,3616,1
76,53,78,0
2482,620,2478,0
1716,28288,28340,1
75768,3526,75850,1
23256,1258,23290,1
164673,7150,162833,0
585,11400,11415,1
231,89,233,0
1008,294,1050,1
38,36,40,0
1365,14300,14365,1
46802,4324,46374,0
47424,1232,47440,1
25,11,27,0
174841,7533,173134,0
5586,560,5614,1
771,50,772,0
62361,3120,62439,1
3040,28800,28960,1
66789,4991,64636,0
-72,0,72,1
6552,137514,137670,1
25,26,26,0
13105,1309,12802,0
6952,152865,153023,1
57122,4386,55588,0
532,83,533,0
954,73,955,0
1872,11154,11310,1
828,101,830,0
64,510,514,1
25272,954,25290,1
480,108,492,1
576,168,600,1
112035,6596,112229,1
392,1344,1400,1
0,26,26,1
4020,60233,60367,1
650,123,652,0
8649,402132,402225,1
1129,107,1131,0
3280,81,3281,1
26880,1312,26912,1
-81,0,81,1
2668,77,2669,0
70681,4117,68918,0
34442,3160,33738,0
36,105,111,1
16417,1535,15792,0
470401,14305,465694,0
680,106,682,0
4416,101520,101616,1
58520,3003,58597,1
1266,112,1268,0
142680,4838,142762,1
445901,13810,441189,0
114445,5594,112317,0
3360,164,3364,1
26181,3070,23879,0
540,2400,2460,1
4043,172,4044,0
167485,7980,167675,1
3080,30723,30877,1
1250,15600,15650,1
19350,880,19370,1
2881,635,2436,0
6272,153600,153728,1
644,70,646,0
61380,2013,61413,1
51889,5347,47668,0
148709,8959,147372,0
4233,175644,175695,1
4225,176,4226,0
47621,3875,46316,0
14618,2404,14646,0
4343,112,4344,0
71501,4054,70305,0
0,94,94,1
494,4680,4706,1
6336,748,6380,1
2368,18870,19018,1
56917,3832,56431,0
147,504,525,1
5250,91800,91950,1
2747,156,2748,0
34224,1457,34255,1
4740,133,4741,0
19,17,21,0
1935,173,1937,0
70122,4680,70278,1
36121,4377,32602,0
177410,10018,175836,0
18920,1806,19006,1
59,42,60,0
56241,4237,53522,0
206,79,207,0
40560,3250,40690,1
36121,2562,35363,0
5893,209160,209243,1
80040,2714,80086,1
2970,48960,49050,1
3666,139,3667,0
2961,69552,69615,1
2744,19110,19306,1
231193,8893,228382,0
25840,2880,26000,1
4015,146520,146575,1
7220,137085,137275,1
362209,12076,357677,0
0,0,0,1
92,0,92,1
44065,3184,43633,0
368,276,460,1
2112,34816,34880,1
2711,120,2712,0
1969,591,2032,0
16740,549,16749,1
2908,171,2909,0
4692,119600,119692,1
133,1260,1267,1
115130,7279,113751,0
1357,40020,40043,1
85801,4615,84616,0
1550,108,1552,0
1649,79968,79985,1
98175,5780,98345,1
840,14688,14712,1
201,82,203,0
2460,149,2461,0
175645,7594,172333,0
29017,2612,28821,0
169741,7780,165731,0
1139,117,1141,0
5246,112728,112850,1
774,127,775,0
1344,32242,32270,1
111973,6162,108475,0
57001,3646,56353,0
3148,107,3149,0
1650,131,1652,0
1647,50220,50247,1
178501,7486,176263,0
7656,332992,333080,1
1764,18480,18564,1
67,20,69,0
17942,2743,17955,0
1862,17640,17738,1
105152,3339,105205,1
22,21,23,0
733,59,735,0
83,76,85,0
5289,252,5295,1
2662,935,2787,0
1176,182,1190,1
137514,6880,137686,1
4300,92400,92500,1
356040,7826,356126,1
85260,2891,85309,1
6351,276232,276305,1
55,48,57,0
175644,4233,175695,1
57720,3040,57800,1
151033,6868,149557,0
870,143,872,0
337,253,418,0
137641,6313,135914,0
1539,172,1541,0
183,41,185,0
1,36,37,0
58752,3360,58848,1
158,207,259,0
240,1792,1808,1
98784,2037,98805,1
393,106,395,0
106801,5512,105737,0
-90,0,90,1
13299,2232,13485,1
2677,86,2678,0
13301,2351,13364,0
4561,955,3844,0
501,52,502,0
21252,1936,21340,1
6242,1466,6332,0
68450,5028,66394,0
3660,133,3661,0
2493,191,2495,0
81600,3332,81668,1
1259,105,1261,0
114,100,116,0
303,49,305,0
7055,292740,292825,1
149185,6679,146648,0
43500,1475,43525,1
0,-81,81,1
345,828,897,1
1590,42120,42150,1
369984,7790,370066,1
51681,3373,51026,0
1791,110,1792,0
376,122,378,0
52081,3507,50308,0
3128,53130,53222,1
385,2100,2135,1
67,60,68,0
5580,1023,5673,1
3658,56640,56758,1
623,46,624,0
74521,5687,70488,0
6,8,10,1
53856,3080,53944,1
980,17136,17164,1
1937,90,1939,0
389,292,483,0
208,1344,1360,1
30362,3296,30098,0
12987,684,13005,1
2662,935,2787,0
1846,167,1848,0
10641,1267,9932,0
192,1144,1160,1
62161,3833,61434,0
257,339,424,0
2305,2303,96,1
65522,4796,63998,0
1276,18480,18524,1
431,109,433,0
37920,2449,37999,1
1547,105,1549,0
604,93,605,0
2080,159,2081,0
295153,10483,291532,0
1,40,41,0
36252,1961,36305,1
4919,118,4920,0
3276,68757,68835,1
126938,7727,125399,0
230,88,232,0
40480,1800,40520,1
595,204,629,1
76701,4258,75509,0
2730,53200,53270,1
1720,36960,37000,1
15181,1642,14227,0
136,102,170,1
36122,3276,35422,0
1129,107,1131,0
33125,2794,32877,0
3334,135,3335,0
16677,1919,16204,0
50797,3482,50301,0
21842,2324,21334,0
274560,6952,274648,1
1536,169,1538,0
85280,2106,85306,1
173376,4080,173424,1
3843,117180,117243,1
29400,2030,29470,1
3465,133380,133425,1
1571,114,1572,0
152065,6727,150088,0
82320,4018,82418,1
3828,55440,55572,1
1881,31008,31065,1
3362,662,3256,0
64680,4466,64834,1
201960,6030,202050,1
582,776,970,1
95760,4914,95886,1
4012,141,4013,0
2697,117304,117335,1
79,80,81,0
1514,376,1386,0
73,26,75,0
6808,125856,126040,1
1491,15620,15691,1
980,2352,2548,1
1479,21420,21471,1
1896,97,1897,0
693,116,694,0
26401,2229,25270,0
5460,106400,106540,1
129519,6480,129681,1
193,95,195,0
81781,4454,80145,0
104400,4263,104487,1
120961,5857,118558,0
7614,308320,308414,1
128340,2821,128371,1
43682,3914,43124,0
6534,1320,6666,1
18481,1741,17618,0
1287,133,1289,0
3239,127920,127961,1
2243,129,2245,0
3707,180,3708,0
2,158,160,0
1442,148,1444,0
1065,106,1067,0
16994,2260,16854,0
220501,9256,215743,0
77519,6271,76986,0
2378,559,2343,0
348096,7178,348170,1
490,12000,12010,1
78,504,510,1
83602,5732,82266,0
1263,112,1264,0
792,17415,17433,1
23520,1148,23548,1
709,62,710,0
2,182,184,0
3080,294,3094,1
3672,93600,93672,1
26402,3380,24118,0
4978,177,4979,0
84,83,85,0
3298,159936,159970,1
124957,6068,123693,0
1589,132,1590,0
410,123,411,0
3479,118,3480,0
3863,859,3858,0
146160,5130,146250,1
350,127,352,0
7225,3697,3698,0
11016,630,11034,1
14820,385,14825,1
1024,16368,16400,1
105984,4512,106080,1
124956,4717,125045,1
4935,134,4936,0
2346,26928,27030,1
664,90,666,0
960,62,962,1
10976,1470,11074,1
2289,112,2290,0
66,1088,1090,1
14096,1735,13401,0
38000,1950,38050,1
7280,1638,7462,1
1440,420,1500,1
912,8640,8688,1
82000,2025,82025,1
127,96,128,0
3680,153,3681,0
35728,1254,35750,1
84,50,86,0
91261,4796,89973,0
277381,10146,273397,0
10440,354,10446,1
330,2464,2486,1
402,80,404,0
1475,108,1477,0
29761,2775,27976,0
249,50,250,0
119,72,121,0
297,60,303,1
30466,2870,29496,0
612,2720,2788,1
4335,110500,110585,1
6612,287584,287660,1
78,77,79,0
910,5880,5950,1
21924,1568,21980,1
109,60,110,0
1581,13392,13485,1
252,1120,1148,1
6080,115440,115600,1
12586,2231,12639,0
26881,2111,26112,0
3984,1162,4150,1
