side1,side2,side3,validity
80273,95485,30404,0
80273,97321,69008,0
80273,84313,51301,0
80273,37201,860,0
80273,95645,82211,0
665,221112,221113,1
665,55105,61839,0
18241,191,18240,1
201613,635,201612,1
70313,375,70312,1
156240,559,156241,1
174640,591,174641,1
485,117612,117613,1
81205,403,81204,1
81205,86758,70457,0
81205,46573,23184,0
127512,505,127513,1
301864,777,301865,1
39480,281,39481,1
475313,975,475312,1
230520,679,230521,1
109044,467,109045,1
34585,263,34584,1
34585,13007,11136,0
34585,86575,56156,0
126505,503,126504,1
27612,235,27613,1
27612,50415,14590,0
839,351960,351961,1
129,8320,8321,1
159612,565,159613,1
159612,51201,57260,0
159612,77072,94437,0
159612,65134,24825,0
667,222444,222445,1
975,475312,475313,1
975,48852,89299,0
74885,387,74884,1
74885,67715,60580,0
18240,191,18241,1
23980,219,23981,1
191581,619,191580,1
191581,8614,67571,0
191581,31284,98770,0
191581,18959,2913,0
262813,725,262812,1
753,283504,283505,1
753,53603,44419,0
753,52065,42230,0
753,39177,95867,0
753,45042,36060,0
431520,929,431521,1
67344,367,67345,1
231880,681,231881,1
231880,40221,93313,0
231880,90300,62456,0
231880,40914,58238,0
231880,1939,67185,0
231880,54891,72837,0
231880,17332,74464,0
200344,633,200345,1
857,367224,367225,1
857,9297,56530,0
857,94519,8033,0
857,26076,58318,0
857,34124,55872,0
827,341964,341965,1
827,30016,29453,0
107185,463,107184,1
107185,17015,19899,0
107185,86953,21792,0
107185,56441,24734,0
425,90312,90313,1
155124,557,155125,1
341,58140,58141,1
85284,413,85285,1
85284,13327,11669,0
109044,467,109045,1
109044,14618,31021,0
294145,767,294144,1
1013,45,1012,1
1013,17193,70329,0
337,56784,56785,1
319,50880,50881,1
319,71838,76955,0
189113,615,189112,1
189113,7264,27870,0
340312,825,340313,1
340312,69888,25044,0
340312,5565,32538,0
1013,45,1012,1
715,255612,255613,1
715,74849,84306,0
386320,879,386321,1
386320,58919,91392,0
386320,27621,7726,0
386320,10788,99311,0
353,62304,62305,1
353,350,651,0
353,27553,53372,0
353,40132,4003,0
587,172284,172285,1
801,320800,320801,1
801,58969,67154,0
72581,381,72580,1
72581,43902,13966,0
179,16020,16021,1
179,23678,5561,0
59512,345,59513,1
173461,589,173460,1
382812,875,382813,1
615,189112,189113,1
327,53464,53465,1
327,34401,96358,0
327,45839,64469,0
14280,169,14281,1
2112,65,2113,1
612,35,613,1
612,68224,6810,0
612,32218,46822,0
612,89853,96831,0
181804,603,181805,1
181804,28022,40782,0
527,138864,138865,1
413141,909,413140,1
457,104424,104425,1
328860,811,328861,1
328860,34710,39842,0
479,114720,114721,1
479,6189,31272,0
479,43160,44708,0
479,18401,55490,0
479,66728,76596,0
38921,279,38920,1
38921,81159,94715,0
38921,73070,1602,0
7812,125,7813,1
497004,997,497005,1
497004,9551,5299,0
456013,955,456012,1
456013,94112,51620,0
456013,29633,83984,0
2813,75,2812,1
2813,57351,63563,0
2813,72570,5997,0
1984,63,1985,1
78012,395,78013,1
367225,857,367224,1
154012,555,154013,1
757,286524,286525,1
757,25656,75402,0
757,39315,2005,0
209,21840,21841,1
73345,383,73344,1
73345,59694,58829,0
73345,96573,89099,0
73345,96115,67049,0
73345,27996,3154,0
73345,75101,51019,0
73345,1301,31030,0
73345,97011,60552,0
73345,58245,70780,0
73345,8806,94635,0
20604,203,20605,1
829,343620,343621,1
829,62469,52016,0
299,44700,44701,1
299,30360,14333,0
299,23,19763,0
685,234612,234613,1
685,10422,79934,0
151800,551,151801,1
151800,81721,85451,0
421,29,420,1
15665,177,15664,1
15665,2981,71143,0
15665,86324,38177,0
15665,62601,82604,0
15665,81710,71156,0
15665,18594,36191,0
15665,25500,13331,0
76440,391,76441,1
269,36180,36181,1
7320,121,7321,1
7320,38174,58186,0
7320,8133,81251,0
105340,459,105341,1
105340,47015,89451,0
105340,30674,31804,0
62305,353,62304,1
62305,65978,64742,0
135720,521,135721,1
325624,807,325625,1
234612,685,234613,1
234612,85236,15260,0
167621,579,167620,1
373,69564,69565,1
105340,459,105341,1
47741,309,47740,1
47741,64314,8270,0
217141,659,217140,1
217141,38296,2785,0
194065,623,194064,1
194065,97102,34717,0
497004,997,497005,1
497004,15628,90077,0
497004,94476,64086,0
362100,851,362101,1
362100,73178,82853,0
675,227812,227813,1
675,21062,21381,0
675,36529,59095,0
86113,415,86112,1
86113,80880,97360,0
481,31,480,1
481,30529,32131,0
271584,737,271585,1
208013,645,208012,1
68820,371,68821,1
68820,26540,92157,0
289560,761,289561,1
289560,60413,22792,0
384565,877,384564,1
384565,46421,80337,0
348612,835,348613,1
171112,585,171113,1
469,109980,109981,1
493025,993,493024,1
140980,531,140981,1
140980,18077,12017,0
239,28560,28561,1
2244,67,2245,1
197821,629,197820,1
197821,44090,12377,0
69,2380,2381,1
69,23763,21659,0
69,52575,65947,0
40044,283,40045,1
985,485112,485113,1
985,87826,8748,0
985,9903,44298,0
985,49748,97266,0
985,52001,92918,0
418612,915,418613,1
418612,46414,9397,0
300312,775,300313,1
300312,76485,70648,0
300312,36865,42102,0
16021,179,16020,1
