side1,side2,side3,side12,side22,side32,validity
2129,106,2131,4532641,11236,4541161,0
136802,7888,134610,18714787204,62220544,18119852100,0
109,102,110,11881,10404,12100,0
2321,553,2346,5387041,305809,5503716,0
57960,1633,57983,3359361600,2666689,3362028289,1
4,3,5,16,9,25,1
4830,84456,84594,23328900,7132815936,7156144836,1
3111,94860,94911,9678321,8998419600,9008097921,1
77750,5823,76939,6045062500,33907329,5919609721,0
32,33,33,1024,1089,1089,0
188232,8370,188418,35431285824,70056900,35501342724,1
144,95,145,20736,9025,21025,0
99361,5287,98392,9872608321,27952369,9680985664,0
1350,720,1530,1822500,518400,2340900,1
1892,671,1973,3579664,450241,3892729,0
45851,3899,45110,2102314201,15202201,2034912100,0
57664,3498,57770,3325136896,12236004,3337372900,1
223041,8707,219908,49747287681,75811849,48359528464,0
319,125,321,101761,15625,103041,0
210456,5767,210535,44291727936,33258289,44324986225,1
17281,1985,17214,298632961,3940225,296321796,0
881,283,684,776161,80089,467856,0
2521,511,2512,6355441,261121,6310144,0
3708,181,3709,13749264,32761,13756681,0
6885,864,6939,47403225,746496,48149721,1
851,15732,15755,724201,247495824,248220025,1
2548,62400,62452,6492304,3893760000,3900252304,1
192865,8009,189558,37196908225,64144081,35932235364,0
191521,7845,189146,36680293441,61544025,35776209316,0
1680,82,1682,2822400,6724,2829124,1
1547,105,1549,2393209,11025,2399401,0
3642,115,3643,13264164,13225,13271449,0
73815,4104,73929,5448654225,16842816,5465497041,1
121073,6835,116868,14658671329,46717225,13658129424,0
1032,3010,3182,1065024,9060100,10125124,1
2430,119,2431,5904900,14161,5909761,0
3696,60928,61040,13660416,3712221184,3725881600,1
254857,9503,251568,64952090449,90307009,63286458624,0
38070,1656,38106,1449324900,2742336,1452067236,1
5100,640,5140,26010000,409600,26419600,1
1271,19680,19721,1615441,387302400,388917841,1
2440,549,2501,5953600,301401,6255001,1
1459,165,1461,2128681,27225,2134521,0
2442,131,2443,5963364,17161,5968249,0
170400,6958,170542,29036160000,48413764,29084573764,1
599,72,601,358801,5184,361201,0
4356,125,4357,18974736,15625,18983449,0
2025,178,2027,4100625,31684,4108729,0
305,732,793,93025,535824,628849,1
166,69,167,27556,4761,27889,0
33840,3572,34028,1145145600,12759184,1157904784,1
200,45,205,40000,2025,42025,1
57602,4618,56820,3317990404,21325924,3228512400,0
1573,116,1574,2474329,13456,2477476,0
52418,4562,51884,2747646724,20811844,2691949456,0
3120,40500,40620,9734400,1640250000,1649984400,1
3627,100,3628,13155129,10000,13162384,0
1224,510,1326,1498176,260100,1758276,1
219,292,365,47961,85264,133225,1
100464,4277,100555,10093015296,18292729,10111308025,1
18839,2155,18474,354907921,4644025,341288676,0
108734,6959,107347,11823082756,48427681,11523378409,0
68641,4779,65620,4711586881,22838841,4305984400,0
21,28,35,441,784,1225,1
647,351,722,418609,123201,521284,0
1217,130,1219,1481089,16900,1485961,0
16798,2159,16611,282172804,4661281,275925321,0
2900,703,2469,8410000,494209,6095961,0
40321,2767,39568,1625783041,7656289,1565626624,0
