side1,side2,side3,side12,side22,side32,validity
80273,95485,30404,6443754529,9117385225,924403216,0
80273,97321,69008,6443754529,9471377041,4762104064,0
80273,84313,51301,6443754529,7108681969,2631792601,0
80273,37201,860,6443754529,1383914401,739600,0
80273,95645,82211,6443754529,9147966025,6758648521,0
665,221112,221113,442225,48890516544,48890958769,1
665,55105,61839,442225,3036561025,3824061921,0
18241,191,18240,332734081,36481,332697600,1
201613,635,201612,40647801769,403225,40647398544,1
70313,375,70312,4943917969,140625,4943777344,1
156240,559,156241,24410937600,312481,24411250081,1
174640,591,174641,30499129600,349281,30499478881,1
485,117612,117613,235225,13832582544,13832817769,1
81205,403,81204,6594252025,162409,6594089616,1
81205,86758,70457,6594252025,7526950564,4964188849,0
81205,46573,23184,6594252025,2169044329,537497856,0
127512,505,127513,16259310144,255025,16259565169,1
301864,777,301865,91121874496,603729,91122478225,1
39480,281,39481,1558670400,78961,1558749361,1
475313,975,475312,225922447969,950625,225921497344,1
230520,679,230521,53139470400,461041,53139931441,1
109044,467,109045,11890593936,218089,11890812025,1
34585,263,34584,1196122225,69169,1196053056,1
34585,13007,11136,1196122225,169182049,124010496,0
34585,86575,56156,1196122225,7495230625,3153496336,0
126505,503,126504,16003515025,253009,16003262016,1
27612,235,27613,762422544,55225,762477769,1
27612,50415,14590,762422544,2541672225,212868100,0
839,351960,351961,703921,123875841600,123876545521,1
129,8320,8321,16641,69222400,69239041,1
159612,565,159613,25475990544,319225,25476309769,1
159612,51201,57260,25475990544,2621542401,3278707600,0
159612,77072,94437,25475990544,5940093184,8918346969,0
159612,65134,24825,25475990544,4242437956,616280625,0
667,222444,222445,444889,49481333136,49481778025,1
975,475312,475313,950625,225921497344,225922447969,1
975,48852,89299,950625,2386517904,7974311401,0
74885,387,74884,5607763225,149769,5607613456,1
74885,67715,60580,5607763225,4585321225,3669936400,0
18240,191,18241,332697600,36481,332734081,1
23980,219,23981,575040400,47961,575088361,1
191581,619,191580,36703279561,383161,36702896400,1
191581,8614,67571,36703279561,74200996,4565840041,0
191581,31284,98770,36703279561,978688656,9755512900,0
191581,18959,2913,36703279561,359443681,8485569,0
262813,725,262812,69070672969,525625,69070147344,1
753,283504,283505,567009,80374518016,80375085025,1
753,53603,44419,567009,2873281609,1973047561,0
753,52065,42230,567009,2710764225,1783372900,0
753,39177,95867,567009,1534837329,9190481689,0
753,45042,36060,567009,2028781764,1300323600,0
431520,929,431521,186209510400,863041,186210373441,1
67344,367,67345,4535214336,134689,4535349025,1
231880,681,231881,53768334400,463761,53768798161,1
231880,40221,93313,53768334400,1617728841,8707315969,0
231880,90300,62456,53768334400,8154090000,3900751936,0
231880,40914,58238,53768334400,1673955396,3391664644,0
231880,1939,67185,53768334400,3759721,4513824225,0
231880,54891,72837,53768334400,3013021881,5305228569,0
231880,17332,74464,53768334400,300398224,5544887296,0
200344,633,200345,40137718336,400689,40138119025,1
857,367224,367225,734449,134853466176,134854200625,1
857,9297,56530,734449,86434209,3195640900,0
857,94519,8033,734449,8933841361,64529089,0
857,26076,58318,734449,679957776,3400989124,0
857,34124,55872,734449,1164447376,3121680384,0
827,341964,341965,683929,116939377296,116940061225,1
827,30016,29453,683929,900960256,867479209,0
107185,463,107184,11488624225,214369,11488409856,1
