side1,side2,side3,validity
53563,95687,90727,1
39907,7729,77669,0
25643,67159,35425,0
93380,72420,66326,1
42436,34240,35945,1
36517,60413,10781,0
56511,15293,45525,1
68767,40379,3899,0
79110,835,61236,0
99541,40976,37677,0
99840,31687,55849,0
79663,58558,80709,1
88423,65787,97241,1
93239,57701,56079,1
15065,32932,34607,1
49038,46075,95667,0
10030,84738,4371,0
63700,58851,30143,1
54556,60248,59676,1
67577,4957,26350,0
35680,12244,15301,0
31657,41841,88883,0
93522,30908,54409,0
57801,48417,95882,1
61280,95243,24049,0
92645,73653,209,0
75483,73455,6077,1
72897,9083,7310,0
52734,16208,48016,1
60538,68019,74753,1
69669,25806,45738,1
99993,98097,40038,1
69338,47579,50388,1
63649,24885,3291,0
44712,6867,1774,0
11266,95786,2576,0
12409,90795,49294,0
46076,64487,22049,1
5828,65575,39507,0
15868,23196,48966,0
51240,76270,78282,1
30522,58557,11918,0
92212,28842,25759,0
4923,62285,81520,0
86082,93266,44880,1
39265,69404,53189,1
43903,43534,74337,1
59397,59553,41392,1
32447,3954,39352,0
20306,79139,90701,1
1071,19186,73741,0
30891,75193,52611,1
14336,93831,60456,0
60674,53687,37041,1
89801,99462,47025,1
68970,68188,89004,1
46504,32953,85314,0
8651,79562,29738,0
9962,3496,10089,1
72505,78837,59040,1
60346,34558,79089,1
24815,56379,91138,0
93359,40816,28815,0
54437,36440,8572,0
65012,861,12896,0
67766,95696,67422,1
43666,25639,88460,0
51693,49964,19851,1
53554,98685,51270,1
61544,7883,13192,0
511,59143,83119,0
55023,28169,80973,1
75346,57775,47475,1
57872,11008,25803,0
87587,83589,79078,1
21451,29701,46991,1
63330,75907,41816,1
20605,34010,56420,0
8147,91807,72884,0
78281,24433,4311,0
76928,48031,83367,1
50339,39908,79872,1
16837,48529,42254,1
4569,90250,96512,0
55152,50372,16595,1
99720,94604,69705,1
78849,93946,24851,1
81045,71369,67705,1
34025,49361,2863,0
502,6123,24757,0
34149,45323,61236,1
39433,89602,87899,1
699,12147,15656,0
77668,14280,57842,0
46127,43919,86933,1
85598,35862,95718,1
66853,41597,388,0
55440,7920,88277,0
20246,21081,51608,0
67483,40570,19849,0
64084,27048,23598,0
78466,91513,38671,1
53821,79501,45213,1
51719,10319,19198,0
52956,11187,56572,1
76774,84460,18409,1
33683,31682,89947,0
72873,59380,94309,1
59439,79882,9241,0
71182,27627,75540,1
51818,40145,32300,1
84074,87086,9681,1
29292,39164,84270,0
51731,21949,5344,0
51626,18843,77086,0
87930,97703,85765,1
36807,69534,67731,1
75354,60592,44832,1
46984,85615,93387,1
73487,27713,23835,0
56433,99980,352,0
25001,41948,81030,0
51461,55023,57004,1
69476,74258,8972,1
63245,85488,83598,1
95999,56673,43785,1
76624,61030,9008,0
93662,47127,32310,0
5529,87982,49320,0
57376,98149,80999,1
78015,8958,80548,1
14473,69246,79070,1
75014,60231,71732,1
64362,88386,46379,1
80380,93767,98895,1
9558,67352,39748,0
71369,50993,20928,1
93008,95181,17570,1
27534,50277,58393,1
4291,61897,79520,0
15535,31988,48735,0
9068,64797,65482,1
2734,47438,66509,0
23250,11115,34176,1
27980,93700,7333,0
8425,63870,95160,0
18787,66685,5491,0
43955,3361,37712,0
94531,70476,96879,1
42566,33846,72709,1
8098,69887,53305,0
90352,62985,28891,1
20413,79993,37224,0
46242,1311,76893,0
51443,8699,87663,0
88564,90730,52435,1
41479,33346,2640,0
64364,84040,9879,0
88543,8485,17523,0
78984,47894,23701,0
95216,26341,32205,0
63878,99972,30938,0
68208,96346,34928,1
38417,13042,64316,0
20874,66084,99317,0
45591,42607,83426,1
89831,93748,98209,1
20571,26427,98855,0
42695,97873,22503,0
1709,45055,84536,0
85831,28199,92303,1
13236,54224,20258,0
13540,70073,66284,1
79699,66178,91429,1
31936,67382,52530,1
89039,14335,78170,1
7446,42368,64649,0
84373,38628,7144,0
93731,33903,29140,0
31486,26204,53171,1
41665,11849,22187,0
35367,32121,93138,0
25700,84351,64166,1
9819,63457,79190,0
81088,92471,66550,1
78599,22115,62478,1
35164,64317,88280,1
15421,39419,96707,0
15091,82082,9901,0
71178,57455,17173,1
30682,46274,44563,1
31280,48237,38967,1
84575,85265,97594,1
46433,37482,37253,1
73575,32042,55020,1
23179,13901,79941,0
66871,94995,23372,0
67382,53854,96008,1
82846,58288,24991,1
12747,97638,98909,1
2784,24559,64275,0
85199,72539,9466,0
70397,76009,46523,1
59932,55360,97162,1
17088,41319,97208,0
53692,61465,8595,1
20208,95311,93929,1
30563,26809,72150,0
32841,92090,61027,1
82400,89058,13186,1
8110,5246,27611,0
80822,4434,17452,0
97450,88283,75474,1
77610,63071,20285,1
40689,97548,98731,1
84090,45200,29459,0
21061,31012,89802,0
42846,10036,80407,0
40300,32303,12325,1
15713,45945,92414,0
82549,27470,5725,0
84599,85930,57366,1
19944,2425,54160,0
82203,535,80832,0
89859,59391,28531,0
92068,20871,10154,0
41250,60598,24715,1
27596,41923,65534,1
95333,14575,32227,0
75968,81244,6920,1
79813,24071,97369,1
65335,41383,53867,1
40463,66262,54472,1
28732,78030,967,0
55457,51445,86975,1
85787,4315,84892,1
87278,72702,64690,1
52539,65363,55038,1
15068,29451,28875,1
70849,41771,51618,1
