side1,side2,side3,validity
82320,4018,82418,1
3696,81270,81354,1
26452,2735,26013,0
34562,3130,33732,0
119,70,120,0
120060,2639,120089,1
1700,14400,14500,1
2867,67344,67405,1
1632,99,1635,1
5500,525,5525,1
609,6380,6409,1
14400,1520,14480,1
685,111,687,0
2380,101136,101164,1
2584,21888,22040,1
3665,138,3666,0
900,8075,8125,1
351,64,352,0
26928,1540,26972,1
274,206,336,0
55201,3405,54094,0
2400,23940,24060,1
3281,3280,81,1
880,3465,3575,1
372,155,403,1
23541,2360,23659,1
288,1716,1740,1
5670,1440,5850,1
1148,126,1150,0
2640,28980,29100,1
2236,48048,48100,1
3311,112,3312,0
20912,2847,20849,0
836,9177,9215,1
1980,17765,17875,1
52200,1770,52230,1
166,6888,6890,1
1411,11952,12035,1
111888,3066,111930,1
34301,5494,29505,0
42408,2294,42470,1
14402,1828,13530,0
4141,92,4142,0
1325,16536,16589,1
348096,7178,348170,1
2635,111972,112003,1
1513,305,1458,0
3608,73920,74008,1
28982,3079,28659,0
167,48,169,0
13845,1988,13987,1
1654,87,1655,0
64,1023,1025,1
1300,8400,8500,1
221,22,222,0
1873,111,1875,0
2422,111,2423,0
144,270,306,1
2910,141120,141150,1
997,116,998,0
123027,8063,121990,0
315,1400,1435,1
109737,6220,106067,0
263424,5432,263480,1
0,0,0,1
41,0,41,1
9297,1342,9281,0
167085,7268,167243,1
44552,4055,44057,0
575,6600,6625,1
33516,3360,33684,1
3664,137,3665,0
3776,60357,60475,1
2520,26400,26520,1
53429,4162,50709,0
2070,71400,71430,1
59136,2752,59200,1
278,55,280,0
4462,216384,216430,1
2019,98,2020,0
962,960,62,1
7280,1638,7462,1
4391,799,4050,0
2214,45360,45414,1
66301,3850,65101,0
483,5544,5565,1
690,5152,5198,1
285361,10246,282247,0
251,52,252,0
25562,3020,25378,0
18480,1764,18564,1
17162,2631,17167,0
5980,194304,194396,1
3441,159988,160025,1
154,5928,5930,1
17745,2548,17927,1
4567,150,4568,0
4971,170,4972,0
168480,4266,168534,1
264881,9787,261252,0
230400,9408,230592,1
131976,4982,132070,1
4320,1260,4500,1
22,0,22,1
21320,2663,21161,0
82800,3381,82869,1
1000,4950,5050,1
197540,5727,197623,1
4048,44436,44620,1
0,66,66,1
15,20,25,1
56916,3255,57009,1
2346,59800,59846,1
-31,0,31,1
2095,161,2097,0
3696,572,3740,1
262,39,264,0
13020,899,13051,1
59942,2856,60010,1
142803,6804,142965,1
96,72,120,1
1494,143,1495,0
231,1260,1281,1
3153,112,3154,0
12480,1792,12608,1
2680,603,2747,1
69689,5711,69136,0
500,6240,6260,1
224960,6000,225040,1
10080,1064,10136,1
29412,1591,29455,1
1294,431,1011,0
2368,43776,43840,1
2010,163,2012,0
163681,7167,161968,0
60984,2838,61050,1
1776,97,1778,0
172,74,174,0
1955,543,1966,0
122655,6460,122825,1
2695,104,2696,0
139129,6331,137012,0
7122,1664,7234,0
13728,1100,13772,1
4787,180,4788,0
36803,3359,36166,0
5400,97125,97275,1
150,103,152,0
6438,280016,280090,1
854,55,855,0
1523,156,1525,0
615,133,617,0
2080,20748,20852,1
4774,73920,74074,1
450,338,556,0
772,149,774,0
56,192,200,1
89817,3744,89895,1
4058,187,4059,0
119040,3904,119104,1
12096,1872,12240,1
176701,7594,174995,0
2155,108,2156,0
4705,4704,97,1
2548,62400,62452,1
269280,6052,269348,1
4546,129,4547,0
26209,2387,26004,0
3061,174,3062,0
336,630,714,1
316,237,395,1
29120,2160,29200,1
1933,171,1935,0
276,77,277,0
956,117,958,0
5256,191808,191880,1
102700,4029,102779,1
108936,6230,109114,1
4322,778,4020,0
585,2600,2665,1
372,17296,17300,1
0,91,91,1
4875,158400,158475,1
920,21150,21170,1
2610,37800,37890,1
198,40,202,1
11550,680,11570,1
3760,75153,75247,1
31627,3167,31206,0
367049,12136,363447,0
213,71,215,0
2311,134,2312,0
210,280,350,1
498,49,499,0
1452,23936,23980,1
192,756,780,1
332,249,415,1
389,292,483,0
112097,6899,110176,0
6083,234156,234235,1
84,67,85,0
128341,6008,126609,0
10944,1292,11020,1
8280,190350,190530,1
2040,34650,34710,1
11657,1871,10448,0
103,41,105,0
1778,180,1780,0
181764,5427,181845,1
7397,1151,7228,0
33481,2897,31698,0
2009,162,2011,0
2185,654,2257,0
10802,1455,10207,0
79,3120,3121,1
1326,77,1327,0
101,87,103,0
53961,3490,53309,0
601,257,642,0
3786,89,3787,0
19008,585,19017,1
15288,1134,15330,1
587,251,422,0
33121,2467,32092,0
1218,52976,52990,1
229,87,231,0
311,70,312,0
209881,8588,206061,0
71402,5712,70786,0
263,121,265,0
17600,1680,17680,1
269500,5445,269555,1
1786,105,1787,0
3196,54285,54379,1
32,39,49,0
2520,390,2550,1
-4,-1,5,0
81601,4483,80516,0
1298,75,1300,0
1069,110,1071,0
7990,339528,339622,1
11987,1727,11854,0
111071,6971,109514,0
688,516,860,1
1452,158,1454,0
142,80,144,0
165540,5429,165629,1
121525,6044,118677,0
4237,188,4238,0
2294,42408,42470,1
118560,3080,118600,1
95130,6164,93286,0
1472,5796,5980,1
1064,10080,10136,1
360,106,362,0
16020,1691,16109,1
2907,170,2908,0
272,2304,2320,1
111,49,113,0
520,6750,6770,1
279,12972,12975,1
1845,41492,41533,1
10194,1430,9544,0
8893,1128,8257,0
1382,88,1384,0
5893,209160,209243,1
6424,141255,141401,1
3300,36225,36375,1
33729,2992,31823,0
81482,6408,80890,0
110880,6528,111072,1
1940,9603,9797,1
984,410,1066,1
198660,4675,198715,1
113,106,115,0
13888,441,13895,1
6324,294032,294100,1
1935,88,1937,1
23579,2628,23725,1
401,114,402,0
3369,170,3370,0
90,88,92,0
87,40,89,0
1445,1443,76,1
93001,4849,91250,0
1327,78,1328,0
29017,2612,28821,0
147840,6880,148000,1
20197,2780,18027,0
13921,2153,12246,0
1007,126,1008,0
1392,169,1394,0
3920,882,4018,1
378,3960,3978,1
25157,2991,23332,0
155145,7264,151487,0
2418,15624,15810,1
1249,95,1251,0
5510,79800,79990,1
39,760,761,1
1303,54,1304,0
332,45,333,0
80784,4620,80916,1
30,31,32,0
34217,2875,33972,0
