side1,side2,side3,side12,side22,side32,validity
792,17415,17433,627264,303282225,303909489,1
2400,47970,48030,5760000,2301120900,2306880900,1
14690,1988,14534,215796100,3952144,211237156,0
13015,2303,13074,169390225,5303809,170929476,0
867,68,868,751689,4624,753424,0
56352,5231,56017,3175547904,27363361,3137904289,0
9409,456288,456385,88529281,208198738944,208287268225,1
9506,1999,9615,90364036,3996001,92448225,0
196802,10338,194660,38731027204,106874244,37892515600,0
2642,582,2584,6980164,338724,6677056,0
24480,3072,24672,599270400,9437184,608707584,1
799,18768,18785,638401,352237824,352876225,1
25200,2660,25340,635040000,7075600,642115600,1
18722,2464,18594,350513284,6071296,345736836,0
2084,150,2086,4343056,22500,4351396,0
0,12,12,0,144,144,1
9692,1439,9541,93934864,2070721,91030681,0
165985,7199,163152,27551020225,51825601,26618575104,0
1121,283,1116,1256641,80089,1245456,0
11202,1694,11104,125484804,2869636,123298816,0
200928,8554,201110,40372061184,73170916,40445232100,1
262400,6480,262480,68853760000,41990400,68895750400,1
92,69,115,8464,4761,13225,1
66378,3496,66470,4406038884,12222016,4418260900,1
71,73,73,5041,5329,5329,0
1,52,53,1,2704,2809,0
119,88,120,14161,7744,14400,0
48048,3564,48180,2308610304,12702096,2321312400,1
1073,106,1074,1151329,11236,1153476,0
114000,4655,114095,12996000000,21669025,13017669025,1
16200,1710,16290,262440000,2924100,265364100,1
1969,591,2032,3876961,349281,4129024,0
109442,7058,108140,11977551364,49815364,11694259600,0
984,20160,20184,968256,406425600,407393856,1
1584,142,1586,2509056,20164,2515396,0
2052,131,2053,4210704,17161,4214809,0
26928,1540,26972,725117184,2371600,727488784,1
4950,136080,136170,24502500,18517766400,18542268900,1
3900,126720,126780,15210000,16057958400,16073168400,1
874,10032,10070,763876,100641024,101404900,1
2447,136,2448,5987809,18496,5992704,0
182160,8100,182340,33182265600,65610000,33247875600,1
34778,3607,34479,1209509284,13010449,1188801441,0
17474,1970,16844,305340676,3880900,283720336,0
-57,0,57,3249,0,3249,1
20787,1040,20813,432099369,1081600,433180969,1
3750,140600,140650,14062500,19768360000,19782422500,1
697,14280,14297,485809,203918400,204404209,1
1470,15400,15470,2160900,237160000,239320900,1
2361,562,2387,5574321,315844,5697769,0
2047,113,2049,4190209,12769,4198401,0
130572,4929,130665,17049047184,24295041,17073342225,1
260832,6776,260920,68033332224,45914176,68079246400,1
4965,164,4966,24651225,26896,24661156,0
2786,846,2864,7761796,715716,8202496,0
7282,1214,6624,53027524,1473796,43877376,0
65665,4199,65112,4311892225,17631601,4239572544,0
840,41,841,705600,1681,707281,1
3989,118,3990,15912121,13924,15920100,0
56241,4237,53522,3163050081,17952169,2864604484,0
35,36,36,1225,1296,1296,0
5518,85440,85618,30448324,7299993600,7330441924,1
16560,705,16575,274233600,497025,274730625,1
872,471,977,760384,221841,954529,0
477,79,479,227529,6241,229441,0
14880,961,14911,221414400,923521,222337921,1
6790,118728,118922,46104100,14096337984,14142442084,1
2040,20349,20451,4161600,414081801,418243401,1
109201,5533,108034,11924858401,30614089,11671345156,0
353,66,354,124609,4356,125316,0
1092,455,1183,1192464,207025,1399489,1
142912,5016,143000,20423839744,25160256,20449000000,1
521,148,501,271441,21904,251001,0
165,67,167,27225,4489,27889,0
112,41,113,12544,1681,12769,0
505,66,507,255025,4356,257049,0
2244,130,2246,5035536,16900,5044516,0
7141,884,6765,50993881,781456,45765225,0
3864,81098,81190,14930496,6576885604,6591816100,1
828,9504,9540,685584,90326016,91011600,1
60061,3676,59243,3607323721,13512976,3509733049,0
1400,106,1402,1960000,11236,1965604,0
