side1^2,side2^2,side3^2,validity
48841,6241,49729,0
16040025,31755240000,31771280025,1
11449,7056,11881,0
9006199801,24720784,8784000729,0
950625,5929,954529,0
3579664,277729,3613801,0
11638094400,12517444,11650611844,1
5517801,9047814400,9053332201,1
11924858401,31472100,11694043321,0
9604,8281,9801,0
722500,112529664,113252164,1
2292494400,10929636,2303424036,1
149842081,2471184,148766809,0
2958400,72488196,75446596,1
92256025,4076361,94400656,0
4389062500,31225744,4323588516,0
338854464,2175625,341030089,1
289,324,361,0
33315984,92416,33408400,1
9935104,1216609,10923025,0
3610567744,4447881,3615015625,1
2617924,30976,2624400,0
10000,841,10201,0
0,0,0,1
8958049,3760142400,3769100449,1
2772225,1402053136,1404825361,1
11162281,801025,11532816,0
1157776,11881,1159929,0
24649,7396,24964,0
15327225,78400,15405625,1
101761,6084,102400,0
12039575625,41731600,12081307225,1
485409024,1587600,486996624,1
0,0,0,1
11978521,10000,11985444,0
3960059041,13957696,3834953329,0
4906225,10201,4915089,0
145161,8836,145924,0
10600761600,5354596,10606116196,1
2598544,437855625,440454169,1
559504,40144896,40704400,1
3122289,2534518336,2537640625,1
13351716,13241565184,13254916900,1
398800900,4726276,378535936,0
14938225,28224,14945956,0
11560000,1800474624,1812034624,1
5553379441,32341969,4968558144,0
3380375881,14379264,3315110929,0
3240000,164025,3404025,1
4489,1089,4761,0
61465600,1102500,62568100,1
3920400,131769,4052169,1
7396,0,7396,1
13097429136,11675889,13109105025,1
2205225,13924,2211169,0
29354724,29112549376,29141904100,1
30976,17424,48400,1
11222500,12588840000,12600062500,1
1574105625,10969344,1585074969,1
1567504,10201,1570009,0
28561,5929,30276,0
237169,2304,239121,0
2430481,13689,2436721,0
189225,9604,190096,0
18462559129,32080896,18494640025,1
1244748961,11854249,1078728336,0
6533136,8230118400,8236651536,1
1574502400,1587600,1576090000,1
30758116,4080400,14333796,0
4261739524,26152996,4162314256,0
4322241,785568784,789891025,1
78004224,41225241600,41303245824,1
398002500,4000000,402002500,1
31755596401,62031376,30405943129,0
2267569161,6290064,2273859225,1
3541202064,10361961,3551564025,1
100489,8836,101761,0
26368225,27838255104,27864623329,1
34762816,16807826025,16842588841,1
169,144,25,1
8311689,1992729600,2001041289,1
55319040000,92236816,55411276816,1
55905529,1507984,56145049,0
30276,6350400,6380676,1
5569600,554178681,559748281,1
65028096,28644885504,28709913600,1
51875073121,77580864,50530993681,0
5461569,16900,5470921,0
17483979529,63664441,17080921636,0
2371600,9604,2377764,0
10517049,12512659600,12523176649,1
4068289,9216,4072324,0
2916,529,3025,0
24611521,25600,24621444,0
2414916,265038400,267453316,1
389376,67600,456976,1
8491396,2035814400,2044305796,1
5424241,14884,5433561,0
477509904,5527201,457831609,0
633616,4761,636804,0
100300225,1968409,95765796,0
662596,19713600,20376196,1
29724304,6234681600,6264405904,1
49702500,69869291584,69918994084,1
1368900,28224,1397124,1
0,1296,1296,1
3136,613089,616225,1
4545424,765905625,770451049,1
955551744,1731856,957283600,1
7268416,11025,7273809,0
21902400,140625,22043025,1
10609,7396,10816,0
2116,2209,2209,0
6305121,10338822400,10345127521,1
77739489,4405801,51036736,0
12229009,18496,12236004,0
40804,1681,41209,0
11398765225,35212356,10698385489,0
13097161,7226360064,7239457225,1
243360000,1562500,244922500,1
1960000,48024900,49984900,1
688590081,14799409,531210304,0
12845056,230400,13075456,1
14876193024,32216976,14908410000,1
342225,10609,344569,0
13542400,685584,14227984,1
3960100,20449,3968064,0
25161890625,47610000,25209500625,1
18275625,9242899600,9261175225,1
198025,2209,199809,0
2873025,30976,2879809,0
20702500,17689,20711601,0
88510464,50937781636,51026292100,1
60025490001,95082001,57719101504,0
45319824,111022240000,111067559824,1
19053225,17956,19061956,0
12411529,26244,12418576,0
6861968569,20052484,6649260849,0
179565757504,83064996,179648822500,1
12264004,19881,12271009,0
324036001,3556996,284360769,0
1208257600,11009124,1219266724,1
416200801,3936256,371140225,0
4629441600,6125625,4635567225,1
5851561,5089395600,5095247161,1
2331729,25600,2337841,0
34327881,34044678144,34079006025,1
34587444529,61512649,33367598224,0
4515625,10404,4524129,0
19070689,18496,19079424,0
3701776,26244,3709476,0
9433654129,43864129,9225602500,0
0,2304,2304,1
3686400,827597824,831284224,1
24336,11881,24964,0
46345478400,22391824,46367870224,1
660695616,2160900,662856516,1
4468996,32400,4477456,0
1065024,9060100,10125124,1
1141899264,8667136,1150566400,1
21902400,244036,22146436,1
51854401,835396,45765225,0
2007889,184900,2122849,0
10601536,3623076864,3633678400,1
103083409,2903616,105987025,1
229098496,121104,229219600,1
8037225,2457383184,2465420409,1
54700816,25258109184,25312810000,1
41288614416,23980609,41312595025,1
11943936,166464,12110400,1
12376324,24649,12383361,0
5035536,16900,5044516,0
17348050944,7376656,17355427600,1
942841,17424,946729,0
14137600,715716,14853316,1
37454400,589824,38044224,1
4429834249,30107169,4355472016,0
16483600,5039864064,5056347664,1
9891025,10816,9897316,0
10074276,1327290624,1337364900,1
292410000,855625,293265625,1
327863449,6225025,324792484,0
2588881,236196,2745649,0
36197345536,71571600,36268917136,1
912825369,6646084,897421849,0
3602404,4797501696,4801104100,1
1275418369,9333025,1142980864,0
3883782400,10227204,3894009604,1
2579236,76737600,79316836,1
473344,1681,474721,0
7498174464,7102225,7505276689,1
1540081,110502144,112042225,1
8693697600,6901129,8700598729,1
1044517761,10497600,1055015361,1
12418576,26569,12425625,0
44036496,1054729,45091225,1
1040400,8850625,9891025,1
8100,8281,8281,0
20449,8836,20736,0
31329,6889,25600,0
249387264,5973136,255360400,1
68033332224,45914176,68079246400,1
11236,0,11236,1
12996228001,33709636,12756121249,0
3893760000,6492304,3900252304,1
8100,1681,8281,0
105900779776,55980324,105956760100,1
1849600,28676025,30525625,1
26040609,1679616,27720225,1
4410000,484000000,488410000,1
1866412804,15610401,1823546209,0
297631504,3869089,281601961,0
8031556,9409,8037225,0
1052676,4489,1056784,0
21996100,6725312064,6747308164,1
10771524,640000,10876804,0
17222500,29652840000,29670062500,1
254016,451584,705600,1
238949764,6421156,240126016,0
7997584,8281,8003241,0
4460770521,24910081,4177812496,0
83521,2304,84100,0
179565757504,83064996,179648822500,1
24980004,14981760000,15006740004,1
49561600,451584,50013184,1
78400,44100,122500,1
24285184,435600,24720784,1
126675025,2765569,106378596,0
244036,3025,246016,0
324,0,324,1
13249600,2232562500,2245812100,1
118396161,1371241,107910544,0
1628176,14884,1633284,0
6168531600,5499025,6174030625,1
1334025,17689,1338649,0
104329,1296,105625,1
13386490000,20602521,13407092521,1
94251456016,43599609,94295055625,1
975937600,8892324,984829924,1
22667121,23716,22676644,0
4473068161,17247409,4388532516,0
36966400,1871424,38837824,1
11055625,15876,11062276,0
8168164,341056,7540516,0
1081600,20164,1085764,0
599076,276623424,277222500,1
100,64,36,1
707281,201601,202500,0
121104,21025,142129,1
384400,8649,386884,0
2036329,588289,2579236,0
1811716,122500,1478656,0
11355246721,30371121,10817664064,0
55041382881,82646281,53348064784,0
9941409,12544,9947716,0
32384521849,100620961,31788037264,0
3481,3249,3721,0
35820225,80801473536,80837293761,1
1327104,20575296,21902400,1
12960000,6554521600,6567481600,1
295977616,585225,296562841,1
14371214400,10791225,14382005625,1
992016,13225,994009,0
1052676,3481,1054729,0
9686890084,44823025,9476438409,0
4414201,156816,4214809,0
2800526400,13351716,2813878116,1
422500,5776,425104,0
1592644,134689,1565001,0
590004100,9084196,500685376,0
632025,14641,635209,0
306916,173056,470596,0
588305025,2039184,590344209,1
3336333121,13579225,3262008996,0
14212900,15005270016,15019482916,1
13437446400,6492304,13443938704,1
1149184,1289097216,1290246400,1
1790305344,4064256,1794369600,1
25281,44944,70225,1
20802721,912025,14776336,0
83521,16129,92416,0
17139600,9058280625,9075420225,1
6235009,237169,4910656,0
10241844804,41396356,9873204496,0
32041,1369,32761,0
1364268096,3992004,1368260100,1
1254400,30735936,31990336,1
5851561,2456193600,2462045161,1
5550736,22201,5560164,0
129600,22500,152100,1
421070400,1232100,422302500,1
2430095616,15602500,2445698116,1
102400,1587600,1690000,1
36198106564,108035236,35535266064,0
2618368900,16638241,2471183521,0
0,0,0,1
50466816,17247043584,17297510400,1
45158400,1517824,46676224,1
36481,4096,36864,0
3960059041,16410601,3890266384,0
37803802624,38118276,37841920900,1
10929636,8872132864,8883062500,1
23059204,1304164,23580736,0
665856,432640000,433305856,1
2768896,466560000,469328896,1
725904,6175225,6901129,1
12702096,2308610304,2321312400,1
5533425769,36566209,5453231716,0
1218816,18896409,20115225,1
6241,900,6400,0
334084,40804,318096,0
19190283841,40793769,18492736144,0
5841889,11236,5846724,0
15901210000,24472809,15925682809,1
6072149776,29931841,5876908921,0
18887716,13225,18896409,0
101032436736,53406864,101085843600,1
41616,11449,42025,0
384400,92160000,92544400,1
3940225,3936256,3969,1
27709696,5417254404,5444964100,1
13698829764,55472704,13398062500,0
1440202500,10036224,1450238724,1
21316,2401,21609,0
