side1,side2,side3,validity
81343,54750,9396,0
31104,52526,29571,1
29659,8980,84645,0
40682,62020,96329,1
64640,32622,33893,1
17963,98891,11062,0
81820,19777,92337,1
52577,63909,75967,1
42419,54303,17369,1
53419,94494,90978,1
85687,16637,27832,0
92857,63590,24349,0
53502,47904,76877,1
67046,21219,2985,0
31202,33574,67642,0
56819,69280,72739,1
99281,38719,40125,0
54767,98187,46452,1
35632,2038,34034,1
43110,65671,79213,1
92324,78531,31297,1
89446,70096,81722,1
71467,62152,70192,1
87144,25584,67318,1
35336,96206,90741,1
54238,20907,50608,1
46156,79812,7481,0
43285,21557,45154,1
66116,72805,8670,1
55799,29621,44100,1
99730,6697,77310,0
92260,66244,83038,1
67089,66895,29161,1
26590,3939,35043,0
22386,65527,41741,0
4812,93873,60816,0
17523,6566,35543,0
32990,76301,87188,1
29766,63431,16912,0
52363,34207,21862,1
77990,93551,47075,1
87908,3927,98527,0
21827,44901,27167,1
4875,83846,94141,0
7103,40459,99935,0
42146,37755,1025,0
37767,81865,81359,1
35874,11825,17221,0
40156,69278,17654,0
48058,12873,41885,1
27911,4482,91668,0
68636,27111,25866,0
75388,84375,83479,1
57639,76239,37357,1
25747,27043,81421,0
76296,81845,7659,1
74118,49995,10819,0
37684,72041,11812,0
32939,77519,92972,1
19845,83772,282,0
92131,47379,74742,1
41248,25244,20497,1
48865,50343,45762,1
60090,43779,921,0
90014,8611,45671,0
70125,73482,99876,1
27851,12946,58287,0
42274,52677,34721,1
34028,82118,81890,1
6797,14934,67027,0
75981,3657,27506,0
13221,65884,20177,0
60859,27113,82173,1
78425,79391,92119,1
41953,5801,75564,0
50748,99628,29068,0
91970,1489,30907,0
92808,54357,42398,1
52770,35407,54964,1
81553,56527,28010,1
69678,1009,71592,0
17600,2243,78914,0
55269,63241,70895,1
29622,39376,11255,1
15332,47138,26023,0
38066,63636,95495,1
71596,24569,73875,1
63747,60960,41164,1
22790,90625,32904,0
87257,52719,71398,1
65416,27735,13476,0
10035,76398,34312,0
83100,80877,82014,1
48904,84620,7771,0
78752,5986,55635,0
7357,48035,85308,0
30333,2640,6451,0
8037,84057,46034,0
26634,59205,75972,1
88356,22512,58488,0
51275,98594,62610,1
37332,70466,59740,1
12251,22964,59673,0
25463,84374,90137,1
87910,76027,86869,1
83776,95147,65603,1
25579,48146,17884,0
803,32753,86370,0
19508,98864,86938,1
82119,1244,50834,0
33769,64612,31659,1
91099,52303,60322,1
75567,15565,79549,1
14778,68987,5785,0
46376,18651,26985,0
75675,28911,87490,1
8629,79394,24527,0
83584,74898,45344,1
73400,56354,58258,1
19186,24546,99795,0
57300,40904,62179,1
72102,44139,13081,0
81393,33531,64590,1
38965,53686,1686,0
38247,46741,57392,1
31742,17293,1733,0
24669,7123,72059,0
84595,40048,44829,1
7822,99298,26151,0
23232,83233,71902,1
43484,12959,37821,1
48845,7610,14901,0
81873,91071,39220,1
31644,64720,5221,0
3047,18367,97086,0
32454,8587,12770,0
30576,77804,27832,0
68216,37648,22637,0
85186,92908,68870,1
41335,78021,65255,1
50244,65073,32570,1
43858,93542,62550,1
87150,32849,31187,0
2875,82521,86576,0
83185,78956,18373,1
93889,98991,65238,1
21316,81989,75574,1
78227,46227,628,0
34676,96344,18222,0
80982,70374,62880,1
94421,9702,99274,1
61840,70339,42162,1
86291,1855,34187,0
33740,69011,5340,0
11095,57974,56466,1
46894,66016,70836,1
46880,6288,10675,0
82194,29188,54071,1
49046,49211,1344,1
9442,52705,28384,0
61739,19769,91179,0
93248,35428,49892,0
8788,27980,20465,1
52529,40716,66314,1
24355,15662,45752,0
26261,23553,17091,1
23286,38719,25724,1
64165,42113,97354,1
79535,96461,53453,1
92570,19616,67695,0
26519,88758,33337,0
22272,61271,78888,1
90981,72330,57009,1
26633,31847,73207,0
74905,39523,95916,1
95356,33841,57739,0
62929,18181,15325,0
62166,74558,19202,1
76969,45837,63718,1
13061,53856,82642,0
21310,9695,11981,1
27864,92801,17515,0
24182,1685,49270,0
86863,30085,60078,1
58747,41567,23512,1
22848,82123,66990,1
37333,22305,19157,1
1711,20348,55093,0
54225,16859,38376,1
16361,58719,83584,0
11855,87714,37512,0
18487,50048,74007,0
96277,87877,32409,1
95918,5873,68403,0
91162,99223,21642,1
88829,86473,34906,1
89520,73611,6161,0
79593,49610,10584,0
15621,82317,45679,0
61253,68302,93498,1
99316,25867,14684,0
28484,58091,70074,1
67670,37046,61929,1
46451,42357,84925,1
22659,15029,9476,1
84630,83047,70961,1
18153,83317,97762,1
62960,92597,18739,0
84382,84540,48157,1
93890,60628,27761,0
85880,38680,2045,0
40351,31217,26105,1
69363,51428,72066,1
32201,73443,50146,1
36087,89681,76429,1
39555,83603,54199,1
13109,76874,27417,0
74338,62016,89278,1
97628,52875,92860,1
39243,57673,5114,0
88282,48084,8948,0
72294,58023,70341,1
205,52172,76954,0
73654,55064,67271,1
4589,73319,36584,0
34231,34648,59674,1
509,23766,5025,0
8964,29034,43965,0
76453,17067,19402,0
4781,1127,38950,0
13546,50154,23852,0
95654,24556,37401,0
53918,77977,9318,0
14938,80793,83195,1
52059,75660,99059,1
54120,21642,80093,0
47669,62619,37476,1
15436,97087,69107,0
95437,98895,15222,1
87078,12651,95039,1
78571,16289,26353,0
34006,70283,5962,0
85750,75231,55078,1
65926,19285,22502,0
41023,59436,48055,1
63212,74848,82566,1
10353,72862,14770,0
80951,39862,34533,0
27007,93862,14648,0
65455,23619,42235,1
67760,49638,39094,1
76142,10855,86965,1
14037,19112,85676,0
53655,76213,19192,0
23621,92293,85285,1
5733,77764,82565,1
69410,42550,75453,1
20829,70492,20928,0
11590,30198,58862,0
54953,92925,22632,0
19079,35941,34672,1
13459,90481,3610,0
91168,50250,2612,0
45524,18475,24098,0
6973,40517,63054,0
84321,58985,59130,1
55313,54897,34181,1
61511,58908,12329,1
45245,86603,34535,0
91391,2240,28263,0
30236,99333,45062,0
41500,56111,33835,1
56988,22989,66428,1
91091,70866,93976,1
70620,23494,79190,1
49987,31981,22581,1
6899,50781,73409,0
40055,63996,98806,1
94042,95797,27038,1
48783,88026,50782,1
89493,46947,22949,0
85957,26364,48164,0
83898,39583,23817,0
74471,78426,13628,1
20057,21116,85487,0
30702,91835,70571,1
81672,18526,52659,0
87500,46286,90604,1
96754,84918,68560,1
79683,99738,54193,1
80077,96983,15055,0
2002,45499,55427,0
70262,5028,73831,1
87569,9653,9785,0
52137,87821,89753,1
55242,49781,71811,1
33635,32331,12907,1
50818,8614,36627,0
58224,75123,33484,1
16065,84987,88838,1
74966,51053,72432,1
36786,83463,93731,1
49525,71437,63325,1
86046,36477,64776,1
15930,53771,66258,1
17858,91462,71043,0
1763,44260,19614,0
10525,14466,44996,0
39970,41602,56166,1
95722,57270,75253,1
86115,7439,42745,0
45857,56946,76630,1
56742,15493,25195,0
90846,48834,49149,1
77111,95481,54677,1
43218,73834,24752,0
51305,84939,56250,1
30546,80931,13821,0
19320,32273,81853,0
5125,12359,86062,0
91063,43683,42327,0
75228,11725,24807,0
64650,20802,44612,1
34245,202,58687,0
61065,99597,82857,1
37438,20581,11898,0
