side1,side2,side3,side1+side2,side1+side3,side2+side3,validity
28761,47602,93852,76363,122613,141454,0
36774,88747,24874,125521,61648,113621,0
6912,67400,48410,74312,55322,115810,0
76679,93255,29857,169934,106536,123112,1
20626,40090,83807,60716,104433,123897,0
66950,50900,32560,117850,99510,83460,1
16548,92707,59065,109255,75613,151772,0
87560,74068,17415,161628,104975,91483,1
38149,71468,20177,109617,58326,91645,0
23286,72844,1188,96130,24474,74032,0
2077,91181,39434,93258,41511,130615,0
89595,11373,72131,100968,161726,83504,0
4033,40818,72246,44851,76279,113064,0
47592,79613,50075,127205,97667,129688,1
69632,87463,90108,157095,159740,177571,1
95238,80886,56608,176124,151846,137494,1
10121,98819,52667,108940,62788,151486,0
24129,32442,81743,56571,105872,114185,0
38002,61221,20565,99223,58567,81786,0
93460,28386,69156,121846,162616,97542,1
546,49140,29344,49686,29890,78484,0
18121,81954,26732,100075,44853,108686,0
91952,70541,93580,162493,185532,164121,1
4483,99080,37004,103563,41487,136084,0
48476,91556,59356,140032,107832,150912,1
50243,6982,85999,57225,136242,92981,0
90027,54846,77510,144873,167537,132356,1
17800,71091,65547,88891,83347,136638,1
47858,12353,88730,60211,136588,101083,0
31186,40596,97402,71782,128588,137998,0
87664,14535,13651,102199,101315,28186,0
65016,6626,93669,71642,158685,100295,0
42746,70568,92945,113314,135691,163513,1
91456,86304,62283,177760,153739,148587,1
54890,5400,25686,60290,80576,31086,0
38906,14960,70152,53866,109058,85112,0
82555,33577,79289,116132,161844,112866,1
68438,40758,49155,109196,117593,89913,1
65738,81392,25220,147130,90958,106612,1
60515,29926,52752,90441,113267,82678,1
98983,75248,68269,174231,167252,143517,1
8280,8952,92220,17232,100500,101172,0
78235,5577,29960,83812,108195,35537,0
66861,10339,42571,77200,109432,52910,0
49645,19141,10139,68786,59784,29280,0
81370,65648,86501,147018,167871,152149,1
21360,74735,30825,96095,52185,105560,0
69907,71947,8857,141854,78764,80804,1
78836,20362,10143,99198,88979,30505,0
49740,62507,69228,112247,118968,131735,1
47170,50945,99935,98115,147105,150880,0
47364,4216,78553,51580,125917,82769,0
44447,866,34150,45313,78597,35016,0
80216,25032,31871,105248,112087,56903,0
54166,10467,35440,64633,89606,45907,0
97964,2070,41015,100034,138979,43085,0
86115,70809,1851,156924,87966,72660,0
18755,67816,3814,86571,22569,71630,0
79378,69256,16353,148634,95731,85609,1
30028,99103,29493,129131,59521,128596,0
