side1+side2,side1+side3,side2+side3,validity
114985,36371,118430,0
151469,86341,120364,0
64993,83514,67005,1
87238,70214,69442,1
106661,197281,108134,1
115586,98861,148801,1
148966,85214,84290,1
117480,115520,162790,1
179349,144710,144923,1
60884,72024,18856,0
152252,84589,73691,0
96320,164136,123356,1
114837,150685,97038,1
23174,83695,88969,0
41604,79226,91750,0
113856,131366,96888,1
163769,146161,138206,1
103097,127035,168200,1
110107,66808,64789,1
124070,128822,99902,1
175509,114125,133674,1
159408,117099,99059,1
147189,86695,112550,1
71734,69933,4535,0
104335,131363,137036,1
87781,136472,89971,1
15319,33388,27527,0
74387,76278,58845,1
37339,79102,94719,0
140051,67825,113360,0
142990,72098,96564,0
70210,36335,93655,0
106281,139498,102251,1
100203,158698,70621,0
55237,50736,21189,0
50285,103834,62227,0
134160,142539,79483,0
44084,83913,116573,0
152138,130977,127375,1
86499,29215,88164,0
152997,75225,101216,0
87798,139637,100685,1
71733,66933,113150,1
143151,166072,132125,1
188073,137891,129766,1
99886,154762,85912,1
64792,88110,127964,0
72015,148024,111599,0
85219,113641,81394,1
58821,92519,37784,0
183837,174125,168210,1
42892,65369,45147,1
59653,69846,96367,1
92522,151413,125809,1
88469,58367,121152,0
71155,139894,78089,0
108505,61898,104065,0
149586,140237,156423,1
12443,75013,76726,0
91000,65792,64452,1
95595,101479,78646,1
180180,126645,125401,1
154975,108535,64694,0
149761,153803,119534,1
86065,146793,136638,0
46581,58519,54338,1
62637,62448,23421,0
51182,93546,90252,0
118616,141642,63340,0
142041,147533,174948,1
67109,141995,112760,0
107438,81140,94058,1
35669,67429,47324,0
52445,136609,106438,0
138278,112582,71748,0
134624,100606,139112,1
104545,98637,169928,1
104175,122501,126052,1
58337,115221,91112,0
142361,117015,70754,0
106867,79782,82995,1
88666,171954,100740,0
106359,114443,54542,0
130181,193969,131158,1
55144,68110,20646,0
28862,110418,84360,0
130586,133168,128372,1
163022,144772,133076,1
142788,81136,73696,0
80345,118368,99647,1
55844,95195,147255,0
165420,180751,174753,1
98731,113139,46566,0
75065,73474,103613,1
97472,54998,149074,0
95488,7017,96631,0
116151,88055,164038,0
115586,97041,140389,1
100524,137727,142303,1
137718,55205,113021,0
117655,171015,103284,1
49034,14401,37799,0
78686,95887,83019,1
141977,67138,118481,0
116902,89907,142575,1
58654,81167,44493,0
93604,158309,78517,0
133448,147527,131181,1
121430,83304,53634,0
13527,109604,100765,0
117233,121966,65535,0
90487,99026,163785,1
86094,92506,86040,1
102511,94759,71142,1
106577,42063,101234,0
105641,98193,149980,1
39061,90740,104209,0
77812,32068,73090,0
100112,89322,99008,1
110685,100410,62989,0
129622,183663,131839,1
75862,64969,53261,1
168314,146662,137546,1
113694,68005,52861,0
95335,75102,29567,0
126140,99708,168166,1
141680,120678,162826,1
118388,126670,154786,1
44644,117904,122840,0
71106,96073,37171,0
81387,94964,172927,0
57231,87523,128170,0
189845,110054,103093,1
111076,89307,68405,1
93020,109450,153104,1
18481,95815,81880,0
122035,61116,63547,0
132199,76055,138974,0
92062,116564,154626,1
142664,125887,140605,1
34965,91157,76464,0
75174,80140,129922,1
166884,107011,83687,0
87674,73079,44069,0
100690,109346,152672,1
171434,117938,119898,1
185320,136397,138509,1
109309,189295,110404,1
145180,95773,59749,0
108101,43990,76531,0
67399,124133,115548,0
98672,148202,92306,1
94110,68576,154468,0
113756,87179,44259,0
117243,100742,150767,1
142189,104898,72779,0
82370,20375,63841,0
134628,130199,80467,0
65208,81684,71820,1
60013,104270,105773,0
76911,96549,60200,1
143655,107081,67300,0
68061,98081,150824,0
143284,81788,72900,0
89404,95964,138386,1
87695,9750,83521,0
50971,56754,104653,0
102024,73644,108618,1
105376,85277,144623,1
36756,71736,36498,1
147368,101780,60304,0
137086,83544,141536,0
53428,13373,50411,0
64042,87114,143830,0
19407,10340,20911,0
109766,103661,112527,1
76146,32943,102291,0
69949,55476,54795,1
43857,11478,52473,0
64291,28920,68181,0
98987,65187,64774,1
105218,121462,95614,1
140175,141199,178516,1
119989,93418,40907,0
91754,96447,24853,0
76373,51951,38230,0
74457,145728,128295,0
109637,133024,170053,1
83987,97460,179899,0
48448,41635,87935,0
51995,139348,109059,0
128516,63031,67909,0
167170,85895,99815,0
42153,84749,50542,0
74486,41191,82201,0
105263,112125,19732,0
104568,99515,24943,0
118307,26014,105597,0
129340,88803,155411,0
94057,44289,128890,0
34627,33985,27844,1
41590,106558,117798,0
64458,69488,29364,0
106895,114282,173379,1
113256,71537,50009,0
99577,164834,101707,1
100534,179244,84760,0
114089,146550,128343,1
55899,64292,55259,1
91050,106097,77661,1
147796,90726,132972,0
72510,98826,89766,1
120097,99378,87425,1
171465,161682,177949,1
84348,151547,79991,1
47314,114537,119975,0
110389,67074,110981,0
106062,96793,25923,0
84435,98106,54133,0
99606,187125,91207,0
48425,109937,95638,0
52621,51592,61943,1
72360,85422,141840,0
120099,96347,145196,1
135377,143340,114541,1
133976,160121,95611,0
142701,142427,136182,1
86604,92821,163395,1
102927,87560,73067,1
97575,119049,65160,0
102548,155199,80325,0
140679,122151,95612,1
140722,136210,168604,1
33473,81371,90344,0
29817,18862,22291,1
111765,121208,110687,1
156682,98570,71648,0
105767,135200,61585,0
103382,41027,107119,0
36087,97076,103877,0
86253,124803,144614,0
90821,123203,128252,1
72785,127148,107649,0
31894,85328,57468,0
