side1,side2,side3,validity
44216,96641,67468,1
40094,95804,29768,0
42268,56993,70168,1
8158,30295,64744,0
34659,8300,1997,0
56717,90408,96528,1
5254,7997,79996,0
71313,52342,15140,0
53233,49466,28854,1
9405,38012,95659,0
46387,43248,23935,1
52238,43858,48125,1
52814,38865,12085,0
22221,62708,29988,0
15630,86199,35747,0
75338,85218,75569,1
99095,24252,33257,0
92373,55169,76001,1
22394,59128,46121,1
46064,81251,78506,1
53250,27332,42336,1
78103,99902,26338,1
77259,56352,24985,1
12391,80401,91457,1
85405,6670,45538,0
67583,7838,44300,0
43021,25767,70517,0
67724,63584,12656,1
51717,73779,40878,1
77357,74154,54547,1
45073,98129,59934,1
27483,25814,13578,1
87750,42766,22919,0
96645,68838,40396,1
45865,80794,27025,0
5882,36296,61961,0
16891,28366,33582,1
43118,92022,46843,0
75215,3535,36809,0
85120,9750,87885,1
10349,47729,51844,1
22426,52157,49707,1
42380,91328,76424,1
86676,67213,83593,1
19962,73989,10091,0
51816,81343,65360,1
24862,84074,35722,0
70522,98607,61225,1
87487,74903,84732,1
64577,80061,50340,1
61119,59670,12683,1
83865,31853,66996,1
79291,6150,87121,0
21879,20693,48566,0
26616,92800,6413,0
44056,75190,11528,0
72160,12029,61037,1
54659,40952,93354,1
45965,63806,66723,1
41535,16813,14987,0
10167,42552,50456,1
12933,52224,20413,0
46108,97570,2439,0
16654,11796,61827,0
40998,65042,36476,1
77153,68766,82832,1
46936,55427,42374,1
8988,4612,60284,0
91363,48157,2115,0
97945,67973,37738,1
69961,30394,71806,1
5539,28456,31964,1
65340,17804,75737,1
92484,63549,53924,1
48511,81355,62699,1
86676,89212,15988,1
28783,24377,9343,1
89862,72328,60689,1
53344,73029,54545,1
34996,32718,86210,0
62923,23582,31800,0
44973,23966,98055,0
87130,58574,40318,1
88523,61503,57812,1
2436,23306,33222,0
1299,163,33348,0
94248,5040,65667,0
88678,78037,74134,1
80853,97540,60329,1
20849,73950,61231,1
95232,30483,57108,0
93614,44164,29507,0
17867,69372,81547,1
16365,92736,50051,0
9348,60867,68694,1
57406,36641,46934,1
24338,81001,10402,0
13953,88495,81095,1
34339,12076,52831,0
59809,85309,29472,1
60587,32975,36698,1
35892,69146,34431,1
3161,9831,92401,0
74539,23193,35004,0
65286,51179,37383,1
12061,50912,92762,0
11883,22886,79661,0
12361,24940,4835,0
68265,11686,15590,0
87637,5012,98860,0
50974,43080,5777,0
8451,18438,47076,0
58316,50241,78466,1
47809,58406,2702,0
88776,32192,36985,0
51932,73954,27434,1
43343,23521,29333,1
55216,87713,14091,0
63512,14619,78770,0
748,94245,1769,0
66989,3323,75751,0
44132,65315,35972,1
47436,9788,97596,0
7784,7912,76051,0
87021,25696,43585,0
12799,198,6543,0
58196,41133,96827,1
66557,47190,29265,1
9034,4924,24487,0
70504,11682,67288,1
14684,70946,91836,0
67875,2938,49387,0
36646,39346,98237,0
13964,12949,11807,1
50486,92330,1593,0
16475,21862,24661,1
70218,85170,62427,1
98966,33079,53403,0
60600,40201,63504,1
42057,1193,699,0
65041,26430,15985,0
56541,23442,56370,1
16058,28184,31022,1
59131,33901,95392,0
45029,43299,59747,1
3896,99527,49857,0
